fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-01,0.24,0.25,-0.01,-4
2022-06-30,2022-08-02,0.23,0.23,0,0
2022-03-31,2022-05-03,0.23,0.25,-0.02,-8
2021-12-31,2022-02-15,0.23,0.25,-0.02,-8
2021-09-30,2021-11-02,0.2,0.25,-0.05,-20
2021-06-30,2021-08-03,0.22,0.24,-0.02,-8.3333
2021-03-31,2021-05-04,0.21,0.24,-0.03,-12.5
2020-12-31,2021-02-16,0.21,0.23,-0.02,-8.6957
2020-09-30,2020-11-03,0.22,0.22,0,0
2020-06-30,2020-08-04,0.19,0.2,-0.01,-5
2020-03-31,2020-05-05,0.18,0.18,0,0
2019-12-31,2020-02-25,0.09,0.15,-0.06,-40
2019-09-30,2019-11-05,0.12,0.15,-0.03,-20
2019-06-30,2019-08-06,0.09,0.11,-0.02,-18.1818
2019-03-31,2019-05-07,0.06,0.11,-0.05,-45.4545
2018-12-31,2019-02-26,-0.12,0.29,-0.41,-141.3793
2018-09-30,2018-11-06,0.1,0.29,-0.19,-65.5172
2018-06-30,2018-08-07,0.12,0.27,-0.15,-55.5556
2018-03-31,2018-05-08,0.09,0.24,-0.15,-62.5
2017-12-31,2018-02-22,0.08,0.3633,-0.2833,-77.9796
2017-09-30,2017-11-07,0.04,0.39,-0.35,-89.7436
2017-06-30,2017-08-08,0.04,0.4333,-0.3933,-90.7685
2017-03-31,2017-05-09,0.07,0.425,-0.355,-83.5294
2016-12-31,2017-02-23,0.08,0.09,-0.01,-11.1111
2016-09-30,2016-11-10,0.08,0.08,0,0
2016-06-30,2016-08-11,0.04,0.07,-0.03,-42.8571
2016-03-31,2016-05-12,0.02,0.1,-0.08,-80
2015-12-31,2016-02-25,0.02,0.05,-0.03,-60
2015-09-30,2015-11-12,-0.01,0.08,-0.09,-112.5
2015-06-30,2015-08-13,-0.42,-0.25,-0.17,-68
2015-03-31,2015-05-27,0.1258,None,None,None
