fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,1.62,1.3,0.32,24.6154
2022-06-30,2022-07-27,3.9,3.8,0.1,2.6316
2022-03-31,2022-04-27,1.23,1.07,0.16,14.9533
2021-12-31,2022-02-23,1.11,1.1,0.01,0.9091
2021-09-30,2021-10-27,1.57,1.47,0.1,6.8027
2021-06-30,2021-07-28,2.76,2.59,0.17,6.5637
2021-03-31,2021-04-21,0.91,0.56,0.35,62.5
2020-12-31,2021-02-24,0.19,0.27,-0.08,-29.6296
2020-09-30,2020-10-28,1.19,0.74,0.45,60.8108
2020-06-30,2020-07-29,-0.53,-0.55,0.02,3.6364
2020-03-31,2020-04-29,0.05,0.16,-0.11,-68.75
2019-12-31,2020-02-26,0.42,-0.06,0.48,800
2019-09-30,2019-10-30,0.55,0.51,0.04,7.8431
2019-06-30,2019-07-31,2.83,2.81,0.02,0.7117
2019-03-31,2019-04-24,0.63,0.4,0.23,57.5
2018-12-31,2019-02-27,0.2,0.14,0.06,42.8571
2018-09-30,2018-10-31,0.35,0.49,-0.14,-28.5714
2018-06-30,2018-08-01,2.52,2.48,0.04,1.6129
2018-03-31,2018-04-25,0.32,0.22,0.1,45.4545
2017-12-31,2018-02-28,0.19,0.19,0,0
2017-09-30,2017-11-01,0.36,0.29,0.07,24.1379
2017-06-30,2017-07-26,1.6,1.5,0.1,6.6667
2017-03-31,2017-04-26,0.15,0.19,-0.04,-21.0526
2016-12-31,2017-02-28,0.19,0.21,-0.02,-9.5238
2016-09-30,2016-10-27,0.52,0.93,-0.41,-44.086
2016-06-30,2016-08-03,4.11,3.57,0.54,15.1261
2016-03-31,2016-04-28,0.16,0.48,-0.32,-66.6667
2015-12-31,2016-02-24,0.43,0.37,0.06,16.2162
2015-09-30,2015-10-28,0.24,0.66,-0.42,-63.6364
2015-06-30,2015-07-29,3.1,3.42,-0.32,-9.3567
2015-03-31,2015-04-27,-0.09,-0.15,0.06,40
2014-12-31,2015-02-25,0.08,-0.04,0.12,300
2014-09-30,2014-10-29,0.2,0.42,-0.22,-52.381
2014-06-30,2014-07-30,1.07,1.06,0.01,0.9434
2014-03-31,2014-04-23,-0.01,None,None,None
