fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,1.8,1.68,0.12,7.1429
2022-06-30,2022-07-27,0.11,0.03,0.08,266.6667
2022-03-31,2022-04-28,1.03,0.86,0.17,19.7674
2021-12-31,2022-02-03,2.39,1.79,0.6,33.5196
2021-09-30,2021-10-28,1.52,1.33,0.19,14.2857
2021-06-30,2021-08-02,0.61,-0.08,0.69,862.5
2021-03-31,2021-04-29,0.84,0.39,0.45,115.3846
2020-12-31,2021-02-04,1.44,1.24,0.2,16.129
2020-09-30,2020-10-29,0.94,1.16,-0.22,-18.9655
2020-06-30,2020-07-30,-0.77,-0.8,0.03,3.75
2020-03-31,2020-04-30,0.07,0.59,-0.52,-88.1356
2019-12-31,2020-02-06,1.67,1.65,0.02,1.2121
2019-09-30,2019-10-30,1.75,1.55,0.2,12.9032
2019-06-30,2019-07-25,0.34,0.01,0.33,3300
2019-03-31,2019-04-25,1.07,0.83,0.24,28.9157
2018-12-31,2019-02-07,1.68,1.28,0.4,31.25
2018-09-30,2018-10-25,1.41,1.27,0.14,11.0236
2018-06-30,2018-07-26,0.16,-0.1,0.26,260
2018-03-31,2018-04-26,0.77,0.58,0.19,32.7586
2017-12-31,2018-02-08,1.31,1.15,0.16,13.913
2017-09-30,2017-10-26,1.25,1.15,0.1,8.6957
2017-06-30,2017-07-27,-0.17,-0.2,0.03,15
2017-03-31,2017-04-27,0.51,0.41,0.1,24.3902
2016-12-31,2017-02-09,1.2,1.1,0.1,9.0909
2016-09-30,2016-10-27,1.18,1.17,0.01,0.8547
2016-06-30,2016-07-28,-0.12,-0.17,0.05,29.4118
2016-03-31,2016-04-28,0.45,0.33,0.12,36.3636
2015-12-31,2016-02-11,0.9,0.75,0.15,20
2015-09-30,2015-10-29,1.28,1.09,0.19,17.4312
2015-06-30,2015-07-30,-0.09,-0.23,0.14,60.8696
2015-03-31,2015-04-30,0.37,0.36,0.01,2.7778
2014-12-31,2015-02-12,0.79,0.67,0.12,17.9104
2014-09-30,2014-10-30,0.93,0.87,0.06,6.8966
2014-06-30,2014-07-24,-0.13,-0.17,0.04,23.5294
2014-03-31,2014-04-29,0.32,0.16,0.16,100
2013-12-31,2014-02-18,0.61,0.46,0.15,32.6087
2013-09-30,2013-10-24,0.79,0.72,0.07,9.7222
2013-06-30,2013-07-25,-0.1,-0.19,0.09,47.3684
2013-03-31,2013-04-25,0.14,0.07,0.07,100
2012-12-31,2013-02-07,0.57,0.57,0,0
2012-09-30,2012-10-25,0.94,0.83,0.11,13.253
2012-06-30,2012-07-26,-0.11,-0.15,0.04,26.6667
2012-03-31,2012-04-26,0.1,0.04,0.06,150
2011-12-31,2012-02-02,0.54,0.52,0.02,3.8462
2011-09-30,2011-10-25,0.97,0.8,0.17,21.25
2011-06-30,2011-07-28,-0.2,-0.24,0.04,16.6667
2011-03-31,2011-04-28,0.19,0.14,0.05,35.7143
2010-12-31,2011-01-27,0.39,0.32,0.07,21.875
2010-09-30,2010-10-21,0.77,0.74,0.03,4.0541
2010-06-30,2010-07-22,-0.15,-0.21,0.06,28.5714
2010-03-31,2010-04-22,0.14,0.11,0.03,27.2727
2009-12-31,2010-01-28,0.34,0.19,0.15,78.9474
2009-09-30,2009-10-22,0.69,0.5,0.19,38
2009-06-30,2009-07-28,-0.14,-0.21,0.07,33.3333
2009-03-31,2009-04-23,0.1,0.03,0.07,233.3333
2008-12-31,2009-01-29,0.4,0.32,0.08,25
2008-09-30,2008-10-23,0.85,0.7,0.15,21.4286
2008-06-30,2008-07-24,-0.02,0.02,-0.04,-200
2008-03-31,2008-04-24,0.28,0.26,0.02,7.6923
2007-12-31,2008-01-31,0.63,0.5,0.13,26
