fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,1.57,1.68,-0.11,-6.5476
2022-06-30,2022-08-05,1.88,1.4,0.48,34.2857
2022-03-31,2022-05-18,1.17,1.03,0.14,13.5922
2021-12-31,2022-02-03,0.52,0.41,0.11,26.8293
2021-09-30,2021-11-03,1.14,1.5,-0.36,-24
2021-06-30,2021-08-04,1.46,1.31,0.15,11.4504
2021-03-31,2021-05-20,0.61,0.98,-0.37,-37.7551
2020-12-31,2021-02-05,0.16,0.35,-0.19,-54.2857
2020-09-30,2020-10-30,1.1,0.95,0.15,15.7895
2020-06-30,2020-08-03,0.81,0.59,0.22,37.2881
2020-03-31,2020-05-20,0.83,0.75,0.08,10.6667
2019-12-31,2020-02-04,0.48,0.49,-0.01,-2.0408
2019-09-30,2019-11-05,0.92,0.87,0.05,5.7471
2019-06-30,2019-08-08,0.98,0.89,0.09,10.1124
2019-03-31,2019-05-22,0.75,0.66,0.09,13.6364
2018-12-31,2019-02-05,0.46,0.41,0.05,12.1951
2018-09-30,2018-11-07,0.79,0.67,0.12,17.9104
2018-06-30,2018-07-31,0.76,0.76,0,0
2018-03-31,2018-05-30,0.51,0.46,0.05,10.8696
2017-12-31,2018-02-08,0.32,0.29,0.03,10.3448
2017-09-30,2017-11-08,0.56,0.55,0.01,1.8182
2017-06-30,2017-08-09,0.64,0.55,0.09,16.3636
2017-03-31,2017-06-14,0.43,0.4,0.03,7.5
2016-12-31,2017-02-13,0.26,0.28,-0.02,-7.1429
2016-09-30,2016-11-11,0.48,0.47,0.01,2.1277
2016-06-30,2016-08-15,0.51,0.54,-0.03,-5.5556
2016-03-31,2016-06-08,0.35,0.33,0.02,6.0606
2015-12-31,2016-02-16,0.24,0.46,-0.22,-47.8261
2015-09-30,2015-11-16,0.24,0.46,-0.22,-47.8261
