fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-11-30,2022-12-01,0.67,0.73,-0.06,-8.2192
2022-08-31,2022-08-31,0.62,0.52,0.1,19.2308
2022-05-31,2022-06-02,0.48,0.25,0.23,92
2022-02-28,2022-03-17,0.15,0.16,-0.01,-6.25
2021-11-30,2021-12-07,0.86,0.56,0.3,53.5714
2021-08-31,2021-09-01,0.5522,0.21,0.3422,162.9524
2021-05-31,2021-08-31,0.56,0.24,0.32,133.3333
2021-02-28,2021-03-16,-0.53,-0.68,0.15,22.0588
2020-11-30,2020-12-09,-0.26,-0.48,0.22,45.8333
2020-08-31,2020-09-03,-1.28,-0.85,-0.43,-50.5882
2020-05-31,2020-06-18,-1.83,-0.6,-1.23,-205
2020-02-29,2020-03-17,-0.05,-0.07,0.02,28.5714
2019-11-30,2019-12-10,0.67,0.74,-0.07,-9.4595
2019-08-31,2019-08-31,0.48,0.47,0.01,2.1277
2019-05-31,2019-08-29,0.48,0.47,0.01,2.1277
2019-02-28,2019-03-19,-0.07,0.04,-0.11,-275
2018-11-30,2018-12-11,0.7,0.51,0.19,37.2549
2018-05-31,2018-08-28,0.63,0.46,0.17,36.9565
2018-02-28,2018-03-13,0.38,0.27,0.11,40.7407
2017-11-30,2018-02-03,0.38,0.27,0.11,40.7407
2017-08-31,2017-11-21,0.45,0.53,-0.08,-15.0943
2017-05-31,2017-08-22,0.38,0.29,0.09,31.0345
2017-02-28,2017-03-14,0.2,0.16,0.04,25
2016-08-31,2016-11-22,0.51,0.49,0.02,4.0816
2016-05-31,2016-08-30,0.35,0.3,0.05,16.6667
2016-02-29,2016-03-15,0.14,0.07,0.07,100
2015-08-31,2015-11-24,0.44,0.43,0.01,2.3256
2015-05-31,2015-08-25,0.42,0.42,0,0
2015-02-28,2015-03-17,0.35,0.28,0.07,25
2014-08-31,2014-11-25,0.56,0.52,0.04,7.6923
2014-05-31,2014-08-26,0.37,0.32,0.05,15.625
2014-02-28,2014-03-18,0.31,0.29,0.02,6.8966
2013-08-31,2013-11-26,0.58,0.58,0,0
2013-05-31,2013-08-27,0.49,0.4,0.09,22.5
2013-02-28,2013-03-19,0.35,0.36,-0.01,-2.7778
2012-08-31,2012-11-20,0.51,0.44,0.07,15.9091
2012-05-31,2012-08-21,0.33,0.31,0.02,6.4516
2012-02-29,2012-03-20,0.26,0.25,0.01,4
2011-08-31,2011-11-22,0.44,0.4,0.04,10
2011-05-31,2011-08-30,0.37,0.31,0.06,19.3548
2011-02-28,2011-03-15,0.21,0.22,-0.01,-4.5455
2010-08-31,2010-11-23,0.4,0.38,0.02,5.2632
2010-05-31,2010-08-31,0.26,0.24,0.02,8.3333
2010-02-28,2010-03-16,0.15,0.16,-0.01,-6.25
2009-08-31,2009-11-24,0.3,0.23,0.07,30.4348
2009-05-31,2009-08-26,0.09,0.05,0.04,80
2009-02-28,2009-03-25,-0.08,-0.06,-0.02,-33.3333
2008-08-31,2008-11-25,0.15,0.13,0.02,15.3846
2008-05-31,2008-08-28,0.13,0.05,0.08,160
2008-02-29,2008-03-27,0.01,0.03,-0.02,-66.6667
2007-11-30,2007-12-05,0.26,0.17,0.09,52.9412
2007-08-31,2007-09-05,0.08,0.15,-0.07,-46.6667
2007-05-31,2007-06-06,0.27,0.24,0.03,12.5
2007-02-28,2007-03-29,0.19,0.15,0.04,26.6667
2006-08-31,2006-11-29,0.18,0.13,0.05,38.4615
2006-05-31,2006-06-06,0.2,0.17,0.03,17.6471
2006-02-28,2006-04-11,0.12,0.12,0,0
2005-11-30,2005-12-06,0.13,0.11,0.02,18.1818
2005-08-31,2005-09-07,0.13,0.12,0.01,8.3333
