fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-07,0.04,-0.01,0.05,500
2022-06-30,2022-08-10,0.06,-0.06,0.12,200
2022-03-31,2022-05-09,-0.1,-0.1,0,0
2021-12-31,2022-02-07,-0.02,-0.1,0.08,80
2021-09-30,2021-11-02,-0.13,-0.12,-0.01,-8.3333
2021-06-30,2021-08-09,-0.09,-0.08,-0.01,-12.5
2021-03-31,2021-05-04,0.05,0.04,0.01,25
2020-12-31,2021-02-08,0.07,0.13,-0.06,-46.1538
2020-09-30,2020-11-09,0.34,0.28,0.06,21.4286
2020-06-30,2020-08-10,0.81,0.82,-0.01,-1.2195
2020-03-31,2020-05-05,0.58,0.54,0.04,7.4074
2019-12-31,2020-02-05,0.45,0.55,-0.1,-18.1818
2019-09-30,2019-10-23,-0.06,-0.07,0.01,14.2857
2019-06-30,2019-08-06,-0.02,-0.04,0.02,50
2019-03-31,2019-05-08,0.16,0.08,0.08,100
2018-12-31,2019-02-06,0.13,0.14,-0.01,-7.1429
2018-09-30,2018-11-01,-0.1,-0.09,-0.01,-11.1111
2018-06-30,2018-08-07,-0.17,-0.17,0,0
2018-03-31,2018-05-07,-0.06,-0.08,0.02,25
2017-12-31,2018-02-06,-0.02,-0.01,-0.01,-100
2017-09-30,2017-11-13,-0.04,-0.08,0.04,50
2017-06-30,2017-08-08,0.04,0.01,0.03,300
2017-03-31,2017-05-08,0.23,0.2,0.03,15
2016-12-31,2017-01-30,0.18,0.1,0.08,80
2016-09-30,2016-11-01,0.01,0.02,-0.01,-50
2016-06-30,2016-08-09,0.34,0.3,0.04,13.3333
2016-03-31,2016-05-02,0.37,0.38,-0.01,-2.6316
2015-12-31,2016-02-03,0.31,0.31,0,0
2015-09-30,2015-11-03,0.27,0.28,-0.01,-3.5714
2015-06-30,2015-07-28,0.22,0.19,0.03,15.7895
2015-03-31,2015-04-28,0.23,0.26,-0.03,-11.5385
2014-12-31,2015-01-28,-0.04,0.07,-0.11,-157.1429
2014-09-30,2014-11-10,-0.1,-0.06,-0.04,-66.6667
2014-06-30,2014-08-27,-0.12,-0.12,0,0
2014-03-31,2014-04-29,-0.01,-0.02,0.01,50
2013-12-31,2014-01-22,0.48,-0.17,0.65,382.3529
2013-09-30,2013-10-30,-0.26,-0.47,0.21,44.6809
2013-06-30,2013-08-06,-0.5,-0.54,0.04,7.4074
2013-03-31,2013-04-29,-0.2,-0.31,0.11,35.4839
2012-12-31,2013-01-29,0.04,-0.04,0.08,200
2012-09-30,2012-10-23,-0.32,0.01,-0.33,-3300
2012-06-30,2012-07-23,0.24,0.58,-0.34,-58.6207
2012-03-31,2012-05-02,1.32,0.77,0.55,71.4286
2011-12-31,2012-01-23,0.72,0.53,0.19,35.8491
2011-09-30,2011-10-25,0.6,0.47,0.13,27.6596
2011-06-30,2011-07-13,0.84,0.78,0.06,7.6923
2011-03-31,2011-04-18,0.84,1.08,-0.24,-22.2222
2010-12-31,2011-01-13,1.2,1.27,-0.07,-5.5118
2010-09-30,2010-10-26,0.84,0.77,0.07,9.0909
2010-06-30,2010-08-26,-0.24,0.8,-1.04,-130
2010-03-31,2010-05-19,-0.36,0.78,-1.14,-146.1538
2009-12-31,2010-02-16,0.96,0.98,-0.02,-2.0408
2009-09-30,2009-11-24,0.84,0.79,0.05,6.3291
2009-06-30,2009-09-02,0.84,1.92,-1.08,-56.25
2009-03-31,2009-05-19,3.12,3.46,-0.34,-9.8266
2008-12-31,2009-02-10,3.6,4.12,-0.52,-12.6214
2008-09-30,2008-11-18,3.72,3.79,-0.07,-1.847
2008-06-30,2008-09-02,3.48,3.16,0.32,10.1266
2008-03-31,2008-05-14,3,3.3,-0.3,-9.0909
2007-12-31,2008-02-07,2.4,2.7,-0.3,-11.1111
2007-09-30,2007-11-19,2.76,2.79,-0.03,-1.0753
2007-06-30,2007-08-29,3,3.12,-0.12,-3.8462
2007-03-31,2007-05-11,2.88,3.17,-0.29,-9.1483
2006-12-31,2007-02-09,3.6,3.66,-0.06,-1.6393
2006-09-30,2006-11-14,3.36,3.43,-0.07,-2.0408
2006-06-30,2006-08-07,2.64,2.6,0.04,1.5385
2006-03-31,2006-05-22,4.68,4.38,0.3,6.8493
2005-12-31,2006-02-28,3.84,4.18,-0.34,-8.134
