fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-04,-1,-1.04,0.04,3.8462
2022-06-30,2022-08-05,-0.5,-0.85,0.35,41.1765
2022-03-31,2022-05-06,-1.14,-1.17,0.03,2.5641
2021-12-31,2022-02-18,-0.8,-0.81,0.01,1.2346
2021-09-30,2021-11-05,-1.35,-1.06,-0.29,-27.3585
2021-06-30,2021-08-06,-0.76,-0.55,-0.21,-38.1818
2021-03-31,2021-05-07,-0.87,-0.42,-0.45,-107.1429
2020-12-31,2021-02-26,-0.68,-0.47,-0.21,-44.6809
2020-09-30,2020-11-13,-0.98,-0.61,-0.37,-60.6557
2020-06-30,2020-08-14,-0.4,-0.2,-0.2,-100
2020-03-31,2020-05-15,-0.24,-0.16,-0.08,-50
2019-12-31,2020-03-12,-0.05,-0.23,0.18,78.2609
2019-09-30,2019-11-13,0.03,None,None,None
2019-06-30,2019-08-12,0.02,0,0.02,None
2019-03-31,2019-05-14,0,0,0,None
