fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-07,0.05,-0.35,0.4,114.2857
2022-06-30,2022-08-10,-0.22,-0.15,-0.07,-46.6667
2022-03-31,2022-05-10,-0.34,-0.12,-0.22,-183.3333
2021-12-31,2022-03-07,-1.25,0,-1.25,None
2021-09-30,2021-11-08,-0.05,0,-0.05,None
2021-06-30,2021-08-04,-16.47,0,-16.47,None
2021-03-31,2021-05-10,-2.62,0,-2.62,None
2020-03-31,2020-05-04,-6.25,-0.77,-5.48,-711.6883
2019-12-31,2020-02-10,-0.45,-0.66,0.21,31.8182
2019-09-30,2019-10-28,-0.67,-0.69,0.02,2.8986
2019-06-30,2019-08-05,-0.99,-0.88,-0.11,-12.5
2019-03-31,2019-04-29,-0.53,-0.59,0.06,10.1695
2018-12-31,2019-02-11,-0.42,-0.4,-0.02,-5
2018-09-30,2018-11-05,-0.26,-0.36,0.1,27.7778
2018-06-30,2018-07-30,-0.33,-0.39,0.06,15.3846
2018-03-31,2018-04-30,-0.16,-0.19,0.03,15.7895
2017-12-31,2018-02-12,-0.05,-0.06,0.01,16.6667
2017-09-30,2017-10-30,0.25,0.2,0.05,25
2017-06-30,2017-07-31,0.45,0.24,0.21,87.5
2017-03-31,2017-05-01,0.17,0.12,0.05,41.6667
2016-12-31,2017-02-06,0.27,0.13,0.14,107.6923
2016-09-30,2016-10-31,0.1,0.08,0.02,25
2016-06-30,2016-08-01,0.16,0.03,0.13,433.3333
2016-03-31,2016-05-02,0.64,0.27,0.37,137.037
2015-12-31,2016-02-08,0.9,0.54,0.36,66.6667
2015-09-30,2015-11-02,1.01,0.6,0.41,68.3333
2015-06-30,2015-08-03,0.66,0.47,0.19,40.4255
2015-03-31,2015-05-04,0.5,0.43,0.07,16.2791
2014-12-31,2015-02-09,0.72,0.66,0.06,9.0909
2014-09-30,2014-10-23,0.96,0.79,0.17,21.519
2014-06-30,2014-07-24,0.66,0.56,0.1,17.8571
2014-03-31,2014-04-24,0.93,0.65,0.28,43.0769
2013-12-31,2014-02-06,0.96,0.81,0.15,18.5185
2013-09-30,2013-10-24,1.22,1.17,0.05,4.2735
2013-06-30,2013-07-25,1.33,1.24,0.09,7.2581
2013-03-31,2013-04-25,1.27,1.16,0.11,9.4828
2012-12-31,2013-02-05,1.41,1.1,0.31,28.1818
2012-09-30,2012-10-18,1.28,1.02,0.26,25.4902
2012-06-30,2012-07-19,1.09,0.9,0.19,21.1111
2012-03-31,2012-04-19,1.21,0.99,0.22,22.2222
2011-12-31,2012-02-02,1.36,0.99,0.37,37.3737
2011-09-30,2011-10-20,1.85,1.48,0.37,25
2011-06-30,2011-07-21,1.91,1.92,-0.01,-0.5208
2011-03-31,2011-04-21,1.8,1.43,0.37,25.8741
2010-12-31,2011-02-03,1.73,1.47,0.26,17.6871
2010-09-30,2010-10-21,1.27,1.34,-0.07,-5.2239
2010-06-30,2010-07-22,1.61,1.78,-0.17,-9.5506
2010-03-31,2010-04-22,2.09,1.93,0.16,8.2902
2009-12-31,2010-02-04,1.98,2.32,-0.34,-14.6552
2009-09-30,2009-10-22,2.62,2.3,0.32,13.913
2009-06-30,2009-07-23,2.79,2.63,0.16,6.0837
2009-03-31,2009-04-23,2.51,2.22,0.29,13.0631
2008-12-31,2009-02-05,2.11,2.34,-0.23,-9.8291
2008-09-30,2008-10-23,2.23,2.23,0,0
2008-06-30,2008-07-24,2.99,2.78,0.21,7.554
2008-03-31,2008-04-24,2.09,2.12,-0.03,-1.4151
2007-12-31,2008-02-07,1.61,1.68,-0.07,-4.1667
2007-09-30,2007-10-25,1.48,1.48,0,0
2007-06-30,2007-07-26,1.81,1.73,0.08,4.6243
2007-03-31,2007-04-26,1.64,1.47,0.17,11.5646
2006-12-31,2007-02-08,1.6,1.38,0.22,15.942
2006-09-30,2006-10-27,1.19,1.25,-0.06,-4.8
2006-06-30,2006-07-26,1.27,1.23,0.04,3.252
2006-03-31,2006-04-26,1.06,0.98,0.08,8.1633
2005-12-31,2006-02-08,0.78,0.61,0.17,27.8689
2005-09-30,2005-10-26,0.44,0.4,0.04,10
2005-06-30,2005-07-27,0.3,0.29,0.01,3.4483
2005-03-31,2005-04-27,0.23,0.18,0.05,27.7778
2004-12-31,2005-02-09,0.09,0.14,-0.05,-35.7143
2004-09-30,2004-10-19,0.02,0.04,-0.02,-50
2004-06-30,2004-07-21,-0.08,-0.04,-0.04,-100
2004-03-31,2004-04-20,-0.08,-0.06,-0.02,-33.3333
2003-12-31,2004-01-29,0.01,-0.04,0.05,125
2003-09-30,2003-10-16,-0.09,-0.07,-0.02,-28.5714
2003-06-30,2003-07-17,-0.13,-0.08,-0.05,-62.5
2003-03-31,2003-04-17,-0.17,-0.07,-0.1,-142.8571
2002-12-31,2003-01-28,0.05,0.04,0.01,25
2002-09-30,2002-10-17,0.06,0.06,0,0
