fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-20,2.74,2.52,0.22,8.7302
2022-06-30,2022-07-27,1.73,1.69,0.04,2.3669
2022-03-31,2022-04-26,0.69,0.72,-0.03,-4.1667
2021-12-31,2022-02-09,1.15,1.3,-0.15,-11.5385
2021-09-30,2021-10-20,1.77,1.39,0.38,27.3381
2021-06-30,2021-07-27,0.53,0.7,-0.17,-24.2857
2021-03-31,2021-04-28,0.23,0.41,-0.18,-43.9024
2020-12-31,2021-02-09,1.11,0.73,0.38,52.0548
2020-09-30,2020-10-27,1.12,0.53,0.59,111.3208
2020-06-30,2020-07-28,0.04,-0.37,0.41,110.8108
2020-03-31,2020-04-28,0.55,0.75,-0.2,-26.6667
2019-12-31,2020-02-10,1.63,1.61,0.02,1.2422
2019-09-30,2019-10-22,2.84,2.8,0.04,1.4286
2019-06-30,2019-07-23,1.69,1.7,-0.01,-0.5882
2019-03-31,2019-04-29,0.85,0.83,0.02,2.4096
2018-12-31,2019-02-07,1.37,1.27,0.1,7.874
2018-09-30,2018-10-18,2.16,2.1,0.06,2.8571
2018-06-30,2018-07-24,1.32,1.32,0,0
2018-03-31,2018-04-24,0.73,0.73,0,0
2017-12-31,2018-02-06,1.13,1.12,0.01,0.8929
2017-09-30,2017-10-19,1.61,1.6,0.01,0.625
2017-06-30,2017-07-25,1.09,1.08,0.01,0.9259
2017-03-31,2017-04-25,0.73,0.73,0,0
2016-12-31,2017-02-07,0.99,0.99,0,0
2016-09-30,2016-10-20,1.35,1.34,0.01,0.7463
2016-06-30,2016-07-25,0.97,0.9,0.07,7.7778
2016-03-31,2016-04-26,0.69,0.68,0.01,1.4706
2015-12-31,2016-02-09,0.92,0.92,0,0
2015-09-30,2015-10-21,1.04,0.95,0.09,9.4737
2015-06-30,2015-07-28,0.78,0.7,0.08,11.4286
2015-03-31,2015-04-28,0.56,0.54,0.02,3.7037
2014-12-31,2015-02-10,0.74,0.72,0.02,2.7778
2014-09-30,2014-10-22,0.8,0.73,0.07,9.589
2014-06-30,2014-07-29,0.58,0.57,0.01,1.7544
2014-03-31,2014-04-29,0.46,0.45,0.01,2.2222
2013-12-31,2014-02-11,0.63,0.57,0.06,10.5263
2013-09-30,2013-10-22,0.56,0.54,0.02,3.7037
2013-06-30,2013-07-23,0.48,0.47,0.01,2.1277
2013-03-31,2013-04-23,0.38,0.37,0.01,2.7027
2012-12-31,2013-02-12,0.44,0.46,-0.02,-4.3478
2012-09-30,2012-10-23,0.42,0.41,0.01,2.439
2012-06-30,2012-07-24,0.39,0.38,0.01,2.6316
2012-03-31,2012-04-24,0.33,0.33,0,0
2011-12-31,2012-02-20,0.46,0.41,0.05,12.1951
2011-09-30,2011-10-25,0.37,0.37,0,0
2011-06-30,2011-07-26,0.35,0.35,0,0
2011-03-31,2011-04-27,0.3,0.31,-0.01,-3.2258
2010-12-31,2011-02-15,0.4,0.39,0.01,2.5641
2010-09-30,2010-10-26,0.34,0.33,0.01,3.0303
2010-06-30,2010-07-27,0.3,0.31,-0.01,-3.2258
2010-03-31,2010-04-27,0.32,0.32,0,0
2009-12-31,2010-02-16,0.37,0.38,-0.01,-2.6316
2009-09-30,2009-10-27,0.34,0.32,0.02,6.25
2009-06-30,2009-07-28,0.3,0.29,0.01,3.4483
2009-03-31,2009-04-28,0.31,0.27,0.04,14.8148
2008-12-31,2009-02-24,0.34,0.31,0.03,9.6774
2008-09-30,2008-10-28,0.3,0.31,-0.01,-3.2258
2008-06-30,2008-07-30,0.32,0.32,0,0
2008-03-31,2008-04-29,0.29,0.3,-0.01,-3.3333
2007-12-31,2008-02-20,0.34,0.35,-0.01,-2.8571
2007-09-30,2007-10-23,0.32,0.31,0.01,3.2258
2007-06-30,2007-07-23,0.29,0.3,-0.01,-3.3333
2007-03-31,2007-04-24,0.31,0.31,0,0
2006-12-31,2007-02-20,0.3,0.29,0.01,3.4483
2006-09-30,2006-10-24,0.28,0.27,0.01,3.7037
2006-06-30,2006-07-25,0.26,0.26,0,0
2006-03-31,2006-04-25,0.25,0.24,0.01,4.1667
