fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-17,0.36,0.37,-0.01,-2.7027
2022-06-30,2022-07-18,0.33,0.34,-0.01,-2.9412
2022-03-31,2022-04-18,0.45,0.39,0.06,15.3846
2021-12-31,2022-01-24,0.36,0.33,0.03,9.0909
2021-09-30,2021-10-18,0.38,0.35,0.03,8.5714
2021-06-30,2021-07-19,0.32,0.28,0.04,14.2857
2021-03-31,2021-04-19,0.35,0.37,-0.02,-5.4054
2020-12-31,2021-01-25,0.35,0.33,0.02,6.0606
2020-09-30,2020-10-19,0.31,0.28,0.03,10.7143
2020-06-30,2020-07-20,0.25,0.24,0.01,4.1667
2020-03-31,2020-04-20,0.35,0.37,-0.02,-5.4054
2019-12-31,2020-01-27,0.3,0.31,-0.01,-3.2258
2019-09-30,2019-10-21,0.35,0.32,0.03,9.375
2019-06-30,2019-07-22,0.27,0.28,-0.01,-3.5714
2019-03-31,2019-04-22,0.63,0.35,0.28,80
2018-12-31,2019-01-28,0.28,0.31,-0.03,-9.6774
2018-09-30,2018-10-22,0.32,0.31,0.01,3.2258
2018-06-30,2018-07-23,0.26,0.27,-0.01,-3.7037
2018-03-31,2018-04-23,0.34,0.52,-0.18,-34.6154
2017-12-31,2018-01-29,0.27,0.26,0.01,3.8462
2017-09-30,2017-10-16,0.28,0.27,0.01,3.7037
2017-06-30,2017-07-17,0.225,0.46,-0.235,-51.087
2017-03-31,2017-04-17,0.65,0.63,0.02,3.1746
2016-12-31,2017-01-23,0.46,0.45,0.01,2.2222
2016-09-30,2016-10-17,0.48,0.49,-0.01,-2.0408
2016-06-30,2016-07-18,0.42,0.39,0.03,7.6923
2016-03-31,2016-04-18,0.6,0.57,0.03,5.2632
2015-12-31,2016-01-25,0.41,0.43,-0.02,-4.6512
2015-09-30,2015-10-19,0.43,0.43,0,0
2015-06-30,2015-07-20,0.38,0.37,0.01,2.7027
2015-03-31,2015-04-20,0.52,0.44,0.08,18.1818
2014-12-31,2015-01-26,0.34,0.32,0.02,6.25
2014-09-30,2014-10-20,0.3,0.37,-0.07,-18.9189
2014-06-30,2014-07-21,0.1516,0.37,-0.2184,-59.027
2014-03-31,2014-04-21,0.46,0.44,0.02,4.5455
2013-12-31,2014-01-27,0.29,0.46,-0.17,-36.9565
2013-09-30,2013-10-21,0.16,-0.04,0.2,500
2013-06-30,2013-07-22,0.1,0.14,-0.04,-28.5714
2013-03-31,2013-04-22,0.21,0.2,0.01,5
2012-12-31,2013-01-28,0.14,0.09,0.05,55.5556
2012-09-30,2012-10-23,0.0963,None,None,None
2012-06-30,2012-07-16,0.01,0.01,0,0
2012-03-31,2012-04-16,0.08,0.07,0.01,14.2857
2011-12-31,2012-01-23,-0.001,0.02,-0.021,-105
2011-09-30,2011-10-17,-0.02,-0.05,0.03,60
