fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-15,0.82,0.78,0.04,5.1282
2022-06-30,2022-08-08,0.77,0.76,0.01,1.3158
2022-03-31,2022-05-09,0.47,0.38,0.09,23.6842
2021-12-31,2022-02-07,1.03,0.95,0.08,8.4211
2021-09-30,2021-11-10,0.79,0.73,0.06,8.2192
2021-06-30,2021-08-09,0.74,0.67,0.07,10.4478
2021-03-31,2021-05-10,0.77,0.6,0.17,28.3333
2020-12-31,2021-02-08,1.17,0.89,0.28,31.4607
2020-09-30,2020-11-12,0.59,0.81,-0.22,-27.1605
2020-06-30,2020-08-05,0.5,0.58,-0.08,-13.7931
2020-03-31,2020-05-07,0.37,0.36,0.01,2.7778
2019-12-31,2020-02-05,0.85,0.99,-0.14,-14.1414
2019-09-30,2019-11-13,0.93,0.81,0.12,14.8148
2019-06-30,2019-08-06,0.37,0.46,-0.09,-19.5652
2019-03-31,2019-05-07,0.2,0.24,-0.04,-16.6667
2018-12-31,2019-02-05,1.64,1.5,0.14,9.3333
2018-09-30,2018-11-15,0.83,0.81,0.02,2.4691
2018-06-30,2018-08-01,0.54,0.53,0.01,1.8868
2018-03-31,2018-05-02,0.45,0.43,0.02,4.6512
2017-12-31,2018-01-31,1.55,1.43,0.12,8.3916
2017-09-30,2017-11-08,0.54,0.49,0.05,10.2041
2017-06-30,2017-08-02,0.43,0.36,0.07,19.4444
2017-03-31,2017-05-03,0.5,0.34,0.16,47.0588
2016-12-31,2017-02-01,1.51,1.23,0.28,22.7642
2016-09-30,2016-11-08,0.54,0.5,0.04,8
2016-06-30,2016-08-03,0.32,0.3,0.02,6.6667
2016-03-31,2016-05-04,0.3,0.21,0.09,42.8571
2015-12-31,2016-02-03,1.16,0.7,0.46,65.7143
2015-09-30,2015-11-12,0.61,0.62,-0.01,-1.6129
2015-06-30,2015-08-06,0.64,0.5,0.14,28
2015-03-31,2015-05-05,0.64,1.27,-0.63,-49.6063
2014-12-31,2015-01-28,2.07,2.13,-0.06,-2.8169
2014-09-30,2014-11-18,1.87,2.14,-0.27,-12.6168
2014-06-30,2014-07-30,1.46,1.55,-0.09,-5.8065
2014-03-31,2014-04-30,1.88,1.71,0.17,9.9415
2013-12-31,2014-01-29,2.1,2.14,-0.04,-1.8692
2013-09-30,2013-11-05,1.38,1.32,0.06,4.5455
