fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,-26.1,None,None,None
2022-06-30,2022-08-09,-28.62,None,None,None
2022-03-31,2022-05-05,-16.04,None,None,None
2021-12-31,2022-02-24,4,None,None,None
2021-09-30,2021-11-04,-10.68,None,None,None
2021-06-30,2021-08-05,17.28,None,None,None
2021-03-31,2021-05-07,8.38,None,None,None
2020-12-31,2021-03-01,36.9,None,None,None
2020-09-30,2020-11-06,28.24,None,None,None
2020-06-30,2020-08-10,36.65,3.48,33.17,953.1609
2020-03-31,2020-05-07,-23.98,None,None,None
2019-12-31,2020-02-27,8.89,None,None,None
2019-09-30,2019-11-07,5.42,None,None,None
2019-06-30,2019-08-06,10.7,None,None,None
2019-03-31,2019-05-08,16.57,None,None,None
2018-12-31,2019-03-01,-2.86,3.48,-6.34,-182.1839
2018-09-30,2018-11-08,-0.12,3.2,-3.32,-103.75
2018-06-30,2018-08-02,4.01,3,1.01,33.6667
2018-03-31,2018-05-08,2.12,6.04,-3.92,-64.9007
2017-12-31,2018-02-28,6.22,6.04,0.18,2.9801
2017-09-30,2017-11-08,1.81,2.25,-0.44,-19.5556
2017-06-30,2017-08-03,4.86,2.25,2.61,116
2017-03-31,2017-05-08,2.8,3.24,-0.44,-13.5802
2016-12-31,2017-02-26,1.16,None,None,None
2016-09-30,2016-11-08,8.02,3.24,4.78,147.5309
2016-06-30,2016-08-05,2.09,1.92,0.17,8.8542
2016-03-31,2016-05-06,2.35,0.8,1.55,193.75
2015-12-31,2016-02-29,5.85,6.27,-0.42,-6.6986
2015-09-30,2015-11-09,2.53,3.36,-0.83,-24.7024
2015-06-30,2015-08-07,0.75,1.38,-0.63,-45.6522
2015-03-31,2015-05-11,2.32,0.65,1.67,256.9231
2014-12-31,2015-03-02,5.62,7.13,-1.51,-21.1781
2014-09-30,2014-11-10,1.37,1.71,-0.34,-19.883
2014-06-30,2014-08-11,2.78,1.96,0.82,41.8367
2014-03-31,2014-05-09,0.84,1.19,-0.35,-29.4118
2013-12-31,2014-03-03,9.24,7.49,1.75,23.3645
2013-09-30,2013-11-07,2.39,2.38,0.01,0.4202
2013-06-30,2013-08-09,1.15,1.06,0.09,8.4906
2013-03-31,2013-05-10,0.72,0.39,0.33,84.6154
2012-12-31,2013-03-01,2.92,6.02,-3.1,-51.495
2012-09-30,2012-11-08,1.57,-0.08,1.65,2062.5
2012-06-30,2012-08-02,2.45,None,None,None
2012-03-31,2012-05-04,0.58,0.13,0.45,346.1538
2011-12-31,2012-02-24,8.76,9.21,-0.45,-4.886
2011-09-30,2011-11-04,0.83,0.43,0.4,93.0233
2011-06-30,2011-08-05,0.66,0.27,0.39,144.4444
2011-03-31,2011-05-09,0.265,None,None,None
2010-12-31,2011-03-07,9.09,6.13,2.96,48.2871
2010-09-30,2010-11-05,1.53,2.57,-1.04,-40.4669
2010-06-30,2010-08-06,0.89,0.38,0.51,134.2105
2010-03-31,2010-05-07,1.15,1.43,-0.28,-19.5804
2009-12-31,2010-03-04,5.84,5.97,-0.13,-2.1776
2009-09-30,2009-11-11,2.53,1.85,0.68,36.7568
2009-06-30,2009-08-07,0.63,0.94,-0.31,-32.9787
2009-03-31,2009-05-08,0.84,1.53,-0.69,-45.098
2008-12-31,2009-03-05,7.13,3.67,3.46,94.2779
2008-09-30,2008-11-10,-2.72,0.71,-3.43,-483.0986
2008-06-30,2008-08-11,0.83,0.8,0.03,3.75
2008-03-31,2008-05-12,0.9798,None,None,None
2007-12-31,2008-03-03,2.8645,None,None,None
2007-09-30,2007-11-12,0.2105,None,None,None
2007-06-30,2007-08-10,0.8934,None,None,None
2007-03-31,2007-05-11,1.1705,None,None,None
2006-12-31,2007-03-17,2500.9545,None,None,None
2006-09-30,2006-11-09,580.6315,None,None,None
2005-12-31,2006-03-16,3882.2463,None,None,None
2005-09-30,2005-11-09,204.7324,None,None,None
2005-06-30,2005-08-09,167.3156,None,None,None
2005-03-31,2005-05-10,50.3628,None,None,None
2004-12-31,2005-03-16,1724.1342,None,None,None
2004-09-30,2004-11-09,85.0958,None,None,None
2004-06-30,2004-08-09,117.1667,None,None,None
2004-03-31,2004-05-10,177,None,None,None
2003-12-31,2004-03-15,0.668,None,None,None
2003-09-30,2003-11-14,0.0709,None,None,None
2003-06-30,2003-08-09,0.2976,None,None,None
2003-03-31,2003-03-31,0.0746,None,None,None
2002-09-30,2002-09-30,0.1137,None,None,None
2002-06-30,2002-06-30,0.2812,None,None,None
