fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,1.3,1.12,0.18,16.0714
2022-06-30,2022-07-28,1.08,0.98,0.1,10.2041
2022-03-31,2022-04-28,1.18,1.06,0.12,11.3208
2021-12-31,2022-02-08,1.52,1.14,0.38,33.3333
2021-09-30,2021-10-20,0.84,0.81,0.03,3.7037
2021-06-30,2021-07-21,0.71,0.61,0.1,16.3934
2021-03-31,2021-04-21,0.85,0.72,0.13,18.0556
2020-12-31,2021-01-28,0.84,0.81,0.03,3.7037
2020-09-30,2020-10-21,0.59,0.53,0.06,11.3208
2020-06-30,2020-07-22,0.62,0.58,0.04,6.8966
2020-03-31,2020-04-22,0.96,0.89,0.07,7.8652
2019-12-31,2020-01-29,1.26,1.24,0.02,1.6129
2019-09-30,2019-10-23,0.84,0.84,0,0
2019-06-30,2019-07-24,0.82,0.82,0,0
2019-03-31,2019-04-24,0.97,0.9,0.07,7.7778
2018-12-31,2019-01-31,1.12,1.11,0.01,0.9009
2018-09-30,2018-10-25,0.81,0.8,0.01,1.25
2018-06-30,2018-07-26,0.7,0.65,0.05,7.6923
2018-03-31,2018-04-26,0.9,0.75,0.15,20
2017-12-31,2018-02-01,0.94,0.84,0.1,11.9048
2017-09-30,2017-10-26,0.61,0.6,0.01,1.6667
2017-06-30,2017-07-27,0.52,0.46,0.06,13.0435
2017-03-31,2017-04-27,0.68,0.61,0.07,11.4754
2016-12-31,2017-02-02,0.77,0.76,0.01,1.3158
2016-09-30,2016-10-27,0.58,0.52,0.06,11.5385
2016-06-30,2016-07-28,0.51,0.47,0.04,8.5106
2016-03-31,2016-04-28,0.47,0.44,0.03,6.8182
2015-12-31,2016-01-28,0.69,0.76,-0.07,-9.2105
2015-09-30,2015-10-20,0.4,0.61,-0.21,-34.4262
2015-06-30,2015-07-16,0.47,0.47,0,0
2015-03-31,2015-04-16,0.59,0.58,0.01,1.7241
2014-12-31,2015-01-27,0.94,0.98,-0.04,-4.0816
2014-09-30,2014-10-16,0.68,0.68,0,0
2014-06-30,2014-07-17,0.55,0.53,0.02,3.7736
2014-03-31,2014-04-17,0.65,0.66,-0.01,-1.5152
2013-12-31,2014-01-28,0.84,0.88,-0.04,-4.5455
2013-09-30,2013-10-17,0.68,0.65,0.03,4.6154
2013-06-30,2013-07-17,0.53,0.56,-0.03,-5.3571
2013-03-31,2013-04-17,0.68,0.68,0,0
2012-12-31,2013-01-23,0.93,0.91,0.02,2.1978
2012-09-30,2012-10-17,0.67,0.67,0,0
2012-06-30,2012-07-18,0.56,0.56,0,0
2012-03-31,2012-04-18,0.58,0.55,0.03,5.4545
2011-12-31,2012-01-25,0.7,0.69,0.01,1.4493
2011-09-30,2011-10-19,0.59,0.55,0.04,7.2727
2011-06-30,2011-07-20,0.48,0.47,0.01,2.1277
2011-03-31,2011-04-20,0.5,0.48,0.02,4.1667
2010-12-31,2011-01-26,0.59,0.54,0.05,9.2593
2010-09-30,2010-10-20,0.45,0.41,0.04,9.7561
2010-06-30,2010-07-21,0.36,0.34,0.02,5.8824
2010-03-31,2010-04-21,0.36,0.35,0.01,2.8571
2009-12-31,2010-01-27,0.44,0.43,0.01,2.3256
2009-09-30,2009-10-20,0.35,0.34,0.01,2.9412
2009-06-30,2009-07-21,0.31,0.3,0.01,3.3333
2009-03-31,2009-04-21,0.32,0.31,0.01,3.2258
2008-12-31,2009-01-27,0.36,0.33,0.03,9.0909
2008-09-30,2008-10-21,0.3,0.3,0,0
2008-06-30,2008-07-22,0.23,0.22,0.01,4.5455
2008-03-31,2008-04-22,0.22,0.21,0.01,4.7619
2007-12-31,2008-01-22,0.18,0.38,-0.2,-52.6316
2007-09-30,2007-10-17,0.32,0.33,-0.01,-3.0303
2007-06-30,2007-07-17,0.27,0.26,0.01,3.8462
2007-03-31,2007-04-18,0.31,0.3,0.01,3.3333
2006-12-31,2007-01-24,0.3,0.3,0,0
2006-09-30,2006-10-18,0.25,0.24,0.01,4.1667
2006-06-30,2006-07-19,0.2,0.19,0.01,5.2632
2006-03-31,2006-04-19,0.23,0.22,0.01,4.5455
2005-12-31,2006-01-24,0.24,0.23,0.01,4.3478
2005-09-30,2005-10-18,0.2,0.19,0.01,5.2632
2005-06-30,2005-07-19,0.16,0.15,0.01,6.6667
2005-03-31,2005-04-18,0.18,0.19,-0.01,-5.2632
2004-12-31,2005-01-25,0.18,0.18,0,0
2004-09-30,2004-10-19,0.16,0.16,0,0
2004-06-30,2004-07-15,0.13,0.12,0.01,8.3333
2004-03-31,2004-04-21,0.15,0.14,0.01,7.1429
2003-12-31,2004-01-22,0.14,0.14,0,0
2003-09-30,2003-10-22,0.12,0.11,0.01,9.0909
2003-06-30,2003-07-22,0.1,0.09,0.01,11.1111
2003-03-31,2003-04-24,0.12,0.12,0,0
2002-12-31,2003-01-30,0.11,0.11,0,0
2002-09-30,2002-10-24,0.09,0.08,0.01,12.5
2002-06-30,2002-07-23,0.08,0.06,0.02,33.3333
2002-03-31,2002-04-23,0.1,0.08,0.02,25
2001-12-31,2002-01-30,0.09,0.06,0.03,50
2001-09-30,2001-10-23,0.07,0.04,0.03,75
2001-06-30,2001-07-19,0.06,0.04,0.02,50
2001-03-31,2001-04-24,0.1,0.05,0.05,100
2000-12-31,2001-02-07,0.07,0.06,0.01,16.6667
2000-09-30,2000-10-25,0.04,0.04,0,0
2000-06-30,2000-07-26,0.03,0.03,0,0
2000-03-31,2000-03-31,-0.026,None,None,None
1999-12-31,2000-01-25,0.07,0.08,-0.01,-12.5
1999-09-30,1999-10-27,0.05,0.06,-0.01,-16.6667
1999-06-30,1999-07-21,0.05,0.06,-0.01,-16.6667
1999-03-31,1999-04-21,0.07,0.08,-0.01,-12.5
1998-09-30,1998-11-20,0.06,0.06,0,0
1998-06-30,1998-09-02,0.05,0.05,0,0
1998-03-31,1998-05-20,0.07,0.04,0.03,75
1997-12-31,1998-02-26,0.06,0.06,0,0
1997-09-30,1997-11-20,0.05,0.04,0.01,25
