fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-20,0.41,0.41,0,0
2022-06-30,2022-07-21,0.42,0.4,0.02,5
2022-03-31,2022-04-21,0.39,0.37,0.02,5.4054
2021-12-31,2022-01-27,0.39,0.39,0,0
2021-09-30,2021-10-21,0.41,0.38,0.03,7.8947
2021-06-30,2021-07-22,0.39,0.38,0.01,2.6316
2021-03-31,2021-04-22,0.4,0.37,0.03,8.1081
2020-12-31,2021-01-28,0.41,0.37,0.04,10.8108
2020-09-30,2020-10-22,0.37,0.34,0.03,8.8235
2020-06-30,2020-07-23,0.38,0.26,0.12,46.1538
2020-03-31,2020-04-23,0.26,0.29,-0.03,-10.3448
2019-12-31,2020-01-23,0.3,0.29,0.01,3.4483
2019-09-30,2019-10-17,0.32,0.31,0.01,3.2258
2019-06-30,2019-07-18,0.31,0.29,0.02,6.8966
2019-03-31,2019-04-18,0.28,0.28,0,0
2018-12-31,2019-01-24,0.29,0.29,0,0
2018-09-30,2018-10-18,0.3,0.28,0.02,7.1429
2018-06-30,2018-07-19,0.28,0.26,0.02,7.6923
2018-03-31,2018-04-19,0.26,0.24,0.02,8.3333
2017-12-31,2018-01-25,0.22,0.22,0,0
2017-09-30,2017-10-19,0.22,0.22,0,0
2017-06-30,2017-07-20,0.22,0.21,0.01,4.7619
2017-03-31,2017-04-20,0.4,0.39,0.01,2.5641
2016-12-31,2017-01-26,0.4,0.4,0,0
2016-09-30,2016-10-20,0.39,0.4,-0.01,-2.5
2016-06-30,2016-07-21,0.41,0.39,0.02,5.1282
2016-03-31,2016-04-21,0.39,0.39,0,0
2015-12-31,2016-01-28,0.38,0.41,-0.03,-7.3171
2015-09-30,2015-10-22,0.4,0.4,0,0
2015-06-30,2015-07-16,0.39,0.38,0.01,2.6316
2015-03-31,2015-04-16,0.37,0.36,0.01,2.7778
2014-12-31,2015-01-22,0.38,0.37,0.01,2.7027
2014-09-30,2014-10-16,0.36,0.36,0,0
2014-06-30,2014-07-17,0.17,0.17,0,0
2014-03-31,2014-04-17,0.18,0.16,0.02,12.5
2013-12-31,2014-01-23,0.17,0.17,0,0
2013-09-30,2013-10-17,0.15,0.16,-0.01,-6.25
2013-06-30,2013-07-18,0.15,0.15,0,0
2013-03-31,2013-04-18,0.15,0.14,0.01,7.1429
2012-12-31,2013-01-24,0.14,0.15,-0.01,-6.6667
2012-09-30,2012-10-18,0.16,0.14,0.02,14.2857
2012-06-30,2012-07-19,0.14,0.14,0,0
2012-03-31,2012-04-23,0.14,0.14,0,0
2011-12-31,2012-01-26,0.14,0.14,0,0
2011-09-30,2011-10-20,0.14,0.13,0.01,7.6923
2011-06-30,2011-07-21,0.13,0.13,0,0
2011-03-31,2011-04-21,0.13,0.12,0.01,8.3333
2010-12-31,2011-01-27,0.12,0.12,0,0
2010-09-30,2010-10-21,0.13,0.11,0.02,18.1818
2010-06-30,2010-07-22,0.11,0.11,0,0
2010-03-31,2010-04-22,0.11,0.1,0.01,10
2009-12-31,2010-01-28,0.1,0.11,-0.01,-9.0909
2009-09-30,2009-10-22,0.11,0.11,0,0
2009-06-30,2009-07-23,0.11,0.1,0.01,10
2009-03-31,2009-04-23,0.11,0.1,0.01,10
2008-12-31,2009-01-22,0.1,0.11,-0.01,-9.0909
2008-09-30,2008-10-23,0.11,0.1,0.01,10
2008-06-30,2008-07-17,0.11,0.11,0,0
2008-03-31,2008-04-17,0.11,0.11,0,0
2007-12-31,2008-01-24,0.1,0.1,0,0
2007-09-30,2007-10-18,0.1,0.1,0,0
2007-06-30,2007-07-19,0.11,0.1,0.01,10
2007-03-31,2007-04-19,0.09,0.1,-0.01,-10
2006-12-31,2007-01-24,0.09,0.09,0,0
2006-09-30,2006-10-19,0.09,0.09,0,0
2006-06-30,2006-07-20,0.09,0.09,0,0
2006-03-31,2006-04-20,0.09,0.09,0,0
2005-12-31,2006-01-19,0.09,0.09,0,0
2005-09-30,2005-10-20,0.09,0.08,0.01,12.5
2005-06-30,2005-07-20,0.09,0.08,0.01,12.5
2005-03-31,2005-04-20,0.1,0.08,0.02,25
2004-12-31,2005-01-19,0.08,0.08,0,0
2004-09-30,2004-10-19,0.08,0.07,0.01,14.2857
2004-06-30,2004-07-20,0.07,0.07,0,0
2004-03-31,2004-04-20,0.08,0.07,0.01,14.2857
2003-12-31,2004-01-16,0.07,0.07,0,0
2003-09-30,2003-10-16,0.07,0.07,0,0
2003-06-30,2003-07-16,0.07,0.07,0,0
2003-03-31,2003-04-16,0.07,0.07,0,0
2002-12-31,2003-01-16,0.07,0.07,0,0
2002-09-30,2002-10-16,0.07,0.07,0,0
2002-06-30,2002-07-17,0.07,0.07,0,0
2002-03-31,2002-04-16,0.07,0.06,0.01,16.6667
