fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-07,0.32,0.05,0.27,540
2022-06-30,2022-08-04,0.78,0.73,0.05,6.8493
2022-03-31,2022-05-03,5.08,3.86,1.22,31.6062
2021-12-31,2022-02-23,3.34,2.61,0.73,27.9693
2021-09-30,2021-11-09,3.93,3.25,0.68,20.9231
2021-06-30,2021-08-09,2.59,2.76,-0.17,-6.1594
2021-03-31,2021-05-06,6.52,5.86,0.66,11.2628
2020-12-31,2021-03-04,6.2,4.06,2.14,52.7094
2020-09-30,2020-11-09,2.08,0.55,1.53,278.1818
2020-06-30,2020-08-04,0.17,-0.02,0.19,950
2020-03-31,2020-05-04,-0.03,0.02,-0.05,-250
2019-12-31,2020-03-10,0.04,0.04,0,0
2019-09-30,2019-11-04,0.14,0.03,0.11,366.6667
2019-06-30,2019-08-05,0.06,-0.03,0.09,300
2019-03-31,2019-05-07,-0.06,-0.02,-0.04,-200
2018-12-31,2019-02-28,-0.01,-0.01,0,0
2018-09-30,2018-11-06,-0.033,-0.02,-0.013,-65
2018-06-30,2018-08-06,-0.01,-0.03,0.02,66.6667
2018-03-31,2018-05-07,-0.06,-0.04,-0.02,-50
2017-12-31,2018-02-28,-0.06,-0.01,-0.05,-500
2017-09-30,2017-11-06,-0.02,0.02,-0.04,-200
2017-06-30,2017-08-07,0.02,0.02,0,0
2017-03-31,2017-05-08,0.03,0.05,-0.02,-40
2016-12-31,2017-02-27,0.06,0.04,0.02,50
2016-09-30,2016-11-18,0.09,0.07,0.02,28.5714
