fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-07,1.97,1.74,0.23,13.2184
2022-06-30,2022-08-15,1.68,1.54,0.14,9.0909
2022-03-31,2022-05-02,1.5,1.52,-0.02,-1.3158
2021-12-31,2022-01-31,1.5,1.46,0.04,2.7397
2021-09-30,2021-11-01,1.45,1.33,0.12,9.0226
2021-06-30,2021-08-16,1.31,1.22,0.09,7.377
2021-03-31,2021-05-03,1.21,1.14,0.07,6.1404
2020-12-31,2021-02-01,1.1,1.04,0.06,5.7692
2020-09-30,2020-11-02,1.05,0.98,0.07,7.1429
2020-06-30,2020-08-17,0.96,0.87,0.09,10.3448
2020-03-31,2020-05-04,0.92,0.94,-0.02,-2.1277
2019-12-31,2020-02-03,1,0.93,0.07,7.5269
2019-09-30,2019-11-04,0.86,0.82,0.04,4.878
2019-06-30,2019-08-19,1,0.94,0.06,6.383
2019-03-31,2019-05-06,0.92,0.89,0.03,3.3708
2018-12-31,2019-02-04,0.97,0.92,0.05,5.4348
2018-09-30,2018-11-05,0.92,0.81,0.11,13.5802
2018-06-30,2018-08-20,0.81,0.75,0.06,8
2018-03-31,2018-05-07,0.71,0.71,0,0
2017-12-31,2018-02-05,0.72,0.7,0.02,2.8571
2017-09-30,2017-11-06,0.75,0.8,-0.05,-6.25
2017-06-30,2017-08-21,0.86,0.83,0.03,3.6145
2017-03-31,2017-05-08,0.8,0.88,-0.08,-9.0909
2016-12-31,2017-02-06,0.91,0.79,0.12,15.1899
2016-09-30,2016-11-07,0.8,0.71,0.09,12.6761
2016-06-30,2016-08-15,0.6,0.6,0,0
2016-03-31,2016-05-02,0.56,0.53,0.03,5.6604
2015-12-31,2016-02-01,0.5,0.46,0.04,8.6957
2015-09-30,2015-11-02,0.45,0.42,0.03,7.1429
2015-06-30,2015-08-17,0.4,0.39,0.01,2.5641
2015-03-31,2015-05-04,0.36,0.35,0.01,2.8571
2014-12-31,2015-02-02,0.4,0.38,0.02,5.2632
2014-09-30,2014-10-16,0.34,0.35,-0.01,-2.8571
2014-06-30,2014-08-04,0.34,0.35,-0.01,-2.8571
2014-03-31,2014-05-05,0.34,0.34,0,0
2013-12-31,2014-02-03,0.45,0.41,0.04,9.7561
2013-09-30,2013-11-04,0.4,0.33,0.07,21.2121
2013-06-30,2013-08-12,0.35,0.29,0.06,20.6897
2013-03-31,2013-04-29,0.33,0.31,0.02,6.4516
2012-12-31,2013-02-04,0.39,0.36,0.03,8.3333
2012-09-30,2012-11-05,0.36,0.31,0.05,16.129
2012-06-30,2012-08-20,0.31,0.26,0.05,19.2308
2012-03-31,2012-05-07,0.28,0.23,0.05,21.7391
2011-12-31,2012-02-06,0.18,-0.32,0.5,156.25
2011-09-30,2011-11-07,0.48,0.43,0.05,11.6279
2011-06-30,2011-08-15,0.51,0.47,0.04,8.5106
2011-03-31,2011-05-02,0.56,0.49,0.07,14.2857
2010-12-31,2011-01-31,0.48,0.44,0.04,9.0909
2010-09-30,2010-11-01,0.45,0.41,0.04,9.7561
2010-06-30,2010-08-18,0.43,0.39,0.04,10.2564
