fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-07,0.05,None,None,None
2022-06-30,2022-08-11,0.07,None,None,None
2022-03-31,2022-05-11,0.07,None,None,None
2021-12-31,2022-03-02,-0.06,None,None,None
2021-09-30,2021-11-03,0.04,None,None,None
2021-06-30,2021-08-02,0.01,None,None,None
2021-03-31,2021-05-03,3.03,None,None,None
2020-12-31,2021-03-01,0.04,None,None,None
2020-09-30,2020-11-04,0.57,None,None,None
2020-06-30,2020-08-05,0.43,None,None,None
2020-03-31,2020-05-06,0.16,None,None,None
2019-12-31,2020-03-04,0.25,None,None,None
2019-09-30,2019-11-06,0.2,None,None,None
2019-06-30,2019-08-05,0.31,None,None,None
2019-03-31,2019-05-06,0.18,None,None,None
2018-12-31,2019-03-07,0.05,None,None,None
2018-09-30,2018-11-07,0.2,None,None,None
2018-06-30,2018-08-02,-0.09,None,None,None
2018-03-31,2018-05-08,0.2241,None,None,None
2017-12-31,2018-03-07,0.11,0.1,0.01,10
2017-09-30,2017-11-01,2.52,None,None,None
2017-06-30,2017-08-03,0.17,None,None,None
2017-03-31,2017-05-02,0.14,0.19,-0.05,-26.3158
2016-12-31,2017-02-01,0.17,0.2,-0.03,-15
2016-09-30,2016-11-22,0.2,0.18,0.02,11.1111
2016-06-30,2016-08-02,0.0781,None,None,None
2016-03-31,2016-05-04,0.18,0.24,-0.06,-25
2015-12-31,2016-02-03,0.1849,0.33,-0.1451,-43.9697
2015-09-30,2015-12-02,0.21,0.22,-0.01,-4.5455
2015-06-30,2015-08-05,0.21,0.18,0.03,16.6667
2015-03-31,2015-05-06,0.09,0.21,-0.12,-57.1429
2014-12-31,2015-02-04,0.29,0.33,-0.04,-12.1212
2014-09-30,2014-12-03,0.26,0.37,-0.11,-29.7297
2014-06-30,2014-08-06,0.36,0.29,0.07,24.1379
2014-03-31,2014-05-07,0.18,0.3,-0.12,-40
2013-12-31,2014-02-03,0.24,0.3,-0.06,-20
2013-09-30,2013-12-04,0.72,0.31,0.41,132.2581
2013-06-30,2013-08-07,0.35,0.31,0.04,12.9032
2013-03-31,2013-05-01,0.24,0.2,0.04,20
2012-12-31,2013-02-06,0.26,0.19,0.07,36.8421
2012-09-30,2012-12-05,0.25,0.25,0,0
2012-06-30,2012-08-01,0.28,0.24,0.04,16.6667
2012-03-31,2012-05-02,0.17,0.18,-0.01,-5.5556
2011-12-31,2012-02-01,0.23,0.17,0.06,35.2941
2011-09-30,2011-11-30,0.18,0.25,-0.07,-28
2011-06-30,2011-08-03,0.25,0.23,0.02,8.6957
2011-03-31,2011-05-04,0.16,0.2,-0.04,-20
2010-12-31,2011-02-02,0.16,0.16,0,0
2010-09-30,2010-11-30,0.2,0.22,-0.02,-9.0909
2010-06-30,2010-08-04,0.27,0.19,0.08,42.1053
2010-03-31,2010-05-05,0.14,0.09,0.05,55.5556
2009-12-31,2010-02-03,0.14,0.17,-0.03,-17.6471
2009-09-30,2009-11-30,0.22,0.19,0.03,15.7895
2009-06-30,2009-08-14,-0.0429,None,None,None
2009-03-31,2009-05-06,0.1514,None,None,None
2008-12-31,2009-02-04,0.1874,None,None,None
2008-09-30,2008-12-04,0.3482,None,None,None
2008-06-30,2008-08-07,0.2969,None,None,None
2008-03-31,2008-05-08,0.0667,None,None,None
2007-12-31,2008-02-06,-0.0152,None,None,None
2007-09-30,2007-12-05,0.2459,None,None,None
2007-06-30,2007-08-02,0.2574,None,None,None
2007-03-31,2007-05-02,0.277,None,None,None
2006-12-31,2007-02-02,0.2316,None,None,None
2006-09-30,2006-12-13,0.2833,None,None,None
2006-06-30,2006-08-14,0.198,None,None,None
2006-03-31,2006-05-04,0.1851,None,None,None
2005-12-31,2006-01-27,0.2063,None,None,None
2005-09-30,2005-11-16,0.2493,None,None,None
2005-06-30,2005-07-26,0.2316,None,None,None
2005-03-31,2005-04-27,0.1696,None,None,None
2004-12-31,2005-01-26,0.184,None,None,None
2004-09-30,2004-12-01,0.1674,None,None,None
2004-06-30,2004-07-28,1.2257,None,None,None
2004-03-31,2004-04-27,-0.4851,None,None,None
2003-12-31,2004-01-26,0.1473,None,None,None
2003-09-30,2003-12-01,0.179,None,None,None
2003-06-30,2003-08-06,0.1469,None,None,None
2003-03-31,2003-04-30,0.0674,None,None,None
2002-12-31,2002-12-31,0.0991,None,None,None
2002-09-30,2002-09-30,0.1378,None,None,None
2002-06-30,2002-06-30,0.1654,None,None,None
2002-03-31,2002-03-31,0.1498,None,None,None
2001-12-31,2001-12-31,0.1428,None,None,None
2001-09-30,2001-09-30,-0.1407,None,None,None
2001-06-30,2001-06-30,0.1226,None,None,None
2001-03-31,2001-03-31,0.0794,None,None,None
2000-12-31,2000-12-31,0.2215,None,None,None
2000-09-30,2000-09-30,0.0133,None,None,None
2000-06-30,2000-06-30,0.0878,None,None,None
2000-03-31,2000-03-31,0.0495,None,None,None
1999-12-31,1999-12-31,0.0541,None,None,None
1999-06-30,1999-06-30,0.1103,None,None,None
1999-03-31,1999-03-31,0.1957,None,None,None
1998-12-31,1998-12-31,0.1015,None,None,None
