fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-18,0.4,0.44,-0.04,-9.0909
2022-06-30,2022-07-19,0.42,0.37,0.05,13.5135
2022-03-31,2022-04-19,0.38,0.32,0.06,18.75
2021-12-31,2022-01-18,0.37,0.37,0,0
2021-09-30,2021-10-19,0.45,0.32,0.13,40.625
2021-06-30,2021-07-20,0.38,0.33,0.05,15.1515
2021-03-31,2021-04-20,0.43,0.35,0.08,22.8571
2020-12-31,2021-01-19,0.3,0.31,-0.01,-3.2258
2020-09-30,2020-10-20,0.38,0.2,0.18,90
2020-06-30,2020-07-21,0.24,0.1,0.14,140
2020-03-31,2020-04-21,0.16,0.25,-0.09,-36
2019-12-31,2020-01-21,0.33,0.35,-0.02,-5.7143
2019-09-30,2019-10-22,0.37,0.35,0.02,5.7143
2019-06-30,2019-07-16,0.35,0.34,0.01,2.9412
2019-03-31,2019-04-16,0.33,0.33,0,0
2018-12-31,2019-01-15,0.33,0.35,-0.02,-5.7143
2018-09-30,2018-10-16,0.37,0.33,0.04,12.1212
2018-06-30,2018-07-17,0.2,0.14,0.06,42.8571
2018-03-31,2018-04-17,0.28,0.28,0,0
2017-12-31,2018-01-22,0.28,0.28,0,0
2017-09-30,2017-10-17,0.28,0.27,0.01,3.7037
2017-06-30,2017-07-18,0.26,0.26,0,0
2017-03-31,2017-04-18,0.25,0.23,0.02,8.6957
2016-12-31,2017-01-17,0.24,0.24,0,0
2016-09-30,2016-10-18,0.24,0.23,0.01,4.3478
2016-06-30,2016-07-19,0.23,0.22,0.01,4.5455
2016-03-31,2016-04-19,0.22,0.21,0.01,4.7619
2015-12-31,2016-01-19,0.22,0.2,0.02,10
2015-09-30,2015-10-20,0.2,0.19,0.01,5.2632
2015-06-30,2015-07-21,0.21,0.21,0,0
2015-03-31,2015-04-21,0.22,0.2,0.02,10
2014-12-31,2015-01-20,0.21,0.21,0,0
2014-09-30,2014-10-21,0.21,0.2,0.01,5
2014-06-30,2014-07-22,0.21,0.22,-0.01,-4.5455
2014-03-31,2014-04-22,0.22,0.2,0.02,10
2013-12-31,2014-01-21,0.22,0.2,0.02,10
