fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-11-30,2022-12-02,1.65,1.57,0.08,5.0955
2022-08-31,2022-09-01,0.59,0.26,0.33,126.9231
2022-05-31,2022-08-31,0.44,0.29,0.15,51.7241
2022-02-28,2022-03-10,3.48,2.64,0.84,31.8182
2021-11-30,2021-12-03,2.36,1.29,1.07,82.9457
2021-08-31,2021-09-02,1.05,0.03,1.02,3400
2021-05-31,2021-06-07,0.79,-0.57,1.36,238.5965
2021-02-28,2021-03-11,2.76,1.96,0.8,40.8163
2020-11-30,2020-12-04,0.85,-0.14,0.99,707.1429
2020-08-31,2020-09-03,-1.23,-1.85,0.62,33.5135
2020-05-31,2020-06-09,-3.65,-2.52,-1.13,-44.8413
2020-02-29,2020-03-12,3.09,2.74,0.35,12.7737
2019-11-30,2019-12-06,1.33,1.08,0.25,23.1481
2019-08-31,2019-09-06,0.15,-0.01,0.16,1600
2019-05-31,2019-05-31,0.3555,None,None,None
2019-02-28,2019-03-14,2.18,2.33,-0.15,-6.4378
2018-11-30,2018-12-06,0.95,0.86,0.09,10.4651
2018-08-31,2018-09-07,0.04,-0.03,0.07,233.3333
2018-05-31,2018-06-05,-0.06,-0.07,0.01,14.2857
2018-02-28,2018-03-15,2.15,2.09,0.06,2.8708
2017-11-30,2017-12-01,1.02,1.12,-0.1,-8.9286
2017-08-31,2017-11-30,1.02,1.12,-0.1,-8.9286
2017-05-31,2017-08-31,-0.1,-0.08,-0.02,-25
2017-02-28,2017-03-10,2.15,1.78,0.37,20.7865
2016-11-30,2016-12-02,1.28,0.93,0.35,37.6344
2016-08-31,2016-09-01,0.34,0.28,0.06,21.4286
2016-05-31,2016-08-31,0.34,0.28,0.06,21.4286
2016-02-29,2016-03-11,2.11,2.13,-0.02,-0.939
2015-11-30,2015-12-04,1.4,1.3,0.1,7.6923
2015-08-31,2015-09-03,0.36,0.24,0.12,50
2015-02-28,2015-03-12,2.3,2.39,-0.09,-3.7657
2014-11-30,2014-12-05,1.28,1.44,-0.16,-11.1111
2014-05-31,2014-08-28,0.34,0.55,-0.21,-38.1818
2014-02-28,2014-03-13,2.16,2.18,-0.02,-0.9174
2013-11-30,2013-12-06,1.43,1.38,0.05,3.6232
2013-05-31,2013-08-29,0.56,0.6,-0.04,-6.6667
2013-02-28,2013-03-08,2.16,2.12,0.04,1.8868
2012-11-30,2012-11-30,1.7055,None,None,None
2012-08-31,2012-11-30,1.44,1.33,0.11,8.2707
2012-05-31,2012-08-29,0.5,0.27,0.23,85.1852
2012-02-29,2012-03-02,1.97,1.67,0.3,17.9641
2011-08-31,2011-11-22,1.21,0.96,0.25,26.0417
2011-05-31,2011-08-31,0.22,0.1,0.12,120
2011-02-28,2011-03-04,1.33,1.29,0.04,3.1008
2010-08-31,2010-09-01,-0.02,-0.02,0,0
2010-05-31,2010-08-31,-0.02,-0.02,0,0
2010-02-28,2010-03-04,1.16,1.12,0.04,3.5714
2009-08-31,2009-11-24,0.53,0.45,0.08,17.7778
2009-05-31,2009-08-27,-0.02,-0.04,0.02,50
2009-02-28,2009-03-05,1.06,1.07,-0.01,-0.9346
2008-08-31,2008-11-25,0.43,0.47,-0.04,-8.5106
