fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-28,0.31,0.38,-0.07,-18.4211
2022-06-30,2022-07-22,0.31,0.38,-0.07,-18.4211
2022-03-31,2022-04-22,0.37,0.32,0.05,15.625
2021-12-31,2022-01-28,0.35,0.34,0.01,2.9412
2021-09-30,2021-10-22,0.32,0.38,-0.06,-15.7895
2021-06-30,2021-07-23,0.36,0.45,-0.09,-20
2021-03-31,2021-04-23,0.46,0.49,-0.03,-6.1224
2020-12-31,2021-01-29,0.58,0.5,0.08,16
2020-09-30,2020-10-23,0.48,0.41,0.07,17.0732
2020-06-30,2020-07-24,0.02,0.12,-0.1,-83.3333
2020-03-31,2020-04-24,0.36,0.34,0.02,5.8824
2019-12-31,2020-01-31,0.39,0.37,0.02,5.4054
2019-09-30,2019-10-18,0.44,0.42,0.02,4.7619
2019-06-30,2019-07-19,0.42,0.4,0.02,5
2019-03-31,2019-04-24,0.4,0.39,0.01,2.5641
2018-12-31,2019-01-30,0.41,0.44,-0.03,-6.8182
2018-09-30,2018-10-19,0.42,0.41,0.01,2.439
2018-06-30,2018-07-20,0.4,0.4,0,0
2018-03-31,2018-04-20,0.4,0.4,0,0
2017-12-31,2018-01-26,0.34,0.32,0.02,6.25
2017-09-30,2017-10-20,0.31,0.31,0,0
2017-06-30,2017-07-21,0.31,0.32,-0.01,-3.125
2017-03-31,2017-04-21,0.33,0.32,0.01,3.125
2016-12-31,2017-01-27,0.31,0.32,-0.01,-3.125
2016-09-30,2016-10-20,0.32,0.3,0.02,6.6667
2016-06-30,2016-07-22,0.3,0.29,0.01,3.4483
2016-03-31,2016-04-22,0.28,0.28,0,0
2015-12-31,2016-01-28,0.3,0.27,0.03,11.1111
2015-09-30,2015-10-21,0.27,0.27,0,0
2015-06-30,2015-07-23,0.26,0.25,0.01,4
2015-03-31,2015-04-22,0.26,0.25,0.01,4
2014-12-31,2015-01-28,0.24,0.26,-0.02,-7.6923
2014-09-30,2014-10-22,0.25,0.24,0.01,4.1667
2014-06-30,2014-07-24,0.26,0.24,0.02,8.3333
2014-03-31,2014-04-23,0.24,0.23,0.01,4.3478
2013-12-31,2014-01-29,0.24,0.21,0.03,14.2857
2013-09-30,2013-10-22,0.19,0.16,0.03,18.75
2013-06-30,2013-07-24,0.18,0.16,0.02,12.5
2013-03-31,2013-04-23,0.16,0.15,0.01,6.6667
2012-12-31,2013-01-29,0.15,0.13,0.02,15.3846
2012-09-30,2012-10-23,0.14,0.14,0,0
2012-06-30,2012-07-24,0.14,0.15,-0.01,-6.6667
2012-03-31,2012-04-19,0.16,0.16,0,0
2011-12-31,2012-01-31,0.14,0.15,-0.01,-6.6667
2011-09-30,2011-10-20,0.15,0.15,0,0
2011-06-30,2011-07-21,0.14,0.14,0,0
2011-03-31,2011-04-21,0.14,0.14,0,0
2010-12-31,2011-01-27,0.13,0.13,0,0
2010-09-30,2010-10-21,0.12,0.12,0,0
2010-06-30,2010-07-22,0.12,0.12,0,0
2010-03-31,2010-04-22,0.12,0.1,0.02,20
2009-12-31,2010-01-28,0.11,0.09,0.02,22.2222
2009-09-30,2009-10-21,0.09,0.06,0.03,50
2009-06-30,2009-07-22,0.05,0.02,0.03,150
2009-03-31,2009-04-22,-0.0057,0.01,-0.0157,-157
2008-12-31,2009-01-29,-0.04,0.03,-0.07,-233.3333
2008-09-30,2008-10-21,0.06,0.07,-0.01,-14.2857
2008-06-30,2008-07-22,0.1,0.1,0,0
2008-03-31,2008-04-22,0.11,0.11,0,0
2007-12-31,2008-01-29,0.11,0.11,0,0
2007-09-30,2007-10-22,0.11,0.1,0.01,10
2007-06-30,2007-07-23,0.11,0.1,0.01,10
2007-03-31,2007-04-23,0.11,0.09,0.02,22.2222
2006-12-31,2007-01-29,0.11,0.09,0.02,22.2222
2006-09-30,2006-10-19,0.09,0.08,0.01,12.5
2006-06-30,2006-07-20,0.09,0.09,0,0
2006-03-31,2006-04-20,0.09,0.09,0,0
2005-12-31,2006-01-26,0.1,0.09,0.01,11.1111
2005-09-30,2005-10-19,0.09,0.08,0.01,12.5
2005-06-30,2005-07-20,0.09,0.09,0,0
2005-03-31,2005-04-20,0.08,0.09,-0.01,-11.1111
2004-12-31,2005-01-27,0.09,0.09,0,0
2004-09-30,2004-10-19,0.08,0.08,0,0
2004-06-30,2004-07-20,0.09,0.1,-0.01,-10
2004-03-31,2004-04-20,0.1,0.1,0,0
2003-12-31,2004-01-27,0.09,0.09,0,0
2003-09-30,2003-10-15,0.08,0.08,0,0
2003-06-30,2003-07-16,0.09,0.08,0.01,12.5
2003-03-31,2003-04-16,0.09,0.08,0.01,12.5
2002-12-31,2003-01-23,0.08,0.07,0.01,14.2857
2002-09-30,2002-10-15,0.07,0.07,0,0
2002-06-30,2002-07-16,0.07,0.06,0.01,16.6667
2002-03-31,2002-04-16,0.06,0.06,0,0
2001-12-31,2002-01-24,0.06,0.06,0,0
2001-09-30,2001-10-16,0.05,0.05,0,0
2001-06-30,2001-07-17,0.05,0.05,0,0
2001-03-31,2001-04-17,0.06,0.06,0,0
2000-12-31,2001-01-24,0.06,0.06,0,0
2000-09-30,2000-10-17,0.05,0.06,-0.01,-16.6667
2000-06-30,2000-07-18,0.06,0.06,0,0
2000-03-31,2000-04-17,0.06,0.06,0,0
1999-12-31,2000-01-25,0.06,0.06,0,0
1999-09-30,1999-10-13,0.05,0.05,0,0
1999-06-30,1999-07-14,0.06,0.05,0.01,20
1999-03-31,1999-04-14,0.06,0.05,0.01,20
1998-12-31,1999-01-25,0.06,0.05,0.01,20
1998-09-30,1998-10-13,0.03,0.03,0,0
1998-06-30,1998-07-14,0.04,0.04,0,0
1998-03-31,1998-04-15,0.04,0.04,0,0
1997-12-31,1998-01-26,0.04,0.03,0.01,33.3333
1997-09-30,1997-10-13,0.03,0.03,0,0
1997-06-30,1997-07-14,0.03,0.03,0,0
1997-03-31,1997-04-14,0.03,0.03,0,0
1996-12-31,1997-01-27,0.03,0.02,0.01,50
1996-09-30,1996-10-14,0.02,0.02,0,0
1996-06-30,1996-07-15,0.03,0.03,0,0
1996-03-31,1996-04-15,0.02,0.02,0,0
