fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-08,0.27,0.26,0.01,3.8462
2022-06-30,2022-08-09,0.29,0.24,0.05,20.8333
2022-03-31,2022-05-10,0.22,0.2,0.02,10
2021-12-31,2022-03-01,0.2,0.2,0,0
2021-09-30,2021-11-09,0.24,0.22,0.02,9.0909
2021-06-30,2021-08-10,0.23,0.24,-0.01,-4.1667
2021-03-31,2021-05-11,0.23,0.22,0.01,4.5455
2020-12-31,2021-03-02,0.24,0.23,0.01,4.3478
2020-09-30,2020-11-10,0.5,0.23,0.27,117.3913
2020-06-30,2020-08-10,0.42,0.23,0.19,82.6087
2020-03-31,2020-05-11,0.36,0.29,0.07,24.1379
2019-12-31,2020-03-24,0.21,0.18,0.03,16.6667
2019-09-30,2019-11-11,0.22,0.19,0.03,15.7895
2019-06-30,2019-08-13,0.2,0.13,0.07,53.8462
2019-03-31,2019-06-20,0.19,0,0.19,None
