fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,0.15,0.15,0,0
2022-06-30,2022-08-05,0.17,0.14,0.03,21.4286
2022-03-31,2022-05-05,0.18,0.13,0.05,38.4615
2021-12-31,2022-03-03,1.6,0.08,1.52,1900
2021-09-30,2021-11-04,0.16,0.09,0.07,77.7778
2021-06-30,2021-08-05,-0.63,-0.05,-0.58,-1160
2021-03-31,2021-05-06,-0.09,-0.13,0.04,30.7692
2020-12-31,2021-03-11,0.01,-0.32,0.33,103.125
2020-09-30,2020-11-09,-0.97,-0.77,-0.2,-25.974
2020-06-30,2020-08-10,-1.05,-0.88,-0.17,-19.3182
2020-03-31,2020-05-11,-1.04,-0.37,-0.67,-181.0811
2019-12-31,2020-03-13,-0.28,-0.49,0.21,42.8571
2019-09-30,2019-11-07,-0.28,-0.56,0.28,50
2019-06-30,2019-08-08,-1.04,-0.57,-0.47,-82.4561
2019-03-31,2019-05-09,-0.21,-0.5,0.29,58
2018-12-31,2019-02-21,-0.74,-0.74,0,0
2018-09-30,2018-11-06,-0.47,-0.72,0.25,34.7222
2018-06-30,2018-08-08,-0.47,-0.74,0.27,36.4865
2018-03-31,2018-05-04,-0.34,-0.58,0.24,41.3793
2017-12-31,2018-02-22,-0.52,-0.48,-0.04,-8.3333
2017-09-30,2017-11-02,-0.57,-0.51,-0.06,-11.7647
2017-06-30,2017-08-07,-0.56,-0.5,-0.06,-12
2017-03-31,2017-05-04,-0.52,-0.52,0,0
2016-12-31,2017-02-27,-0.34,-0.45,0.11,24.4444
2016-09-30,2016-11-03,-0.42,-0.43,0.01,2.3256
2016-06-30,2016-08-04,-0.51,-0.41,-0.1,-24.3902
2016-03-31,2016-05-06,-0.31,-0.41,0.1,24.3902
2015-12-31,2016-02-25,-0.43,-0.43,0,0
2015-09-30,2015-11-05,-0.37,-0.41,0.04,9.7561
2015-06-30,2015-08-06,-0.32,-0.31,-0.01,-3.2258
2015-03-31,2015-05-07,-0.24,-0.28,0.04,14.2857
2014-12-31,2015-02-26,-0.28,-0.3,0.02,6.6667
2014-09-30,2014-11-10,-0.29,-0.26,-0.03,-11.5385
2014-06-30,2014-08-11,-0.22,-0.23,0.01,4.3478
2014-03-31,2014-05-12,-0.2,-0.25,0.05,20
2013-12-31,2014-03-13,-0.26,-0.27,0.01,3.7037
2013-09-30,2013-11-11,-0.22,-0.29,0.07,24.1379
2013-06-30,2013-08-07,-0.23,-0.37,0.14,37.8378
