fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-08,0.17,0.21,-0.04,-19.0476
2022-06-30,2022-08-08,0.22,0.22,0,0
2022-03-31,2022-05-10,0.05,0.04,0.01,25
2021-12-31,2022-02-25,0.24,0.24,0,0
2021-09-30,2021-11-08,0.09,0.1,-0.01,-10
2021-06-30,2021-08-09,0.29,0.32,-0.03,-9.375
2021-03-31,2021-05-06,0.38,0.28,0.1,35.7143
2020-12-31,2021-03-04,0.33,0.27,0.06,22.2222
2020-09-30,2020-11-09,0.27,0.18,0.09,50
2020-06-30,2020-08-10,0.25,0.25,0,0
2020-03-31,2020-05-11,0.32,0.34,-0.02,-5.8824
2019-12-31,2020-03-02,0.34,0.37,-0.03,-8.1081
2019-09-30,2019-11-05,0.34,0.38,-0.04,-10.5263
2019-06-30,2019-08-05,0.36,0.39,-0.03,-7.6923
2019-03-31,2019-05-06,0.37,0.4,-0.03,-7.5
2018-12-31,2019-02-05,0.4,0.4,0,0
2018-09-30,2018-11-05,0.4,0.4,0,0
2018-06-30,2018-08-06,0.38,0.38,0,0
2018-03-31,2018-05-09,0.35,0.34,0.01,2.9412
2017-12-31,2018-02-07,0.34,0.34,0,0
2017-09-30,2017-11-06,0.28,0.33,-0.05,-15.1515
2017-06-30,2017-08-13,0.3284,0.17,0.1584,93.1765
2017-03-31,2017-06-26,0.31,None,None,None
