fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,0.49,0.49,0,0
2022-06-30,2022-08-04,0.6,0.5,0.1,20
2022-03-31,2022-05-03,0.52,0.48,0.04,8.3333
2021-12-31,2022-02-17,0.47,0.41,0.06,14.6341
2021-09-30,2021-11-04,0.41,0.41,0,0
2021-06-30,2021-08-05,0.57,0.4,0.17,42.5
2021-03-31,2021-05-04,0.43,0.4,0.03,7.5
2020-12-31,2021-02-18,0.37,0.34,0.03,8.8235
2020-09-30,2020-11-05,0.36,0.31,0.05,16.129
2020-06-30,2020-08-06,0.4,0.32,0.08,25
2020-03-31,2020-05-07,0.44,0.37,0.07,18.9189
2019-12-31,2020-02-20,0.4,0.37,0.03,8.1081
2019-09-30,2019-10-30,0.38,0.35,0.03,8.5714
2019-06-30,2019-08-01,0.3,0.34,-0.04,-11.7647
2019-03-31,2019-05-01,0.33,0.32,0.01,3.125
2018-12-31,2019-02-21,0.37,0.31,0.06,19.3548
2018-09-30,2018-11-01,0.36,0.33,0.03,9.0909
2018-06-30,2018-08-02,0.39,0.33,0.06,18.1818
2018-03-31,2018-05-03,0.27,0.31,-0.04,-12.9032
2017-12-31,2018-02-21,0.31,0.32,-0.01,-3.125
2017-09-30,2017-11-01,0.31,0.33,-0.02,-6.0606
2017-06-30,2017-08-02,0.34,0.32,0.02,6.25
2017-03-31,2017-05-02,0.32,0.32,0,0
2016-12-31,2017-02-23,0.29,0.3,-0.01,-3.3333
2016-09-30,2016-11-02,0.29,0.29,0,0
2016-06-30,2016-08-03,0.32,0.3,0.02,6.6667
2016-03-31,2016-05-04,0.32,0.29,0.03,10.3448
2015-12-31,2016-02-25,0.25,0.28,-0.03,-10.7143
2015-09-30,2015-11-04,0.27,0.27,0,0
2015-06-30,2015-08-06,0.26,0.26,0,0
2015-03-31,2015-05-06,0.27,0.27,0,0
2014-12-31,2015-03-03,0.27,0.24,0.03,12.5
2014-09-30,2014-11-05,0.22,0.23,-0.01,-4.3478
2014-06-30,2014-08-11,0.22,0.21,0.01,4.7619
2014-03-31,2014-05-12,0.2,0.21,-0.01,-4.7619
2013-12-31,2014-02-27,0.22,0.22,0,0
2013-09-30,2013-11-07,0.14,0.14,0,0
2013-06-30,2013-08-08,0.07,0.01,0.06,600
2013-03-31,2013-05-23,-0.0737,-0.01,-0.0637,-637
