fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-10-31,2022-11-15,4.24,4.12,0.12,2.9126
2022-07-31,2022-08-16,5.05,4.94,0.11,2.2267
2022-04-30,2022-05-17,4.09,3.68,0.41,11.1413
2022-01-31,2022-02-22,3.21,3.18,0.03,0.9434
2021-10-31,2021-11-16,3.92,3.4,0.52,15.2941
2021-07-31,2021-08-17,4.53,4.44,0.09,2.027
2021-04-30,2021-05-18,3.86,3.08,0.78,25.3247
2021-01-31,2021-02-23,2.65,2.62,0.03,1.145
2020-10-31,2020-11-17,3.18,3.06,0.12,3.9216
2020-07-31,2020-08-18,4.02,3.71,0.31,8.3558
2020-04-30,2020-05-19,2.08,2.27,-0.19,-8.37
2020-01-31,2020-02-25,2.28,2.11,0.17,8.0569
2019-10-31,2019-11-19,2.53,2.53,0,0
2019-07-31,2019-08-20,3.17,3.08,0.09,2.9221
2019-04-30,2019-05-21,2.27,2.18,0.09,4.1284
2019-01-31,2019-02-26,2.25,2.16,0.09,4.1667
2018-10-31,2018-11-13,2.51,2.26,0.25,11.0619
2018-07-31,2018-08-14,3.05,2.84,0.21,7.3944
2018-04-30,2018-05-15,2.08,2.05,0.03,1.4634
2018-01-31,2018-02-20,1.69,1.61,0.08,4.9689
2017-10-31,2017-11-14,1.84,1.82,0.02,1.0989
2017-07-31,2017-08-15,2.25,2.22,0.03,1.3514
2017-04-30,2017-05-16,1.67,1.62,0.05,3.0864
2017-01-31,2017-02-21,1.44,1.34,0.1,7.4627
2016-10-31,2016-11-15,1.6,1.58,0.02,1.2658
2016-07-31,2016-08-16,1.97,1.97,0,0
2016-04-30,2016-05-17,1.44,1.36,0.08,5.8824
2016-01-31,2016-02-23,1.17,1.1,0.07,6.3636
2015-10-31,2015-11-17,1.36,1.32,0.04,3.0303
2015-07-31,2015-08-18,1.71,1.71,0,0
2015-04-30,2015-05-19,1.16,1.15,0.01,0.8696
2015-01-31,2015-02-24,1,0.89,0.11,12.3596
2014-10-31,2014-11-18,1.11,1.13,-0.02,-1.7699
2014-07-31,2014-08-19,1.52,1.45,0.07,4.8276
2014-04-30,2014-05-20,0.96,0.99,-0.03,-3.0303
2014-01-31,2014-02-25,0.73,0.71,0.02,2.8169
2013-10-31,2013-11-19,0.95,0.9,0.05,5.5556
2013-07-31,2013-08-20,1.24,1.21,0.03,2.4793
2013-04-30,2013-05-21,0.83,0.77,0.06,7.7922
2013-01-31,2013-02-26,0.67,0.64,0.03,4.6875
2012-10-31,2012-11-13,0.74,0.7,0.04,5.7143
2012-07-31,2012-08-14,1.01,0.97,0.04,4.1237
2012-04-30,2012-05-15,0.65,0.65,0,0
2012-01-31,2012-02-21,0.5,0.42,0.08,19.0476
2011-10-31,2011-11-15,0.6,0.58,0.02,3.4483
2011-07-31,2011-08-16,0.86,0.83,0.03,3.6145
2011-04-30,2011-05-17,0.5,0.49,0.01,2.0408
2011-01-31,2011-02-22,0.36,0.31,0.05,16.129
2010-10-31,2010-11-16,0.51,0.48,0.03,6.25
2010-07-31,2010-08-17,0.72,0.71,0.01,1.4085
2010-04-30,2010-05-18,0.45,0.4,0.05,12.5
2010-01-31,2010-02-23,0.24,0.17,0.07,41.1765
2009-10-31,2009-11-17,0.41,0.36,0.05,13.8889
2009-07-31,2009-08-18,0.64,0.59,0.05,8.4746
2009-04-30,2009-05-19,0.35,0.29,0.06,20.6897
2009-01-31,2009-02-24,0.19,0.15,0.04,26.6667
2008-10-31,2008-11-18,0.45,0.38,0.07,18.4211
2008-07-31,2008-08-19,0.71,0.61,0.1,16.3934
2008-04-30,2008-05-20,0.41,0.37,0.04,10.8108
2008-01-31,2008-02-26,0.4,0.43,-0.03,-6.9767
2007-10-31,2007-11-13,0.59,0.6,-0.01,-1.6667
2007-07-31,2007-08-14,0.77,0.72,0.05,6.9444
