fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-07,0.57,0.55,0.02,3.6364
2022-06-30,2022-08-08,0.48,0.52,-0.04,-7.6923
2022-03-31,2022-05-09,0.57,0.44,0.13,29.5455
2021-12-31,2022-02-14,0.5,0.42,0.08,19.0476
2021-09-30,2021-11-05,0.58,0.59,-0.01,-1.6949
2021-06-30,2021-08-09,0.58,0.48,0.1,20.8333
2021-03-31,2021-05-07,0.58,0.36,0.22,61.1111
2020-12-31,2021-02-16,0.46,0.34,0.12,35.2941
2020-09-30,2020-11-06,0.59,0.51,0.08,15.6863
2020-06-30,2020-08-06,0.36,0.37,-0.01,-2.7027
2020-03-31,2020-05-05,0.31,0.45,-0.14,-31.1111
2019-12-31,2020-02-13,0.61,0.52,0.09,17.3077
2019-09-30,2019-11-01,0.58,0.6,-0.02,-3.3333
2019-06-30,2019-08-02,0.39,0.44,-0.05,-11.3636
2019-03-31,2019-05-07,0.42,0.38,0.04,10.5263
2018-12-31,2019-02-15,0.45,0.47,-0.02,-4.2553
2018-09-30,2018-11-07,0.6,0.62,-0.02,-3.2258
2018-06-30,2018-08-03,0.42,0.42,0,0
2018-03-31,2018-05-10,0.37,0.38,-0.01,-2.6316
2017-12-31,2018-02-14,0.43,0.41,0.02,4.878
2017-09-30,2017-11-02,0.55,0.57,-0.02,-3.5088
2017-06-30,2017-08-03,0.36,0.39,-0.03,-7.6923
2017-03-31,2017-04-28,0.31,0.28,0.03,10.7143
2016-12-31,2017-02-14,0.41,0.42,-0.01,-2.381
2016-09-30,2016-11-04,0.58,0.5,0.08,16
2016-06-30,2016-07-30,0.43,0.4,0.03,7.5
2016-03-31,2016-05-04,0.31,0.37,-0.06,-16.2162
2015-12-31,2016-02-11,0.41,0.4,0.01,2.5
2015-09-30,2015-11-05,0.49,0.47,0.02,4.2553
2015-06-30,2015-08-10,0.39,0.38,0.01,2.6316
2015-03-31,2015-05-06,0.35,0.43,-0.08,-18.6047
2014-12-31,2015-02-12,0.36,0.32,0.04,12.5
2014-09-30,2014-11-06,0.46,0.42,0.04,9.5238
2014-06-30,2014-08-11,0.41,0.39,0.02,5.1282
2014-03-31,2014-05-07,0.45,0.37,0.08,21.6216
2013-12-31,2014-02-18,0.39,0.37,0.02,5.4054
2013-09-30,2013-11-07,0.48,0.48,0,0
2013-06-30,2013-08-08,0.41,0.38,0.03,7.8947
2013-03-31,2013-05-08,0.34,0.38,-0.04,-10.5263
2012-12-31,2013-02-15,0.39,0.32,0.07,21.875
2012-09-30,2012-11-07,0.49,0.42,0.07,16.6667
2012-06-30,2012-08-02,0.4,0.36,0.04,11.1111
2012-03-31,2012-05-08,0.4,0.36,0.04,11.1111
2011-12-31,2012-02-08,0.36,0.36,0,0
2011-09-30,2011-11-03,0.5,0.44,0.06,13.6364
2011-06-30,2011-08-03,0.28,0.33,-0.05,-15.1515
2011-03-31,2011-05-09,0.3,0.31,-0.01,-3.2258
2010-12-31,2011-02-10,0.26,0.35,-0.09,-25.7143
2010-09-30,2010-10-30,0.35,0.36,-0.01,-2.7778
2010-06-30,2010-08-09,0.31,0.3,0.01,3.3333
2010-03-31,2010-05-10,0.29,0.3,-0.01,-3.3333
2009-12-31,2010-02-11,0.36,0.2,0.16,80
2009-09-30,2009-11-02,0.37,0.29,0.08,27.5862
2009-06-30,2009-08-06,0.17,0.22,-0.05,-22.7273
2009-03-31,2009-05-05,0.22,0.25,-0.03,-12
2008-12-31,2009-02-19,0.16,0.37,-0.21,-56.7568
2008-09-30,2008-11-04,0.44,0.44,0,0
2008-06-30,2008-08-04,0.48,0.41,0.07,17.0732
2008-03-31,2008-05-05,0.41,0.33,0.08,24.2424
2007-12-31,2008-02-21,0.42,0.32,0.1,31.25
2007-09-30,2007-11-01,0.24,0.36,-0.12,-33.3333
2007-06-30,2007-08-06,0.21,0.31,-0.1,-32.2581
2007-03-31,2007-05-03,0.17,0.37,-0.2,-54.0541
2006-12-31,2007-02-23,0.2,0.38,-0.18,-47.3684
2006-09-30,2006-11-01,0.4,0.45,-0.05,-11.1111
2006-06-30,2006-08-01,0.33,0.41,-0.08,-19.5122
2006-03-31,2006-05-01,0.4,0.37,0.03,8.1081
2005-12-31,2006-01-30,0.46,0.45,0.01,2.2222
2005-09-30,2005-11-09,0.46,0.47,-0.01,-2.1277
2005-06-30,2005-07-25,0.35,0.41,-0.06,-14.6341
2005-03-31,2005-04-25,0.3,0.37,-0.07,-18.9189
2004-12-31,2005-02-07,0.31,0.42,-0.11,-26.1905
2004-09-30,2004-10-25,0.51,0.41,0.1,24.3902
2004-06-30,2004-07-19,0.44,0.38,0.06,15.7895
2004-03-31,2004-04-20,0.4,0.37,0.03,8.1081
2003-12-31,2004-01-20,0.5,0.38,0.12,31.5789
2003-09-30,2003-10-27,0.41,0.41,0,0
2003-06-30,2003-07-21,0.35,0.38,-0.03,-7.8947
2003-03-31,2003-04-21,0.33,0.4,-0.07,-17.5
2002-12-31,2003-01-20,0.36,0.39,-0.03,-7.6923
2002-09-30,2002-10-21,0.45,0.44,0.01,2.2727
2002-06-30,2002-07-22,0.43,0.4,0.03,7.5
2002-03-31,2002-04-23,0.38,0.43,-0.05,-11.6279
2001-12-31,2002-01-23,0.37,0.34,0.03,8.8235
2001-09-30,2001-11-01,0.42,0.37,0.05,13.5135
2001-06-30,2001-07-23,0.38,0.35,0.03,8.5714
2001-03-31,2001-04-23,0.42,0.4,0.02,5
2000-12-31,2001-01-23,0.19,0.32,-0.13,-40.625
2000-09-30,2000-10-25,0.34,0.38,-0.04,-10.5263
2000-06-30,2000-06-30,0.2934,None,None,None
2000-03-31,2000-04-25,0.45,0.35,0.1,28.5714
1999-12-31,2000-01-24,0.43,0.33,0.1,30.303
1999-09-30,1999-10-18,0.34,0.41,-0.07,-17.0732
1999-06-30,1999-07-19,0.36,0.33,0.03,9.0909
1999-03-31,1999-04-27,0.33,0.33,0,0
1998-12-31,1999-01-19,0.33,0.33,0,0
1998-09-30,1998-10-19,0.3,0.38,-0.08,-21.0526
1998-06-30,1998-07-21,0.35,0.32,0.03,9.375
1998-03-31,1998-04-28,0.35,0.34,0.01,2.9412
1997-12-31,1998-01-20,0.4,0.37,0.03,8.1081
1997-09-30,1997-10-16,0.39,0.43,-0.04,-9.3023
1997-06-30,1997-07-15,0.32,0.35,-0.03,-8.5714
1997-03-31,1997-04-22,0.32,0.32,0,0
1996-12-31,1997-01-27,0.35,0.3,0.05,16.6667
1996-09-30,1996-10-15,0.42,0.41,0.01,2.439
1996-06-30,1996-07-16,0.36,0.33,0.03,9.0909
1996-03-31,1996-04-23,0.32,0.3,0.02,6.6667
