fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-24,-0.12,-0.01,-0.11,-1100
2022-06-30,2022-07-25,-0.2,-0.16,-0.04,-25
2022-03-31,2022-04-25,-0.28,-0.2,-0.08,-40
2021-12-31,2022-02-21,-0.17,-0.26,0.09,34.6154
2021-09-30,2021-10-20,-0.13,-0.1,-0.03,-30
2021-06-30,2021-07-26,-0.09,-0.08,-0.01,-12.5
2021-03-31,2021-04-26,-0.02,-0.07,0.05,71.4286
2020-12-31,2021-02-22,0.03,-0.08,0.11,137.5
2020-09-30,2020-10-21,0.16,0.0036,0.1564,4344.4444
2020-06-30,2020-07-22,0.04,-0.01,0.05,500
2020-03-31,2020-04-22,-0.09,-0.14,0.05,35.7143
2019-12-31,2020-02-24,0.05,0.02,0.03,150
2019-09-30,2019-10-21,0.21,0.16,0.05,31.25
2019-06-30,2019-07-24,0.11,0.14,-0.03,-21.4286
2019-03-31,2019-04-22,0.01,0.02,-0.01,-50
2018-12-31,2019-02-18,-0.1,-0.07,-0.03,-42.8571
2018-09-30,2018-10-22,0.18,0.11,0.07,63.6364
2018-06-30,2018-07-23,0.13,0.07,0.06,85.7143
2018-03-31,2018-04-23,-0.02,-0.06,0.04,66.6667
2017-12-31,2018-02-19,-0.01,-0.01,0,0
2017-09-30,2017-10-22,0.02,0.02,0,0
2017-06-30,2017-07-23,-0.03,-0.03,0,0
2017-03-31,2017-04-23,-0.12,-0.12,0,0
2016-12-31,2017-02-20,-0.04,-0.06,0.02,33.3333
2016-09-30,2016-10-19,0.1,0.03,0.07,233.3333
2016-06-30,2016-07-19,-0.1,-0.1,0,0
2016-03-31,2016-04-19,-0.26,-0.28,0.02,7.1429
2015-12-31,2016-02-22,-0.06,-0.09,0.03,33.3333
2015-09-30,2015-10-19,0.09,0.08,0.01,12.5
2015-06-30,2015-07-20,-0.03,0.15,-0.18,-120
2015-03-31,2015-04-20,0.19,0.06,0.13,216.6667
2014-12-31,2015-02-16,0.08,0.24,-0.16,-66.6667
2014-09-30,2014-10-20,0.71,0.5,0.21,42
2014-06-30,2014-07-21,0.58,0.42,0.16,38.0952
2014-03-31,2014-04-21,0.4,0.33,0.07,21.2121
2013-12-31,2014-02-19,0.35,0.33,0.02,6.0606
2013-09-30,2013-10-21,0.38,0.29,0.09,31.0345
2013-06-30,2013-07-22,0.26,0.2,0.06,30
2013-03-31,2013-04-21,0.1,0.17,-0.07,-41.1765
