fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-10-31,2022-11-01,-0.99,-1.08,0.09,8.3333
2022-07-31,2022-08-09,1.43,1.24,0.19,15.3226
2022-04-30,2022-05-10,4.11,3.75,0.36,9.6
2022-01-31,2022-02-01,-1.02,-1.24,0.22,17.7419
2021-10-31,2021-11-02,-0.78,-1.06,0.28,26.4151
2021-07-31,2021-08-09,-0.84,5.16,-6,-116.2791
2021-04-30,2021-06-15,5.16,5.13,0.03,0.5848
2021-01-31,2021-03-09,-1.17,-1.29,0.12,9.3023
2020-10-31,2020-12-08,-1.09,-0.94,-0.15,-15.9574
2020-07-31,2020-09-01,0.55,0.5,0.05,10
2020-04-30,2020-06-16,3.01,2.61,0.4,15.3257
2020-01-31,2020-03-05,-0.59,-0.55,-0.04,-7.2727
2019-10-31,2019-12-04,-0.85,-0.92,0.07,7.6087
2019-07-31,2019-08-28,-0.66,-0.75,0.09,12
2019-04-30,2019-06-11,4.32,4.14,0.18,4.3478
2019-01-31,2019-03-07,-0.58,-0.55,-0.03,-5.4545
2018-10-31,2018-12-06,-0.83,-0.92,0.09,9.7826
2018-07-31,2018-08-28,-0.72,-0.77,0.05,6.4935
2018-04-30,2018-06-12,5.43,5.27,0.16,3.0361
2018-01-31,2018-03-06,-1.16,-1.29,0.13,10.0775
2017-10-31,2017-12-06,-0.71,-0.72,0.01,1.3889
2017-07-31,2017-08-29,-0.62,-0.62,0,0
2017-04-30,2017-06-13,3.76,3.53,0.23,6.5156
2017-01-31,2017-03-07,-0.49,-0.53,0.04,7.5472
2016-10-31,2016-12-07,-0.67,-0.68,0.01,1.4706
2016-07-31,2016-08-30,-0.55,-0.53,-0.02,-3.7736
2016-04-30,2016-06-09,3.16,3.15,0.01,0.3175
2016-01-31,2016-03-03,-0.34,-0.24,-0.1,-41.6667
2015-10-31,2015-12-07,-0.51,-0.48,-0.03,-6.25
2015-07-31,2015-09-01,-0.35,-0.4,0.05,12.5
2015-04-30,2015-06-08,2.69,2.69,0,0
2015-01-31,2015-03-04,-0.13,-0.16,0.03,18.75
2014-10-31,2014-12-08,-0.45,-0.41,-0.04,-9.7561
2014-07-31,2014-09-03,-0.4,-0.4,0,0
2014-04-30,2014-06-11,3.24,3.23,0.01,0.3096
2014-01-31,2014-03-06,-0.77,-0.11,-0.66,-600
2013-10-31,2013-12-10,-0.42,-0.37,-0.05,-13.5135
2013-07-31,2013-09-03,-0.4,-0.36,-0.04,-11.1111
2013-04-30,2013-06-12,2.54,2.61,-0.07,-2.682
2013-01-31,2013-03-07,-0.22,-0.02,-0.2,-1000
2012-10-31,2012-12-06,-0.37,-0.4,0.03,7.5
2012-07-31,2012-09-05,-0.38,-0.39,0.01,2.5641
2012-04-30,2012-06-26,2.04,2.05,-0.01,-0.4878
2012-01-31,2012-03-07,-0.01,0.05,-0.06,-120
2011-10-31,2011-12-01,-0.38,-0.34,-0.04,-11.7647
2011-07-31,2011-09-01,-0.57,-0.39,-0.18,-46.1538
2011-04-30,2011-06-23,2.14,2.15,-0.01,-0.4651
2011-01-31,2011-03-09,-0.01,None,None,None
2010-10-31,2010-12-07,-0.35,-0.38,0.03,7.8947
2010-07-31,2010-09-02,-0.36,-0.41,0.05,12.1951
2010-04-30,2010-06-24,2.11,2.04,0.07,3.4314
2010-01-31,2010-03-08,0.16,0.14,0.02,14.2857
2009-10-31,2009-12-08,-0.38,-0.4,0.02,5
2009-07-31,2009-09-04,-0.39,-0.37,-0.02,-5.4054
2009-04-30,2009-06-29,2.09,2.05,0.04,1.9512
2009-01-31,2009-03-06,0.2,0.1,0.1,100
2008-10-31,2008-12-08,-0.4,-0.41,0.01,2.439
2008-07-31,2008-09-03,-0.4,-0.35,-0.05,-14.2857
2008-04-30,2008-06-30,2.11,2.03,0.08,3.9409
2008-01-31,2008-03-05,0.08,0.06,0.02,33.3333
2007-10-31,2007-12-11,-0.42,-0.35,-0.07,-20
2007-07-31,2007-08-30,-0.34,-0.36,0.02,5.5556
2007-04-30,2007-06-21,1.81,1.88,-0.07,-3.7234
2007-01-31,2007-02-22,0.08,0.12,-0.04,-33.3333
2006-10-31,2006-11-30,-0.49,-0.32,-0.17,-53.125
2006-07-31,2006-08-31,-0.41,-0.29,-0.12,-41.3793
2006-04-30,2006-06-07,1.79,1.79,0,0
2006-01-31,2006-02-23,0.19,0.26,-0.07,-26.9231
2005-10-31,2005-11-17,-0.26,-0.16,-0.1,-62.5
2005-07-31,2005-09-01,-0.09,-0.07,-0.02,-28.5714
2005-04-30,2005-06-08,1.83,1.77,0.06,3.3898
2005-01-31,2005-02-24,0.28,0.24,0.04,16.6667
2004-10-31,2004-11-23,-0.16,-0.08,-0.08,-100
2004-07-31,2004-08-24,-0.13,-0.03,-0.1,-333.3333
2004-04-30,2004-06-09,1.62,1.58,0.04,2.5316
2004-01-31,2004-02-24,0.3,0.22,0.08,36.3636
2003-10-31,2003-11-25,0.03,-0.03,0.06,200
2003-07-31,2003-08-26,0.03,0.01,0.02,200
2003-04-30,2003-06-11,1.36,1.4,-0.04,-2.8571
2003-01-31,2003-02-24,0.37,0.28,0.09,32.1429
2002-10-31,2002-11-26,-0.02,-0.02,0,0
2002-07-31,2002-08-27,0.01,-0.05,0.06,120
2002-04-30,2002-06-12,1.23,1.22,0.01,0.8197
2002-01-31,2002-02-27,0.08,0.05,0.03,60
2001-10-31,2001-11-28,-0.07,-0.1,0.03,30
2001-07-31,2001-08-28,-0.08,-0.1,0.02,20
2001-04-30,2001-06-20,1,1,0,0
2001-01-31,2001-02-27,0.02,-0.05,0.07,140
2000-10-31,2000-11-28,-0.13,-0.14,0.01,7.1429
2000-07-31,2000-08-21,-0.14,-0.13,-0.01,-7.6923
2000-04-30,2000-06-21,0.86,0.86,0,0
2000-01-31,2000-02-23,-0.02,-0.04,0.02,50
1999-10-31,1999-11-23,-0.11,-0.12,0.01,8.3333
1999-07-31,1999-08-19,-0.09,-0.1,0.01,10
1999-04-30,1999-06-15,0.77,0.71,0.06,8.4507
