fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-24,1,0.86,0.14,16.2791
2022-06-30,2022-07-25,1.19,0.96,0.23,23.9583
2022-03-31,2022-04-25,0.9,0.96,-0.06,-6.25
2021-12-31,2022-02-28,1.02,0.79,0.23,29.1139
2021-09-30,2021-10-25,1.21,0.78,0.43,55.1282
2021-06-30,2021-07-26,1.03,0.74,0.29,39.1892
2021-03-31,2021-04-26,0.74,0.53,0.21,39.6226
2020-12-31,2021-02-22,0.59,0.31,0.28,90.3226
2020-09-30,2020-10-26,0.39,-0.38,0.77,202.6316
2020-06-30,2020-07-27,0.37,0.25,0.12,48
2020-03-31,2020-04-27,0.44,0.49,-0.05,-10.2041
2019-12-31,2020-02-24,0.54,0.54,0,0
2019-09-30,2019-10-28,0.51,0.68,-0.17,-25
2019-06-30,2019-07-29,0.73,0.62,0.11,17.7419
2019-03-31,2019-04-29,0.62,0.52,0.1,19.2308
2018-12-31,2019-02-25,0.58,0.35,0.23,65.7143
2018-09-30,2018-10-29,0.85,0.48,0.37,77.0833
2018-06-30,2018-07-30,0.59,0.45,0.14,31.1111
2018-03-31,2018-04-23,0.53,0.32,0.21,65.625
2017-12-31,2018-02-26,0.15,0.32,-0.17,-53.125
2017-09-30,2017-10-26,0.43,0.34,0.09,26.4706
2017-06-30,2017-07-24,-0.97,0.36,-1.33,-369.4444
2017-03-31,2017-04-24,0.03,0.21,-0.18,-85.7143
2016-12-31,2017-02-27,0.23,0.19,0.04,21.0526
2016-09-30,2016-10-24,0.37,0.34,0.03,8.8235
2016-06-30,2016-07-25,0.35,0.3,0.05,16.6667
2016-03-31,2016-04-25,0.07,0.22,-0.15,-68.1818
2015-12-31,2016-02-23,0.07,0.2,-0.13,-65
2015-09-30,2015-10-27,0.4,0.29,0.11,37.931
2015-06-30,2015-07-28,0.27,0.29,-0.02,-6.8966
2015-03-31,2015-04-28,0.18,0.03,0.15,500
2014-12-31,2015-02-24,0.04,0.11,-0.07,-63.6364
2014-09-30,2014-10-28,0.16,0.23,-0.07,-30.4348
2014-06-30,2014-07-29,0.21,0.19,0.02,10.5263
2014-03-31,2014-04-29,-0.04,0.06,-0.1,-166.6667
2013-12-31,2014-02-25,0.08,0.06,0.02,33.3333
2013-09-30,2013-10-29,0.23,0.18,0.05,27.7778
2013-06-30,2013-07-30,0.15,0.16,-0.01,-6.25
2013-03-31,2013-05-09,-0.07,0.03,-0.1,-333.3333
2012-12-31,2013-02-26,0.08,0.16,-0.08,-50
2012-09-30,2012-10-31,0.23,0.23,0,0
2012-06-30,2012-07-31,0.11,0.32,-0.21,-65.625
2012-03-31,2012-04-24,0.04,0.04,0,0
2011-12-31,2012-02-28,0.69,0.4,0.29,72.5
2011-09-30,2011-10-25,0.37,0.32,0.05,15.625
2011-06-30,2011-07-26,0.41,0.2,0.21,105
2011-03-31,2011-04-26,-0.14,0.15,-0.29,-193.3333
2010-12-31,2011-02-22,0.29,0.37,-0.08,-21.6216
2010-09-30,2010-11-02,0.17,0.21,-0.04,-19.0476
2010-06-30,2010-07-27,0.17,0.16,0.01,6.25
2010-03-31,2010-04-27,0.02,0.15,-0.13,-86.6667
2009-12-31,2010-02-23,0.58,0.35,0.23,65.7143
2009-09-30,2009-10-27,0.25,0.08,0.17,212.5
2009-06-30,2009-07-28,-0.18,-0.12,-0.06,-50
2009-03-31,2009-04-28,-0.68,0.04,-0.72,-1800
2008-12-31,2009-02-24,0.3,0.29,0.01,3.4483
2008-09-30,2008-10-28,0.8,0.69,0.11,15.942
2008-06-30,2008-08-06,0.72,0.66,0.06,9.0909
2008-03-31,2008-04-29,0.38,0.6,-0.22,-36.6667
2007-12-31,2008-02-26,0.49,0.55,-0.06,-10.9091
2007-09-30,2007-10-30,0.84,0.69,0.15,21.7391
2007-06-30,2007-07-31,0.66,0.58,0.08,13.7931
2007-03-31,2007-05-02,0.53,0.45,0.08,17.7778
2006-12-31,2007-02-27,0.36,0.34,0.02,5.8824
2006-09-30,2006-10-31,0.6,0.54,0.06,11.1111
2006-06-30,2006-08-01,0.55,0.51,0.04,7.8431
2006-03-31,2006-05-02,0.3,0.41,-0.11,-26.8293
2005-12-31,2006-03-01,0.36,0.5,-0.14,-28
