fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,1.25,1.01,0.24,23.7624
2022-06-30,2022-08-03,1.07,1.34,-0.27,-20.1493
2022-03-31,2022-05-04,1.34,1.14,0.2,17.5439
2021-12-31,2022-03-01,1.41,1.35,0.06,4.4444
2021-09-30,2021-11-03,1.75,1.54,0.21,13.6364
2021-06-30,2021-08-04,1.62,0.88,0.74,84.0909
2021-03-31,2021-05-05,0.03,0.05,-0.02,-40
2020-12-31,2021-02-24,1.28,1.06,0.22,20.7547
2020-09-30,2020-11-02,1.74,0.97,0.77,79.3814
2020-06-30,2020-08-05,0.4,0.36,0.04,11.1111
2020-03-31,2020-05-06,0.4,0.21,0.19,90.4762
2019-12-31,2020-02-26,0.56,0.42,0.14,33.3333
2019-09-30,2019-11-06,0.64,0.49,0.15,30.6122
2019-06-30,2019-08-07,0.49,0.38,0.11,28.9474
2019-03-31,2019-05-08,0.3,0.12,0.18,150
2018-12-31,2019-02-27,0.67,0.54,0.13,24.0741
2018-09-30,2018-11-07,0.65,0.5,0.15,30
2018-06-30,2018-08-08,0.48,0.31,0.17,54.8387
2018-03-31,2018-05-09,0.03,0.07,-0.04,-57.1429
2017-12-31,2018-02-28,0.29,0.22,0.07,31.8182
2017-09-30,2017-11-06,0.26,0.22,0.04,18.1818
2017-06-30,2017-08-07,0.41,0.1,0.31,310
2017-03-31,2017-05-08,0.21,0.23,-0.02,-8.6957
2016-12-31,2017-02-27,0.64,0.51,0.13,25.4902
2016-09-30,2016-11-07,0.7,0.63,0.07,11.1111
2016-06-30,2016-08-08,0.56,0.5,0.06,12
2016-03-31,2016-05-09,0.34,0.3,0.04,13.3333
2015-12-31,2016-02-29,0.63,0.62,0.01,1.6129
2015-09-30,2015-11-06,0.7,0.4,0.3,75
2015-06-30,2015-08-07,0.39,0.32,0.07,21.875
2015-03-31,2015-05-08,0.21,0.21,0,0
2014-12-31,2015-02-27,0.27,0.22,0.05,22.7273
2014-09-30,2014-11-06,0.24,0.17,0.07,41.1765
2014-06-30,2014-08-07,-0.12,0.1,-0.22,-220
2014-03-31,2014-05-09,-3.07,-0.02,-3.05,-15250
2013-12-31,2014-03-13,-0.51,-0.08,-0.43,-537.5
2013-09-30,2013-11-08,-0.08,-0.24,0.16,66.6667
2013-06-30,2013-08-09,-0.29,-0.32,0.03,9.375
2013-03-31,2013-05-10,-0.36,-0.35,-0.01,-2.8571
2012-12-31,2013-03-18,-0.4,-0.47,0.07,14.8936
2012-09-30,2012-11-13,-0.47,-0.68,0.21,30.8824
2012-06-30,2012-08-10,-0.68,-0.66,-0.02,-3.0303
2012-03-31,2012-05-10,-0.85,-0.92,0.07,7.6087
2011-12-31,2012-03-23,-0.97,-1.2,0.23,19.1667
2011-09-30,2011-11-14,-1.18,-0.94,-0.24,-25.5319
2011-06-30,2011-08-31,-7.7773,None,None,None
