fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,2.51,2.3,0.21,9.1304
2022-06-30,2022-08-04,2.48,1.94,0.54,27.8351
2022-03-31,2022-05-05,1.54,1.12,0.42,37.5
2021-12-31,2022-02-24,1.42,1.52,-0.1,-6.5789
2021-09-30,2021-11-04,1.49,1.63,-0.14,-8.589
2021-06-30,2021-08-05,1.59,1.47,0.12,8.1633
2021-03-31,2021-05-07,0.9,1.04,-0.14,-13.4615
2020-12-31,2021-02-24,1.23,1.23,0,0
2020-09-30,2020-11-05,1.21,1.18,0.03,2.5424
2020-06-30,2020-08-06,1.12,0.75,0.37,49.3333
2020-03-31,2020-05-08,0.78,0.62,0.16,25.8065
2019-12-31,2020-02-27,0.92,0.87,0.05,5.7471
2019-09-30,2019-11-01,0.99,0.87,0.12,13.7931
2019-06-30,2019-08-08,0.87,0.85,0.02,2.3529
2019-03-31,2019-05-02,0.51,0.51,0,0
2018-12-31,2019-02-28,0.72,0.65,0.07,10.7692
2018-09-30,2018-11-01,0.72,0.79,-0.07,-8.8608
2018-06-30,2018-08-02,0.78,0.81,-0.03,-3.7037
2018-03-31,2018-05-03,0.45,0.45,0,0
2017-12-31,2018-02-28,0.52,0.6,-0.08,-13.3333
2017-09-30,2017-11-03,0.57,0.62,-0.05,-8.0645
2017-06-30,2017-08-04,0.59,0.55,0.04,7.2727
2017-03-31,2017-05-05,0.35,0.32,0.03,9.375
2016-12-31,2017-02-27,0.44,0.4,0.04,10
2016-09-30,2016-11-03,0.38,0.45,-0.07,-15.5556
2016-06-30,2016-08-05,0.34,0.37,-0.03,-8.1081
2016-03-31,2016-05-05,0.21,0.11,0.1,90.9091
2015-12-31,2016-03-02,0.3,0.3,0,0
2015-09-30,2015-10-28,0.32,0.36,-0.04,-11.1111
2015-06-30,2015-07-29,0.23,0.23,0,0
2015-03-31,2015-05-12,0.05,0.1,-0.05,-50
2014-12-31,2015-03-04,0.2,0.2,0,0
2014-09-30,2014-11-12,0.2,0.21,-0.01,-4.7619
2014-06-30,2014-08-12,0.11,0.1,0.01,10
2014-03-31,2014-05-13,0.02,-0.01,0.03,300
2013-12-31,2014-03-26,0.03,0.1,-0.07,-70
