fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,0.74,0.44,0.3,68.1818
2022-06-30,2022-08-04,0.69,0.57,0.12,21.0526
2022-03-31,2022-05-05,0.59,0.73,-0.14,-19.1781
2021-12-31,2022-02-17,0.7,0.34,0.36,105.8824
2021-09-30,2021-11-04,0.83,0.65,0.18,27.6923
2021-06-30,2021-08-05,0.05,-0.15,0.2,133.3333
2021-03-31,2021-05-06,0.18,0.0125,0.1675,1340
2020-12-31,2021-02-18,-0.04,-0.16,0.12,75
2020-09-30,2020-11-05,0.76,0.13,0.63,484.6154
2020-06-30,2020-08-06,0.72,0.64,0.08,12.5
2020-03-31,2020-05-07,0.1267,-0.07,0.1967,281
2019-12-31,2020-02-20,0.44,0.27,0.17,62.963
2019-09-30,2019-10-31,0.07,-0.17,0.24,141.1765
2019-06-30,2019-08-01,0.24,0.12,0.12,100
2019-03-31,2019-05-02,-0.09,-0.17,0.08,47.0588
2018-12-31,2019-02-21,0.05,0.12,-0.07,-58.3333
2018-09-30,2018-11-01,0.6,0.11,0.49,445.4545
2018-06-30,2018-08-02,0.3,0.19,0.11,57.8947
2018-03-31,2018-04-26,0.84,0.24,0.6,250
2017-12-31,2018-02-22,2.68,0.99,1.69,170.7071
2017-09-30,2017-10-26,1,0.66,0.34,51.5152
2017-06-30,2017-07-27,1.46,1.33,0.13,9.7744
2017-03-31,2017-04-27,0.93,0.6,0.33,55
2016-12-31,2017-02-23,3.85,3.84,0.01,0.2604
2016-09-30,2016-10-27,2.99,3.01,-0.02,-0.6645
2016-06-30,2016-08-02,1.14,0.31,0.83,267.7419
2016-03-31,2016-04-28,0.79,0.78,0.01,1.2821
2015-12-31,2016-02-18,0.92,1.03,-0.11,-10.6796
2015-09-30,2015-10-30,0.68,0.24,0.44,183.3333
2015-06-30,2015-07-30,0.89,0.78,0.11,14.1026
2015-03-31,2015-04-29,0.78,0.76,0.02,2.6316
2014-12-31,2015-02-19,0.36,0.36,0,0
2014-09-30,2014-10-30,0.34,0.19,0.15,78.9474
2014-06-30,2014-08-07,1.93,2.11,-0.18,-8.5308
2014-03-31,2014-05-01,-0.05,-0.08,0.03,37.5
2013-12-31,2014-02-20,0.35,0.3,0.05,16.6667
2013-09-30,2013-10-31,0.65,0.01,0.64,6400
2013-06-30,2013-07-25,0.22,0.17,0.05,29.4118
2013-03-31,2013-04-25,-0.17,-0.2,0.03,15
2012-12-31,2013-02-20,0.57,0.01,0.56,5600
2012-09-30,2012-10-24,5.56,5.42,0.14,2.583
2012-06-30,2012-07-25,0.22,0.29,-0.07,-24.1379
2012-03-31,2012-04-25,0.24,0.31,-0.07,-22.5806
2011-12-31,2012-02-23,0.49,0.46,0.03,6.5217
2011-09-30,2011-10-26,0.57,0.41,0.16,39.0244
2011-06-30,2011-07-27,0.37,0.36,0.01,2.7778
2011-03-31,2011-04-27,0.51,0.49,0.02,4.0816
2010-12-31,2011-02-23,0.76,0.79,-0.03,-3.7975
2010-09-30,2010-10-27,0.79,0.72,0.07,9.7222
2010-06-30,2010-07-28,0.78,0.61,0.17,27.8689
2010-03-31,2010-04-28,1.09,1.21,-0.12,-9.9174
2009-12-31,2010-02-24,0.6,0.64,-0.04,-6.25
2009-09-30,2009-10-28,0.69,0.58,0.11,18.9655
2009-06-30,2009-07-28,0.59,0.53,0.06,11.3208
2009-03-31,2009-05-06,-0.2,-0.21,0.01,4.7619
2008-12-31,2009-03-02,0.09,0.16,-0.07,-43.75
2008-09-30,2008-10-30,0.2,0.09,0.11,122.2222
2008-06-30,2008-08-06,0.13,0.12,0.01,8.3333
2008-03-31,2008-05-07,0.15,0.08,0.07,87.5
2007-12-31,2008-02-28,-0.04,0.11,-0.15,-136.3636
2007-09-30,2007-10-31,0.18,0.1,0.08,80
2007-06-30,2007-08-08,-0.09,-0.1,0.01,10
2007-03-31,2007-05-08,0.34,0.32,0.02,6.25
2006-12-31,2007-02-28,0.37,0.31,0.06,19.3548
2006-09-30,2006-11-01,0.4,0.4,0,0
2006-06-30,2006-08-02,2.98,2.94,0.04,1.3605
2006-03-31,2006-05-04,0.23,0.18,0.05,27.7778
2005-12-31,2006-03-09,0.03,0.06,-0.03,-50
2005-09-30,2005-11-03,0.12,0.14,-0.02,-14.2857
2005-06-30,2005-08-04,0.07,0.05,0.02,40
2005-03-31,2005-05-06,-0.02,-0.05,0.03,60
2004-12-31,2005-03-10,-0.003,0.02,-0.023,-115
2004-09-30,2004-11-09,-0.12,-0.09,-0.03,-33.3333
2004-06-30,2004-08-09,0.02,0.03,-0.01,-33.3333
2004-03-31,2004-05-10,0.1,0.08,0.02,25
2003-12-31,2004-03-10,0.02,0.07,-0.05,-71.4286
2003-09-30,2003-11-13,0.06,None,None,None
2003-06-30,2003-08-13,0.05,-0.05,0.1,200
2003-03-31,2003-05-13,0.45,0.03,0.42,1400
2002-12-31,2003-02-11,0.1,-0.08,0.18,225
2002-09-30,2002-11-12,-0.11,-0.1,-0.01,-10
2002-06-30,2002-08-06,0.04,-0.1,0.14,140
2002-03-31,2002-05-10,0.0003,-0.13,0.1303,100.2308
2001-12-31,2002-02-14,-0.18,-0.1,-0.08,-80
2001-09-30,2001-10-23,-0.09,-0.06,-0.03,-50
2001-06-30,2001-07-31,-0.05,-0.06,0.01,16.6667
2001-03-31,2001-04-26,-0.04,-0.03,-0.01,-33.3333
2000-12-31,2000-12-31,-0.8852,None,None,None
2000-09-30,2000-09-30,0.0011,None,None,None
2000-06-30,2000-06-30,-0.0214,None,None,None
2000-03-31,2000-03-31,0.0074,None,None,None
1999-12-31,1999-12-31,0.03,None,None,None
1999-09-30,1999-10-26,0.05,0.03,0.02,66.6667
1999-06-30,1999-08-05,0.05,None,None,None
