fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-08-31,2022-11-07,0.08,-0.09,0.17,188.8889
2022-05-31,2022-08-08,0.24,-0.1,0.34,340
2022-02-28,2022-03-07,2.15,1.91,0.24,12.5654
2021-11-30,2021-12-31,-0.46,-0.04,-0.42,-1050
2021-08-31,2021-11-04,-0.46,-0.04,-0.42,-1050
2021-05-31,2021-08-09,-0.15,None,None,None
2021-02-28,2021-04-22,-0.12,None,None,None
2020-11-30,2021-02-18,-1.96,None,None,None
2020-08-31,2020-10-08,-0.12,None,None,None
2020-05-31,2020-07-09,-0.14,None,None,None
2020-02-29,2020-04-09,-0.06,None,None,None
2019-11-30,2020-02-13,-0.51,None,None,None
2019-08-31,2019-10-09,0.2,None,None,None
2019-05-31,2019-07-09,1.14,None,None,None
2019-02-28,2019-04-08,-0.12,None,None,None
2018-11-30,2019-02-12,-0.03,None,None,None
2018-08-31,2018-10-09,-0.02,None,None,None
2018-05-31,2018-07-10,0.07,None,None,None
2018-02-28,2018-04-09,-0.34,None,None,None
2017-11-30,2018-02-08,-0.1,None,None,None
2017-08-31,2017-10-10,0.26,None,None,None
2017-05-31,2017-07-07,0.94,None,None,None
2017-02-28,2017-04-07,-0.19,None,None,None
2016-11-30,2017-02-10,0.26,None,None,None
2016-08-31,2016-10-07,-0.0096,None,None,None
2016-05-31,2016-07-07,-0.0736,None,None,None
2016-02-29,2016-04-07,-0.065,None,None,None
2015-11-30,2016-02-10,0.0318,None,None,None
2015-08-31,2015-10-07,0.2324,None,None,None
2015-05-31,2015-07-09,-0.0454,None,None,None
2015-02-28,2015-04-09,-0.1375,None,None,None
2014-11-30,2015-02-11,0.053,None,None,None
2014-08-31,2014-10-09,-0.0334,None,None,None
2014-05-31,2014-07-09,0.0321,None,None,None
2014-02-28,2014-04-10,-0.2662,None,None,None
2013-11-30,2014-02-12,-1.1798,None,None,None
2013-08-31,2013-10-10,-0.1805,None,None,None
2013-05-31,2013-07-10,-0.0218,None,None,None
2013-02-28,2013-04-11,0.2547,None,None,None
2012-11-30,2013-02-13,-0.1997,None,None,None
2012-08-31,2012-10-03,0.3659,None,None,None
2012-05-31,2012-07-04,-0.0802,None,None,None
2012-02-29,2012-04-05,0.1017,None,None,None
2011-11-30,2012-02-08,0.1385,None,None,None
2011-08-31,2011-10-05,-0.0834,None,None,None
2011-05-31,2011-07-06,-0.1227,None,None,None
2011-02-28,2011-04-07,-0.4155,None,None,None
2010-11-30,2011-02-09,-0.1065,None,None,None
2010-08-31,2010-10-06,-0.2571,None,None,None
2010-05-31,2010-07-07,-0.1538,None,None,None
2010-02-28,2010-04-08,-0.3617,None,None,None
2009-11-30,2010-02-10,-0.2521,None,None,None
2009-08-31,2009-10-08,-0.2826,None,None,None
2009-05-31,2009-07-09,-0.1916,None,None,None
2009-02-28,2009-04-09,-0.3592,None,None,None
2008-11-30,2009-02-12,-0.99,None,None,None
2008-08-31,2008-10-08,-0.2516,None,None,None
2008-05-31,2008-07-10,-0.0748,None,None,None
2008-02-29,2008-04-10,-0.3159,None,None,None
2007-11-30,2008-02-14,0.26,None,None,None
2007-08-31,2007-10-11,0.4345,None,None,None
2007-05-31,2007-07-12,1.1306,None,None,None
2007-02-28,2007-04-13,-0.2509,None,None,None
2006-11-30,2007-02-15,-0.1443,None,None,None
2006-08-31,2006-10-17,0.4935,None,None,None
2006-05-31,2006-07-18,-0.0653,None,None,None
2006-02-28,2006-04-18,-0.2993,None,None,None
2005-08-31,2005-11-02,0.1383,None,None,None
2005-05-31,2005-07-18,0.0723,None,None,None
2005-02-28,2005-04-12,-0.2931,None,None,None
2004-11-30,2005-02-25,-0.2392,None,None,None
2004-08-31,2004-11-02,-0.2483,None,None,None
2004-05-31,2004-07-12,6.7956,None,None,None
2004-02-29,2004-04-12,-0.2878,None,None,None
2003-11-30,2004-02-25,0.0006,None,None,None
2003-08-31,2003-10-10,-0.2454,None,None,None
2003-05-31,2003-07-14,0.0986,None,None,None
2003-02-28,2003-02-28,-0.3396,None,None,None
2002-11-30,2002-11-30,0.2539,None,None,None
2002-08-31,2002-08-31,0.2626,None,None,None
2002-05-31,2002-05-31,0.3264,None,None,None
2002-02-28,2002-02-28,-0.3013,None,None,None
2001-11-30,2001-11-30,-0.4857,None,None,None
2001-08-31,2001-08-31,-0.0763,None,None,None
2001-05-31,2001-05-31,0.1494,None,None,None
2001-02-28,2001-02-28,0.8806,None,None,None
2000-11-30,2000-11-30,-0.0837,None,None,None
2000-08-31,2000-08-31,0.0968,None,None,None
2000-05-31,2000-05-31,0.646,None,None,None
2000-02-29,2000-02-29,-0.3469,None,None,None
1999-08-31,1999-08-31,0.0627,None,None,None
1999-05-31,1999-05-31,0.5978,None,None,None
1999-02-28,1999-02-28,-0.311,None,None,None
1998-08-31,1998-08-31,-0.1522,None,None,None
1998-05-31,1998-05-31,0.4099,None,None,None
1998-02-28,1998-02-28,-0.3014,None,None,None
