fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-08,-0.15,-0.3,0.15,50
2022-06-30,2022-08-09,-0.46,-0.31,-0.15,-48.3871
2022-03-31,2022-05-10,-0.36,-0.34,-0.02,-5.8824
2021-12-31,2022-03-01,-0.5,-0.32,-0.18,-56.25
2021-09-30,2021-11-09,-0.29,-0.33,0.04,12.1212
2021-06-30,2021-08-09,-0.39,-0.25,-0.14,-56
2021-03-31,2021-05-10,-0.27,-0.18,-0.09,-50
2020-12-31,2021-03-01,-0.14,-0.22,0.08,36.3636
2020-09-30,2020-11-09,0.11,-0.19,0.3,157.8947
2020-06-30,2020-08-10,-0.83,-0.17,-0.66,-388.2353
2020-03-31,2020-05-11,-0.26,-0.22,-0.04,-18.1818
2019-12-31,2020-03-12,-0.38,-0.24,-0.14,-58.3333
2019-09-30,2019-11-12,-0.25,-0.26,0.01,3.8462
2019-06-30,2019-08-08,-0.3,-0.27,-0.03,-11.1111
2019-03-31,2019-05-09,-0.3,-0.26,-0.04,-15.3846
2018-12-31,2019-03-12,-0.35,-0.28,-0.07,-25
2018-09-30,2018-11-08,-0.27,-0.3,0.03,10
2018-06-30,2018-08-07,-0.07,-0.22,0.15,68.1818
2018-03-31,2018-05-09,-0.36,-0.11,-0.25,-227.2727
2017-12-31,2018-03-14,-0.23,-0.29,0.06,20.6897
2017-09-30,2017-11-08,-0.39,-0.25,-0.14,-56
2017-06-30,2017-08-08,-0.13,-0.19,0.06,31.5789
2017-03-31,2017-05-10,-0.31,-0.31,0,0
2016-12-31,2017-03-15,-0.35,-0.3,-0.05,-16.6667
2016-09-30,2016-11-09,-0.28,-0.27,-0.01,-3.7037
2016-06-30,2016-08-08,-0.26,-0.21,-0.05,-23.8095
2016-03-31,2016-05-09,-0.11,-0.14,0.03,21.4286
2015-12-31,2016-03-14,-0.26,-0.2,-0.06,-30
2015-09-30,2015-11-09,0.07,0.04,0.03,75
2015-06-30,2015-08-10,-0.09,-0.13,0.04,30.7692
2015-03-31,2015-05-11,-0.17,-0.11,-0.06,-54.5455
2014-12-31,2015-03-16,-0.12,-0.1,-0.02,-20
2014-09-30,2014-11-10,-0.12,-0.14,0.02,14.2857
2014-06-30,2014-08-11,-0.18,-0.19,0.01,5.2632
2014-03-31,2014-05-12,-0.2,-0.16,-0.04,-25
2013-12-31,2014-03-17,-0.28,-0.14,-0.14,-100
2013-09-30,2013-11-12,-0.64,-0.1,-0.54,-540
2013-06-30,2013-08-09,-0.24,-0.14,-0.1,-71.4286
2013-03-31,2013-05-10,-0.24,-0.17,-0.07,-41.1765
2012-12-31,2013-03-18,-0.0187,-0.18,0.1613,89.6111
2012-09-30,2012-11-07,-0.2,-0.14,-0.06,-42.8571
2012-06-30,2012-08-09,-0.12,-0.17,0.05,29.4118
2012-03-31,2012-05-09,-0.24,-0.18,-0.06,-33.3333
2011-12-31,2012-03-15,-0.16,-0.2,0.04,20
2011-09-30,2011-11-07,-0.16,-0.13,-0.03,-23.0769
2011-06-30,2011-08-08,-0.08,-0.19,0.11,57.8947
2011-03-31,2011-05-11,-0.08,-0.15,0.07,46.6667
2010-12-31,2011-03-17,-0.28,-0.15,-0.13,-86.6667
2010-09-30,2010-11-15,-0.04,-0.11,0.07,63.6364
2010-06-30,2010-08-16,-0.28,-0.08,-0.2,-250
2010-03-31,2010-05-17,-0.08,-0.18,0.1,55.5556
2009-12-31,2010-03-29,-0.28,-0.16,-0.12,-75
2009-09-30,2009-11-16,-0.12,-0.2,0.08,40
2009-06-30,2009-08-19,-0.76,-0.24,-0.52,-216.6667
2009-03-31,2009-05-15,-0.3147,None,None,None
2008-12-31,2009-03-31,-0.32,-0.28,-0.04,-14.2857
2008-09-30,2008-11-07,-0.2,-0.38,0.18,47.3684
2008-06-30,2008-08-07,-0.36,-0.28,-0.08,-28.5714
2008-03-31,2008-05-09,-0.28,-0.44,0.16,36.3636
2007-12-31,2008-03-17,-0.08,-0.47,0.39,82.9787
2007-09-30,2007-11-08,-0.44,-0.39,-0.05,-12.8205
2007-06-30,2007-08-08,-0.44,-0.4,-0.04,-10
2007-03-31,2007-05-09,-0.44,-0.37,-0.07,-18.9189
2006-12-31,2007-03-16,-0.56,-0.43,-0.13,-30.2326
2006-09-30,2006-11-08,-0.44,-0.4,-0.04,-10
2006-06-30,2006-08-08,-0.4,-0.36,-0.04,-11.1111
2006-03-31,2006-05-09,-0.36,-0.44,0.08,18.1818
2005-12-31,2006-03-16,-2.4,-0.64,-1.76,-275
2005-09-30,2005-11-09,-0.64,-0.86,0.22,25.5814
2005-06-30,2005-08-09,-0.44,-0.92,0.48,52.1739
2005-03-31,2005-05-10,-0.88,-0.88,0,0
2004-12-31,2005-03-15,-0.84,-0.82,-0.02,-2.439
2004-09-30,2004-11-15,-0.8,-0.52,-0.28,-53.8462
2004-06-30,2004-08-09,-0.1338,None,None,None
2004-03-31,2004-05-15,-0.4,-0.64,0.24,37.5
2003-12-31,2004-03-30,-0.48,-0.48,0,0
2003-09-30,2003-11-12,-2.4594,None,None,None
2003-06-30,2003-07-16,-0.4427,None,None,None
2003-03-31,2003-03-31,-1.2293,None,None,None
