fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-01,0.29,0.25,0.04,16
2022-06-30,2022-08-01,0.25,0.22,0.03,13.6364
2022-03-31,2022-05-02,0.28,0.22,0.06,27.2727
2021-12-31,2022-02-17,0.34,0.19,0.15,78.9474
2021-09-30,2021-11-08,0.24,0.14,0.1,71.4286
2021-06-30,2021-07-23,0.16,0.03,0.13,433.3333
2019-12-31,2020-01-22,-0.17,-0.15,-0.02,-13.3333
2019-09-30,2019-10-28,-0.11,-0.19,0.08,42.1053
2019-06-30,2019-07-29,-0.16,-0.24,0.08,33.3333
2019-03-31,2019-04-29,-0.11,-0.15,0.04,26.6667
2018-12-31,2019-02-19,-0.01,-0.15,0.14,93.3333
2018-09-30,2018-10-29,-0.15,-0.23,0.08,34.7826
2018-06-30,2018-07-30,-0.24,-0.25,0.01,4
2018-03-31,2018-04-30,-0.21,-0.23,0.02,8.6957
2017-12-31,2018-02-12,-0.27,-0.28,0.01,3.5714
2017-09-30,2017-10-30,-0.27,-0.31,0.04,12.9032
2017-06-30,2017-07-31,-0.32,-0.35,0.03,8.5714
2017-03-31,2017-05-01,-0.33,-0.37,0.04,10.8108
2016-12-31,2017-02-06,-0.35,-0.42,0.07,16.6667
2016-09-30,2016-10-31,-0.34,-0.41,0.07,17.0732
2016-06-30,2016-08-01,-0.44,-0.52,0.08,15.3846
2016-03-31,2016-05-04,-0.42,-0.48,0.06,12.5
2015-12-31,2016-02-09,-0.43,-0.57,0.14,24.5614
