fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-09,-0.33,-0.74,0.41,55.4054
2022-06-30,2022-08-09,-0.74,-0.62,-0.12,-19.3548
2022-03-31,2022-05-04,-0.46,-0.71,0.25,35.2113
2021-12-31,2022-02-24,1.41,0.28,1.13,403.5714
2021-09-30,2021-11-03,-0.58,-0.52,-0.06,-11.5385
2021-06-30,2021-08-04,-0.57,-0.6,0.03,5
2021-03-31,2021-05-05,-0.64,-0.52,-0.12,-23.0769
2020-12-31,2021-02-24,-2.44,0.28,-2.72,-971.4286
2020-09-30,2020-11-04,-0.22,-0.09,-0.13,-144.4444
2020-06-30,2020-08-05,-0.23,-0.28,0.05,17.8571
2020-03-31,2020-05-06,-0.35,-0.12,-0.23,-191.6667
2019-12-31,2020-02-26,1.28,0.93,0.35,37.6344
2019-09-30,2019-11-06,0.18,-0.32,0.5,156.25
2019-06-30,2019-08-08,-0.01,-0.27,0.26,96.2963
2019-03-31,2019-05-09,0.62,0.59,0.03,5.0847
2018-12-31,2019-02-27,2.21,-0.05,2.26,4520
2018-09-30,2018-11-06,-0.03,-0.16,0.13,81.25
2018-06-30,2018-08-07,-0.29,-0.09,-0.2,-222.2222
2018-03-31,2018-05-04,-0.01,-0.03,0.02,66.6667
2017-12-31,2018-02-27,0.02,0.01,0.01,100
2017-09-30,2017-11-07,-0.0034,-0.05,0.0466,93.2
2017-06-30,2017-08-08,-0.09,-0.04,-0.05,-125
2017-03-31,2017-05-09,0.03,0.05,-0.02,-40
2016-12-31,2017-02-28,0.21,-0.12,0.33,275
2016-09-30,2016-11-09,0.06,0.08,-0.02,-25
2016-06-30,2016-08-09,-0.47,-0.53,0.06,11.3208
2016-03-31,2016-05-04,-0.52,-0.5,-0.02,-4
2015-12-31,2016-02-25,-0.59,-0.48,-0.11,-22.9167
2015-09-30,2015-11-09,-0.3,-0.31,0.01,3.2258
2015-06-30,2015-08-04,0.29,0.29,0,0
2015-03-31,2015-05-05,-0.14,-0.2,0.06,30
2014-12-31,2015-02-27,0.25,0.02,0.23,1150
2014-09-30,2014-11-07,-0.23,-0.2,-0.03,-15
2014-06-30,2014-08-04,-0.1,-0.13,0.03,23.0769
2014-03-31,2014-05-06,-0.27,-0.24,-0.03,-12.5
2013-12-31,2014-02-28,-0.21,-0.17,-0.04,-23.5294
2013-09-30,2013-11-05,-0.21,-0.27,0.06,22.2222
2013-06-30,2013-08-06,-0.09,-0.21,0.12,57.1429
2013-03-31,2013-05-07,-0.03,-0.02,-0.01,-50
2012-12-31,2013-02-28,-0.23,-0.23,0,0
2012-09-30,2012-11-06,-0.33,-0.26,-0.07,-26.9231
2012-06-30,2012-08-06,-0.01,-0.1,0.09,90
2012-03-31,2012-05-08,-0.24,-0.26,0.02,7.6923
2011-12-31,2012-02-29,-0.2,-0.18,-0.02,-11.1111
2011-09-30,2011-11-07,-0.27,-0.21,-0.06,-28.5714
2011-06-30,2011-08-04,-0.18,-0.22,0.04,18.1818
2011-03-31,2011-05-05,-0.2,-0.19,-0.01,-5.2632
2010-12-31,2011-02-28,-0.14,-0.22,0.08,36.3636
2010-09-30,2010-11-04,-0.13,-0.2,0.07,35
2010-06-30,2010-08-09,-0.25,-0.15,-0.1,-66.6667
2010-03-31,2010-05-06,-0.1,-0.17,0.07,41.1765
2009-12-31,2010-03-01,-0.17,-0.11,-0.06,-54.5455
2009-09-30,2009-11-05,-0.07,-0.07,0,0
2009-06-30,2009-08-06,-0.03,-0.02,-0.01,-50
2009-03-31,2009-05-07,1.76,1.7,0.06,3.5294
2008-12-31,2009-02-25,-0.09,-0.04,-0.05,-125
2008-09-30,2008-11-10,0.03,-0.05,0.08,160
2008-06-30,2008-08-07,-0.02,-0.05,0.03,60
2008-03-31,2008-05-12,-0.05,-0.1,0.05,50
2007-12-31,2008-03-13,-0.08,0.03,-0.11,-366.6667
2007-09-30,2007-11-08,-1.25,0.15,-1.4,-933.3333
2007-06-30,2007-08-08,-0.13,-0.17,0.04,23.5294
2007-03-31,2007-05-10,-0.16,-0.24,0.08,33.3333
2006-12-31,2007-03-08,-0.18,-0.17,-0.01,-5.8824
2006-09-30,2006-11-02,-0.16,-0.25,0.09,36
2006-06-30,2006-08-03,-0.03,-0.28,0.25,89.2857
2006-03-31,2006-05-02,-0.24,-0.24,0,0
2005-12-31,2006-03-09,-0.11,-0.16,0.05,31.25
2005-09-30,2005-11-08,-0.24,-0.27,0.03,11.1111
2005-06-30,2005-08-08,-0.34,-0.31,-0.03,-9.6774
2005-03-31,2005-05-05,-0.52,-0.3,-0.22,-73.3333
2004-12-31,2005-03-01,-1,-0.44,-0.56,-127.2727
2004-09-30,2004-10-27,-0.57,-0.43,-0.14,-32.5581
2004-06-30,2004-08-05,-0.47,-0.46,-0.01,-2.1739
2004-03-31,2004-05-06,-0.47,-0.41,-0.06,-14.6341
2003-12-31,2004-02-10,-0.46,-0.4,-0.06,-15
2003-09-30,2003-11-04,-0.4,-0.38,-0.02,-5.2632
2003-06-30,2003-08-05,-0.42,-0.39,-0.03,-7.6923
2003-03-31,2003-05-08,-0.44,-0.32,-0.12,-37.5
2002-12-31,2003-02-11,-0.29,-0.4,0.11,27.5
2002-09-30,2002-11-06,-0.33,-0.31,-0.02,-6.4516
2002-06-30,2002-07-30,-0.39,-0.35,-0.04,-11.4286
2002-03-31,2002-04-23,-0.34,-0.34,0,0
2001-12-31,2002-02-07,-0.31,-0.18,-0.13,-72.2222
2001-09-30,2001-10-17,-0.29,-0.23,-0.06,-26.087
2001-06-30,2001-07-25,-0.58,-0.43,-0.15,-34.8837
2001-03-31,2001-03-31,-0.577,None,None,None
2000-12-31,2001-02-07,-0.4,-0.34,-0.06,-17.6471
2000-09-30,2000-11-02,-0.15,-0.34,0.19,55.8824
2000-06-30,2000-08-10,-0.4,-0.34,-0.06,-17.6471
2000-03-31,2000-05-10,-0.56,-0.59,0.03,5.0847
1999-12-31,2000-02-10,-0.58,-0.2,-0.38,-190
1999-09-30,1999-10-27,-0.44,-0.46,0.02,4.3478
1999-06-30,1999-07-29,-0.51,-0.73,0.22,30.137
1999-03-31,1999-04-29,-0.47,-0.44,-0.03,-6.8182
1998-12-31,1999-02-17,-0.62,-0.55,-0.07,-12.7273
1998-09-30,1998-11-03,-0.04,-0.52,0.48,92.3077
1998-06-30,1998-07-29,-0.52,-0.47,-0.05,-10.6383
1998-03-31,1998-04-29,-0.43,-0.47,0.04,8.5106
1997-12-31,1998-02-09,-0.41,-0.39,-0.02,-5.1282
1997-09-30,1997-10-22,-0.08,-0.14,0.06,42.8571
1997-06-30,1997-07-30,-0.36,-0.3,-0.06,-20
1997-03-31,1997-05-01,-0.33,-0.27,-0.06,-22.2222
1996-12-31,1997-02-10,-0.32,-0.36,0.04,11.1111
1996-09-30,1996-10-23,-0.23,-0.32,0.09,28.125
1996-06-30,1996-07-24,-0.29,-0.27,-0.02,-7.4074
