fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-01,-0.17,-0.14,-0.03,-21.4286
2022-06-30,2022-08-02,1.02,-0.09,1.11,1233.3333
2022-03-31,2022-05-03,-0.0006,0.13,-0.1306,-100.4615
2021-12-31,2022-02-22,-0.45,-0.14,-0.31,-221.4286
2021-09-30,2021-11-02,0.32,-0.14,0.46,328.5714
2021-06-30,2021-08-03,-0.03,-0.2,0.17,85
2021-03-31,2021-05-04,-0.16,-0.22,0.06,27.2727
2020-12-31,2021-02-23,-0.36,-0.22,-0.14,-63.6364
2020-09-30,2020-11-03,-0.18,-0.19,0.01,5.2632
2020-06-30,2020-08-04,-0.28,-0.08,-0.2,-250
2020-03-31,2020-05-05,0.32,0.16,0.16,100
2019-12-31,2020-02-25,0.25,0.01,0.24,2400
2019-09-30,2019-11-05,0.06,-0.01,0.07,700
2019-06-30,2019-08-06,-0.03,0.36,-0.39,-108.3333
2019-03-31,2019-05-07,0.2,0.41,-0.21,-51.2195
2018-12-31,2019-02-26,-0.01,0.34,-0.35,-102.9412
2018-09-30,2018-11-07,0.19,0.48,-0.29,-60.4167
2018-06-30,2018-08-09,0.17,0.47,-0.3,-63.8298
2018-03-31,2018-05-09,0.07,None,None,None
2017-12-31,2018-03-12,-0.17,None,None,None
2017-09-30,2017-11-13,-0.61,None,None,None
2017-06-30,2017-08-14,0.11,0,0.11,None
