fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,0.61,0.48,0.13,27.0833
2022-06-30,2022-07-28,0.63,0.64,-0.01,-1.5625
2022-03-31,2022-05-03,0.75,0.86,-0.11,-12.7907
2021-12-31,2022-02-02,1.05,1.03,0.02,1.9417
2021-09-30,2021-10-27,1.16,0.98,0.18,18.3673
2021-06-30,2021-07-28,1.16,0.98,0.18,18.3673
2021-03-31,2021-04-29,0.91,0.82,0.09,10.9756
2020-12-31,2021-02-03,1.04,0.76,0.28,36.8421
2020-09-30,2020-10-28,0.7,0.64,0.06,9.375
2020-06-30,2020-07-28,0.67,0.52,0.15,28.8462
2020-03-31,2020-04-30,0.6,0.53,0.07,13.2075
2019-12-31,2020-02-03,0.65,0.66,-0.01,-1.5152
2019-09-30,2019-10-30,0.64,0.61,0.03,4.918
2019-06-30,2019-07-30,0.61,0.65,-0.04,-6.1538
2019-03-31,2019-05-01,0.56,0.59,-0.03,-5.0847
2018-12-31,2019-02-04,0.59,0.63,-0.04,-6.3492
2018-09-30,2018-10-31,0.69,0.68,0.01,1.4706
2018-06-30,2018-07-31,0.74,0.75,-0.01,-1.3333
2018-03-31,2018-05-09,0.71,0.66,0.05,7.5758
2017-12-31,2018-02-05,0.73,0.66,0.07,10.6061
2017-09-30,2017-11-08,0.56,0.6,-0.04,-6.6667
2017-06-30,2017-08-08,0.68,0.54,0.14,25.9259
2016-12-31,2017-03-21,0,1.06,-1.06,-100
2016-09-30,2016-10-27,0,0,0,None
