fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-24,0.65,0.59,0.06,10.1695
2022-06-30,2022-07-28,0.47,0.44,0.03,6.8182
2022-03-31,2022-04-28,0.29,0.27,0.02,7.4074
2021-12-31,2022-01-27,0.27,0.25,0.02,8
2021-09-30,2021-10-28,0.17,0.24,-0.07,-29.1667
2021-06-30,2021-07-29,0.17,0.14,0.03,21.4286
2021-03-31,2021-04-29,-0.06,0.12,-0.18,-150
2020-12-31,2021-01-28,0.37,0.23,0.14,60.8696
2020-09-30,2020-10-29,0.46,0.36,0.1,27.7778
2020-06-30,2020-07-30,0.42,0.45,-0.03,-6.6667
2020-03-31,2020-05-05,0.59,0.44,0.15,34.0909
2019-12-31,2020-01-30,0.58,0.59,-0.01,-1.6949
2019-09-30,2019-10-25,0.8,0.72,0.08,11.1111
2019-06-30,2019-07-25,0.79,0.79,0,0
2019-03-31,2019-05-02,0.74,0.69,0.05,7.2464
2018-12-31,2019-01-31,0.75,0.68,0.07,10.2941
2018-09-30,2018-10-25,0.7,0.68,0.02,2.9412
2018-06-30,2018-07-25,0.78,0.71,0.07,9.8592
2018-03-31,2018-04-25,0.67,0.59,0.08,13.5593
2017-12-31,2018-01-31,0.54,0.51,0.03,5.8824
2017-09-30,2017-11-01,0.52,0.45,0.07,15.5556
2017-06-30,2017-07-26,0.48,0.48,0,0
2017-03-31,2017-04-26,0.51,0.51,0,0
2016-12-31,2017-02-01,0.6,0.52,0.08,15.3846
2016-09-30,2016-10-26,0.59,0.55,0.04,7.2727
2016-06-30,2016-07-27,0.72,0.7,0.02,2.8571
2016-03-31,2016-04-27,0.77,0.78,-0.01,-1.2821
2015-12-31,2016-01-27,0.94,0.97,-0.03,-3.0928
2015-09-30,2015-10-28,1.04,1.03,0.01,0.9709
2015-06-30,2015-07-29,1.04,1.03,0.01,0.9709
2015-03-31,2015-04-29,1.09,1.08,0.01,0.9259
2014-12-31,2015-01-28,1.19,1.15,0.04,3.4783
2014-09-30,2014-10-29,1.34,1.36,-0.02,-1.4706
2014-06-30,2014-07-30,1.31,1.3,0.01,0.7692
2014-03-31,2014-04-30,1.15,1.09,0.06,5.5046
2013-12-31,2014-01-29,1.13,1.13,0,0
2013-09-30,2013-10-28,1.13,1.12,0.01,0.8929
2013-06-30,2013-07-24,1.07,1.06,0.01,0.9434
2013-03-31,2013-04-24,0.95,0.91,0.04,4.3956
2012-12-31,2013-01-31,0.94,0.86,0.08,9.3023
2012-09-30,2012-10-24,0.95,0.9,0.05,5.5556
2012-06-30,2012-07-25,0.85,0.82,0.03,3.6585
2012-03-31,2012-04-25,0.91,0.91,0,0
2011-12-31,2012-02-02,1,1,0,0
2011-09-30,2011-10-26,0.94,0.92,0.02,2.1739
2011-06-30,2011-07-27,0.77,0.74,0.03,4.0541
2011-03-31,2011-04-27,0.6,0.58,0.02,3.4483
2010-12-31,2011-01-26,0.59,0.54,0.05,9.2593
2010-09-30,2010-10-27,0.57,0.55,0.02,3.6364
2010-06-30,2010-07-28,0.54,0.56,-0.02,-3.5714
2010-03-31,2010-04-28,0.46,0.45,0.01,2.2222
