fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-31,0.87,-0.2,1.07,535
2022-06-30,2022-08-03,-0.02,-0.21,0.19,90.4762
2022-03-31,2022-05-04,-0.47,-0.37,-0.1,-27.027
2021-12-31,2022-03-02,-0.24,-0.3,0.06,20
2021-09-30,2021-11-03,-0.11,-0.28,0.17,60.7143
2021-06-30,2021-08-04,-0.19,-0.34,0.15,44.1176
2021-03-31,2021-05-05,-0.54,-0.27,-0.27,-100
2020-12-31,2021-03-10,-0.73,-0.27,-0.46,-170.3704
2020-09-30,2020-11-04,-0.24,-0.31,0.07,22.5806
2020-06-30,2020-08-05,-0.54,-0.38,-0.16,-42.1053
2020-03-31,2020-05-05,-0.3,-0.25,-0.05,-20
2019-12-31,2020-03-04,-0.36,-0.25,-0.11,-44
2019-09-30,2019-11-07,-0.18,-0.17,-0.01,-5.8824
2019-06-30,2019-08-07,-0.18,-0.08,-0.1,-125
2019-03-31,2019-05-08,-0.21,-0.17,-0.04,-23.5294
2018-12-31,2019-03-06,-0.19,-0.19,0,0
2018-09-30,2018-10-31,-0.15,-0.11,-0.04,-36.3636
2018-06-30,2018-08-08,-0.21,-0.14,-0.07,-50
2018-03-31,2018-05-14,-0.41,-0.3,-0.11,-36.6667
2017-12-31,2018-03-07,-3.82,-0.17,-3.65,-2147.0588
2017-09-30,2017-10-16,-1.7,-0.49,-1.21,-246.9388
2017-06-30,2017-08-10,-0.23,0,-0.23,None
