fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,-0.11,-0.08,-0.03,-37.5
2022-06-30,2022-08-04,-0.07,-0.09,0.02,22.2222
2022-03-31,2022-05-05,-0.04,-0.08,0.04,50
2021-12-31,2022-02-17,-0.01,0.03,-0.04,-133.3333
2021-09-30,2021-11-04,0.08,0.06,0.02,33.3333
2021-06-30,2021-08-05,0.09,0.07,0.02,28.5714
2021-03-31,2021-05-06,0.06,0.05,0.01,20
2020-12-31,2021-02-17,0.12,0.06,0.06,100
2020-09-30,2020-11-05,0.12,0.01,0.11,1100
2020-06-30,2020-08-05,-0.1789,-0.05,-0.1289,-257.8
2020-03-31,2020-05-06,-0.08,-0.16,0.08,50
2019-12-31,2020-02-19,-0.06,-0.05,-0.01,-20
2019-09-30,2019-11-04,0.01,0.02,-0.01,-50
2019-06-30,2019-08-05,0.05,0.06,-0.01,-16.6667
2019-03-31,2019-05-08,0.02,0.03,-0.01,-33.3333
2018-12-31,2019-02-20,0.1,0.08,0.02,25
2018-09-30,2018-11-05,0.15,0.12,0.03,25
2018-06-30,2018-08-08,0.14,0.13,0.01,7.6923
2018-03-31,2018-04-26,0.1,0.1,0,0
2017-12-31,2018-02-28,0.05,0,0.05,None
