fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,0.36,0.33,0.03,9.0909
2022-06-30,2022-07-27,0.45,0.4,0.05,12.5
2022-03-31,2022-04-27,0.39,0.24,0.15,62.5
2021-12-31,2022-01-26,0.27,0.22,0.05,22.7273
2021-09-30,2021-10-27,0.26,0.03,0.23,766.6667
2021-06-30,2021-07-28,0.09,-0.43,0.52,120.9302
2021-03-31,2021-04-28,-0.49,-0.82,0.33,40.2439
2020-12-31,2021-03-10,-0.24,-0.25,0.01,4
2020-09-30,2020-11-04,-0.25,-0.45,0.2,44.4444
2020-06-30,2020-08-04,-0.6,-0.51,-0.09,-17.6471
2020-03-31,2020-05-05,-0.44,-0.07,-0.37,-528.5714
2019-12-31,2020-02-18,0.08,0.04,0.04,100
2019-09-30,2019-11-05,0.09,0.02,0.07,350
2019-06-30,2019-08-06,-0.01,-0.08,0.07,87.5
2019-03-31,2019-05-07,-0.15,-0.15,0,0
2018-12-31,2019-02-19,0.15,0.11,0.04,36.3636
2018-09-30,2018-11-06,0.15,0.12,0.03,25
2018-06-30,2018-08-07,0.15,0.09,0.06,66.6667
2018-03-31,2018-05-08,0.05,-0.04,0.09,225
2017-12-31,2018-02-20,0.05,0.09,-0.04,-44.4444
2017-09-30,2017-11-07,0.15,0.14,0.01,7.1429
2017-06-30,2017-08-07,-0.05,-0.07,0.02,28.5714
2017-03-31,2017-05-04,-0.02,-0.03,0.01,33.3333
2016-12-31,2017-02-14,-0.02,-0.03,0.01,33.3333
2016-09-30,2016-11-07,-0.04,-0.07,0.03,42.8571
2016-06-30,2016-08-08,-0.09,-0.02,-0.07,-350
2016-03-31,2016-05-09,0.05,0.05,0,0
2015-12-31,2016-02-11,0.05,0.04,0.01,25
2015-09-30,2015-10-29,0.04,0.02,0.02,100
2015-06-30,2015-08-04,0.03,0.02,0.01,50
2015-03-31,2015-05-05,0.02,0.01,0.01,100
2014-12-31,2015-02-24,0.01,0.01,0,0
