fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-01,3.85,3.5,0.35,10
2022-06-30,2022-08-02,5.2,4.29,0.91,21.2121
2022-03-31,2022-05-03,3.25,2.72,0.53,19.4853
2021-12-31,2022-02-15,4.53,4.2,0.33,7.8571
2021-09-30,2021-11-02,4.05,3.95,0.1,2.5316
2021-06-30,2021-08-03,4.71,3.92,0.79,20.1531
2021-03-31,2021-05-04,3.95,2.5,1.45,58
2020-12-31,2021-02-23,5.34,4.27,1.07,25.0585
2020-09-30,2020-11-03,3.52,2.16,1.36,62.963
2020-06-30,2020-08-04,2.21,1.62,0.59,36.4198
2020-03-31,2020-05-05,1.67,1.23,0.44,35.7724
2019-12-31,2020-02-25,2.52,2.34,0.18,7.6923
2019-09-30,2019-11-05,1.93,1.88,0.05,2.6596
2019-06-30,2019-08-06,1.82,1.63,0.19,11.6564
2019-03-31,2019-05-07,0.73,0.88,-0.15,-17.0455
2018-12-31,2019-02-26,1.72,1.75,-0.03,-1.7143
2018-09-30,2018-11-06,1.52,1.47,0.05,3.4014
2018-06-30,2018-08-07,1.9,1.68,0.22,13.0952
2018-03-31,2018-05-08,1.1,0.78,0.32,41.0256
2017-12-31,2018-02-27,1.43,1.39,0.04,2.8777
2017-09-30,2017-11-07,1.4,1.33,0.07,5.2632
2017-06-30,2017-08-08,1.39,1.26,0.13,10.3175
2017-03-31,2017-05-09,0.52,0.5,0.02,4
2016-12-31,2017-03-07,1.01,0.94,0.07,7.4468
2016-09-30,2016-11-08,0.86,0.85,0.01,1.1765
2016-06-30,2016-08-09,0.96,0.87,0.09,10.3448
2016-03-31,2016-05-10,0.57,0.52,0.05,9.6154
2015-12-31,2016-03-09,0.75,0.71,0.04,5.6338
2015-09-30,2015-11-04,0.76,0.71,0.05,7.0423
2015-06-30,2015-08-05,0.66,0.61,0.05,8.1967
2015-03-31,2015-05-07,0.33,0.31,0.02,6.4516
2014-12-31,2015-03-12,0.34,0.37,-0.03,-8.1081
2014-09-30,2014-11-11,0.34,0.34,0,0
2014-06-30,2014-08-12,0.43,0.33,0.1,30.303
2014-03-31,2014-05-16,0.25,0.17,0.08,47.0588
2013-12-31,2014-03-31,0.34,0.15,0.19,126.6667
2013-09-30,2013-12-18,0.2691,None,None,None
