fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,0.43,0.35,0.08,22.8571
2022-06-30,2022-08-03,0.56,0.49,0.07,14.2857
2022-03-31,2022-05-26,0.62,0.62,0,0
2021-12-31,2022-02-03,0.34,0.84,-0.5,-59.5238
2021-09-30,2021-11-03,0.25,0.21,0.04,19.0476
2021-06-30,2021-08-04,0.13,0.25,-0.12,-48
2021-03-31,2021-05-19,0.86,0.87,-0.01,-1.1494
2020-12-31,2021-02-02,0.7,0.57,0.13,22.807
2020-09-30,2020-11-02,-0.07,0.12,-0.19,-158.3333
2020-06-30,2020-08-04,0.25,0.49,-0.24,-48.9796
2020-03-31,2020-05-27,0.81,0.62,0.19,30.6452
2019-12-31,2020-02-05,0.63,0.71,-0.08,-11.2676
2019-09-30,2019-10-31,0.75,0.59,0.16,27.1186
2019-06-30,2019-08-07,0.22,0.15,0.07,46.6667
2019-03-31,2019-05-23,-0.21,-0.17,-0.04,-23.5294
2018-12-31,2019-02-04,0.01,-0.07,0.08,114.2857
2018-09-30,2018-10-31,-0.17,-0.14,-0.03,-21.4286
2018-06-30,2018-08-09,-0.41,-0.26,-0.15,-57.6923
2018-03-31,2018-06-15,-0.18,-0.12,-0.06,-50
2017-12-31,2018-02-01,-0.04,-0.17,0.13,76.4706
2017-09-30,2017-11-03,-0.23,-0.26,0.03,11.5385
2017-06-30,2017-07-31,-0.16,-0.14,-0.02,-14.2857
2017-03-31,2017-06-14,0.04,-0.15,0.19,126.6667
2016-12-31,2017-01-30,-0.21,-0.17,-0.04,-23.5294
2016-09-30,2016-10-28,-0.25,-0.13,-0.12,-92.3077
2016-06-30,2016-07-28,0.06,0.11,-0.05,-45.4545
2016-03-31,2016-05-31,0.35,0.58,-0.23,-39.6552
2015-12-31,2016-01-29,0.97,0.77,0.2,25.974
2015-09-30,2015-10-30,0.71,0.66,0.05,7.5758
2015-06-30,2015-08-05,0.23,0.2,0.03,15
2015-03-31,2015-06-04,0.19,0.19,0,0
2014-12-31,2015-02-05,0.16,0.16,0,0
2014-09-30,2014-11-06,0.07,0.09,-0.02,-22.2222
2014-06-30,2014-07-30,0.07,0.02,0.05,250
