fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,5.3,6.22,-0.92,-14.791
2022-06-30,2022-08-03,7.5,7.45,0.05,0.6711
2022-03-31,2022-05-04,5.26,6.11,-0.85,-13.9116
2021-12-31,2022-02-22,3.39,3.34,0.05,1.497
2021-09-30,2021-11-02,1.84,2.46,-0.62,-25.2033
2021-06-30,2021-08-04,1.71,2.46,-0.75,-30.4878
2021-03-31,2021-05-05,1.71,1.64,0.07,4.2683
2020-12-31,2021-02-22,3.23,3.19,0.04,1.2539
2020-09-30,2020-11-04,4.02,3.05,0.97,31.8033
2020-06-30,2020-08-05,2.43,1.51,0.92,60.9272
2020-03-31,2020-05-06,1.8,1.99,-0.19,-9.5477
2019-12-31,2020-02-12,3.4,3.7,-0.3,-8.1081
2019-09-30,2019-11-05,4.2,4.17,0.03,0.7194
2019-06-30,2019-07-31,4.8,4.27,0.53,12.4122
2019-03-31,2019-05-01,2.4,1.74,0.66,37.931
2018-12-31,2019-02-13,3.2,4.72,-1.52,-32.2034
2018-09-30,2018-11-05,5.4,5.76,-0.36,-6.25
2018-06-30,2018-08-01,5,5.76,-0.76,-13.1944
2018-03-31,2018-05-02,0.24,0.27,-0.03,-11.1111
2017-12-31,2018-02-14,0.19,0.18,0.01,5.5556
2017-09-30,2017-11-01,0.13,0.14,-0.01,-7.1429
2017-06-30,2017-08-07,0.1,0.12,-0.02,-16.6667
2017-03-31,2017-05-03,0.1,0.11,-0.01,-9.0909
2016-12-31,2017-02-15,0.16,0.15,0.01,6.6667
2016-09-30,2016-11-02,0.12,0.12,0,0
2016-06-30,2016-08-03,0.13,0.1,0.03,30
2016-03-31,2016-05-04,0.08,0.05,0.03,60
2015-12-31,2016-02-16,0.06,0.11,-0.05,-45.4545
2015-09-30,2015-11-05,0.07,0.06,0.01,16.6667
2015-06-30,2015-08-06,0.05,0.05,0,0
2015-03-31,2015-05-07,0.03,-0.06,0.09,150
2014-12-31,2015-02-26,0.15,0.14,0.01,7.1429
2014-09-30,2014-11-06,0.19,0.17,0.02,11.7647
2014-06-30,2014-08-07,0.14,0.18,-0.04,-22.2222
2014-03-31,2014-05-08,0.49,0.14,0.35,250
2013-12-31,2014-02-27,0.13,0.09,0.04,44.4444
2013-09-30,2013-11-07,0.15,0.15,0,0
2013-06-30,2013-08-08,0.16,0.17,-0.01,-5.8824
2013-03-31,2013-05-09,0.11,0.12,-0.01,-8.3333
2012-12-31,2013-03-12,0.11,0.11,0,0
2012-09-30,2012-11-09,0.11,0.13,-0.02,-15.3846
2012-06-30,2012-08-09,0.16,0.19,-0.03,-15.7895
2012-03-31,2012-05-09,0.23,0.26,-0.03,-11.5385
2011-12-31,2012-03-20,0.16,0.23,-0.07,-30.4348
