fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-09,0.12,-0.09,0.21,233.3333
2022-06-30,2022-08-10,-0.01,-0.1,0.09,90
2022-03-31,2022-05-11,-0.2,-0.29,0.09,31.0345
2021-12-31,2022-03-10,-0.18,-0.41,0.23,56.0976
2021-09-30,2021-10-08,-0.36,-0.3286,-0.0314,-9.5557
2021-06-30,2021-09-01,-0.53,0,-0.53,None
2021-03-31,2021-06-28,-1.08,0,-1.08,None
2020-12-31,2021-03-31,-1.0819,0,-1.0819,None
2020-09-30,2020-12-31,-0.6114,0,-0.6114,None
2020-06-30,2020-09-30,-0.645,0,-0.645,None
2020-03-31,2020-06-30,-1.0579,0,-1.0579,None
2019-12-31,2020-03-31,-0.2004,0,-0.2004,None
