fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,0.37,0.35,0.02,5.7143
2022-06-30,2022-07-27,0.57,0.43,0.14,32.5581
2022-03-31,2022-04-27,0.95,0.77,0.18,23.3766
2021-12-31,2022-02-09,1.42,1.49,-0.07,-4.698
2021-09-30,2021-10-27,1.77,1.35,0.42,31.1111
2021-06-30,2021-07-21,1.19,0.83,0.36,43.3735
2021-03-31,2021-04-28,1.02,0.88,0.14,15.9091
2020-12-31,2021-02-10,1.99,1.34,0.65,48.5075
2020-09-30,2020-10-26,0.54,0.03,0.51,1700
2020-06-30,2020-07-29,-0.11,-0.16,0.05,31.25
2020-03-31,2020-04-22,0.45,0.34,0.11,32.3529
2019-12-31,2020-02-05,0.38,0.26,0.12,46.1538
2019-09-30,2019-10-30,0.76,0.57,0.19,33.3333
2019-06-30,2019-07-30,0.56,0.42,0.14,33.3333
2019-03-31,2019-04-30,0.27,0.21,0.06,28.5714
2018-12-31,2019-02-06,0.77,0.67,0.1,14.9254
2018-09-30,2018-10-22,0.62,0.63,-0.01,-1.5873
2018-06-30,2018-07-23,0.78,0.55,0.23,41.8182
2018-03-31,2018-04-23,0.84,0.72,0.12,16.6667
2017-12-31,2018-02-07,0.52,0.42,0.1,23.8095
2017-09-30,2017-10-25,0.57,0.42,0.15,35.7143
2017-06-30,2017-07-24,0.66,0.47,0.19,40.4255
2017-03-31,2017-04-25,0.54,0.41,0.13,31.7073
2016-12-31,2017-02-08,0.66,0.61,0.05,8.1967
2016-09-30,2016-10-26,0.44,0.34,0.1,29.4118
2016-06-30,2016-08-03,0.35,0.29,0.06,20.6897
2016-03-31,2016-04-27,0.35,0.38,-0.03,-7.8947
2015-12-31,2016-02-09,0.55,0.51,0.04,7.8431
2015-09-30,2015-10-28,0.45,0.41,0.04,9.7561
2015-06-30,2015-07-29,0.37,0.33,0.04,12.1212
2015-03-31,2015-04-29,0.28,0.33,-0.05,-15.1515
2014-12-31,2015-02-05,0.51,0.57,-0.06,-10.5263
2014-09-30,2014-10-29,0.42,0.39,0.03,7.6923
2014-06-30,2014-07-30,0.42,0.24,0.18,75
2014-03-31,2014-05-08,1.4474,None,None,None
