fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-19,1.41,1.22,0.19,15.5738
2022-06-30,2022-07-20,0.99,1.06,-0.07,-6.6038
2022-03-31,2022-04-20,0.92,0.88,0.04,4.5455
2021-12-31,2022-02-09,1.02,0.91,0.11,12.0879
2021-09-30,2021-10-25,1.15,0.99,0.16,16.1616
2021-06-30,2021-07-28,0.93,0.93,0,0
2021-03-31,2021-04-28,0.42,0.4,0.02,5
2020-12-31,2021-02-24,0.8,0.54,0.26,48.1481
2020-09-30,2020-10-29,0.57,0.19,0.38,200
2020-06-30,2020-07-22,-0.24,-0.65,0.41,63.0769
2020-03-31,2020-04-22,0.11,0.29,-0.18,-62.069
2019-12-31,2020-03-11,0.33,0.39,-0.06,-15.3846
2019-09-30,2019-10-30,0.5,0.59,-0.09,-15.2542
2019-06-30,2019-07-24,0.5,0.46,0.04,8.6957
2019-03-31,2019-04-24,0.38,0.38,0,0
2018-12-31,2019-02-20,0.39,0.42,-0.03,-7.1429
2018-09-30,2018-10-24,0.58,0.56,0.02,3.5714
2018-06-30,2018-07-24,0.5,0.51,-0.01,-1.9608
2018-03-31,2018-04-26,0.36,0.37,-0.01,-2.7027
2017-12-31,2018-02-20,0.31,0.41,-0.1,-24.3902
2017-09-30,2017-10-24,0.49,0.47,0.02,4.2553
2017-06-30,2017-07-25,0.4,0.37,0.03,8.1081
2017-03-31,2017-04-25,0.27,0.28,-0.01,-3.5714
2016-12-31,2017-02-22,0.36,0.33,0.03,9.0909
2016-09-30,2016-10-25,0.45,0.4,0.05,12.5
2016-06-30,2016-07-20,0.32,0.34,-0.02,-5.8824
2016-03-31,2016-04-20,0.26,0.27,-0.01,-3.7037
2015-12-31,2016-02-24,0.29,0.2,0.09,45
2015-09-30,2015-10-22,0.37,0.28,0.09,32.1429
2015-06-30,2015-07-22,0.29,0.27,0.02,7.4074
2015-03-31,2015-04-22,0.24,0.22,0.02,9.0909
2014-12-31,2015-02-25,0.22,0.14,0.08,57.1429
2014-09-30,2014-10-22,0.24,0.22,0.02,9.0909
2014-06-30,2014-07-24,0.22,0.29,-0.07,-24.1379
2014-03-31,2014-04-23,0.19,0.23,-0.04,-17.3913
2013-12-31,2014-02-26,0.12,0.16,-0.04,-25
2013-09-30,2013-10-22,0.32,0.32,0,0
2013-06-30,2013-07-24,0.37,0.24,0.13,54.1667
2013-03-31,2013-04-25,0.26,0.16,0.1,62.5
2012-12-31,2013-02-28,0.08,0.11,-0.03,-27.2727
2012-09-30,2012-10-24,0.25,0.19,0.06,31.5789
2012-06-30,2012-07-26,0.11,0.15,-0.04,-26.6667
2012-03-31,2012-04-18,0.1,0.11,-0.01,-9.0909
2011-12-31,2012-02-23,0.03,0.06,-0.03,-50
2011-09-30,2011-10-19,0.17,0.17,0,0
2011-06-30,2011-07-20,0.22,0.13,0.09,69.2308
2011-03-31,2011-04-20,0.09,0.15,-0.06,-40
2010-12-31,2011-02-24,0.05,0.07,-0.02,-28.5714
2010-09-30,2010-10-20,0.17,0.17,0,0
2010-06-30,2010-07-21,0.16,0.16,0,0
2010-03-31,2010-04-21,0.15,0.04,0.11,275
2009-12-31,2010-02-25,0.06,None,None,None
2009-09-30,2009-10-21,0.13,0.17,-0.04,-23.5294
2009-06-30,2009-07-22,0.11,0.06,0.05,83.3333
2009-03-31,2009-04-22,0.06,-0.01,0.07,700
2008-12-31,2009-02-26,0.03,0.08,-0.05,-62.5
2008-09-30,2008-10-22,0.25,0.21,0.04,19.0476
2008-06-30,2008-07-23,0.16,0.19,-0.03,-15.7895
2008-03-31,2008-04-23,0.12,0.2,-0.08,-40
2007-12-31,2008-02-20,0.21,0.26,-0.05,-19.2308
2007-09-30,2007-10-24,0.41,0.38,0.03,7.8947
2007-06-30,2007-07-25,0.36,0.33,0.03,9.0909
2007-03-31,2007-04-25,0.28,0.27,0.01,3.7037
2006-12-31,2007-02-20,0.27,0.27,0,0
2006-09-30,2006-10-25,0.38,0.37,0.01,2.7027
2006-06-30,2006-07-26,0.29,0.31,-0.02,-6.4516
2006-03-31,2006-04-26,0.25,0.25,0,0
2005-12-31,2006-02-20,0.26,0.23,0.03,13.0435
2005-09-30,2005-10-25,0.37,0.33,0.04,12.1212
2005-06-30,2005-07-27,0.27,0.29,-0.02,-6.8966
2005-03-31,2005-04-26,0.2,0.2,0,0
2004-12-31,2005-02-15,0.21,0.18,0.03,16.6667
2004-09-30,2004-10-26,0.2951,None,None,None
2004-06-30,2004-07-26,0.2315,None,None,None
2004-03-31,2004-04-26,0.147,None,None,None
2003-12-31,2004-02-17,0.1,0.1,0,0
2003-09-30,2003-10-29,0.2,0.2,0,0
2003-06-30,2003-07-29,0.13,0.14,-0.01,-7.1429
2003-03-31,2003-04-30,0.1,0.1,0,0
2002-12-31,2003-02-20,0.07,0.07,0,0
2002-09-30,2002-10-28,0.18,0.16,0.02,12.5
2002-06-30,2002-07-25,0.13,0.11,0.02,18.1818
2002-03-31,2002-04-29,0.09,0.08,0.01,12.5
2001-12-31,2001-12-31,0.0151,None,None,None
2001-09-30,2001-09-30,0.1257,None,None,None
2001-06-30,2001-06-30,0.0915,None,None,None
2001-03-31,2001-03-31,0.0159,None,None,None
2000-12-31,2000-12-31,-0.0289,None,None,None
2000-09-30,2000-09-30,0.0307,None,None,None
2000-06-30,2000-06-30,0.0438,None,None,None
2000-03-31,2000-03-31,0.0049,None,None,None
1999-12-31,1999-12-31,-0.1,None,None,None
1999-09-30,1999-09-30,0.0394,None,None,None
1999-06-30,1999-06-30,0.0208,None,None,None
1999-03-31,1999-03-31,0.0111,None,None,None
1998-12-31,1998-12-31,-0.011,None,None,None
1998-09-30,1998-09-30,0.077,None,None,None
1998-06-30,1998-06-30,0.0842,None,None,None
1998-03-31,1998-03-31,0.0475,None,None,None
1996-09-30,1996-10-28,0.04,0.05,-0.01,-20
1996-06-30,1996-07-30,0.03,0.04,-0.01,-25
1996-03-31,1996-04-30,0.02,0.01,0.01,100
