fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,0.4,0.55,-0.15,-27.2727
2022-06-30,2022-08-04,0.47,0.48,-0.01,-2.0833
2022-03-31,2022-04-28,0.33,0.27,0.06,22.2222
2021-12-31,2022-02-17,0.52,0.44,0.08,18.1818
2021-09-30,2021-10-28,0.46,0.42,0.04,9.5238
2021-06-30,2021-08-06,0.41,0.32,0.09,28.125
2021-03-31,2021-05-07,0.24,0.13,0.11,84.6154
2020-12-31,2021-02-18,0.25,0.36,-0.11,-30.5556
2020-09-30,2020-11-06,0.37,0.4,-0.03,-7.5
2020-06-30,2020-07-30,0.32,0.09,0.23,255.5556
2020-03-31,2020-05-07,0.32,0.54,-0.22,-40.7407
2019-12-31,2020-02-20,0.91,0.9,0.01,1.1111
2019-09-30,2019-11-01,0.91,0.91,0,0
2019-06-30,2019-08-01,0.89,0.86,0.03,3.4884
2019-03-31,2019-05-02,0.65,0.7,-0.05,-7.1429
2018-12-31,2019-02-07,0.92,0.9,0.02,2.2222
2018-09-30,2018-11-01,0.94,0.97,-0.03,-3.0928
2018-06-30,2018-08-02,1.07,1.06,0.01,0.9434
2018-03-31,2018-04-30,0.89,0.86,0.03,3.4884
2017-12-31,2018-02-08,0.87,0.83,0.04,4.8193
2017-09-30,2017-11-01,0.87,0.85,0.02,2.3529
2017-06-30,2017-07-28,0.85,0.88,-0.03,-3.4091
2017-03-31,2017-05-04,0.75,0.82,-0.07,-8.5366
2016-12-31,2017-02-07,1,1.04,-0.04,-3.8462
2016-09-30,2016-10-27,1.09,1.11,-0.02,-1.8018
2016-06-30,2016-07-28,1.03,1.06,-0.03,-2.8302
2016-03-31,2016-04-28,0.87,0.86,0.01,1.1628
2015-12-31,2016-02-04,1.13,1.1,0.03,2.7273
2015-09-30,2015-10-29,1.1,1.1,0,0
2015-06-30,2015-07-30,1.02,0.88,0.14,15.9091
2015-03-31,2015-04-30,0.83,0.71,0.12,16.9014
2014-12-31,2015-01-29,0.89,0.86,0.03,3.4884
2014-09-30,2014-10-30,0.86,0.85,0.01,1.1765
2014-06-30,2014-07-31,0.79,0.78,0.01,1.2821
2014-03-31,2014-05-01,0.63,0.63,0,0
2013-12-31,2014-01-30,0.78,0.75,0.03,4
2013-09-30,2013-10-31,0.76,0.74,0.02,2.7027
2013-06-30,2013-07-30,0.69,0.68,0.01,1.4706
2013-03-31,2013-05-02,0.55,0.54,0.01,1.8519
2012-12-31,2013-01-31,0.66,0.65,0.01,1.5385
2012-09-30,2012-11-01,0.66,0.64,0.02,3.125
2012-06-30,2012-07-31,0.61,0.59,0.02,3.3898
2012-03-31,2012-05-03,0.49,0.5,-0.01,-2
2011-12-31,2012-02-02,0.6,0.59,0.01,1.6949
2011-09-30,2011-11-01,0.6,0.59,0.01,1.6949
2011-06-30,2011-08-02,0.57,0.57,0,0
2011-03-31,2011-05-03,0.47,0.45,0.02,4.4444
2010-12-31,2011-02-03,0.56,0.56,0,0
2010-09-30,2010-11-02,0.53,0.53,0,0
2010-06-30,2010-08-03,0.52,0.51,0.01,1.9608
2010-03-31,2010-05-03,0.41,0.41,0,0
2009-12-31,2010-02-05,0.5,0.49,0.01,2.0408
2009-09-30,2009-11-02,0.52,0.48,0.04,8.3333
2009-06-30,2009-08-04,0.47,0.43,0.04,9.3023
2009-03-31,2009-05-07,0.37,0.32,0.05,15.625
2008-12-31,2009-02-05,0.41,0.39,0.02,5.1282
2008-09-30,2008-11-05,0.41,0.41,0,0
2008-06-30,2008-08-05,0.4,0.39,0.01,2.5641
2008-03-31,2008-05-08,0.33,0.34,-0.01,-2.9412
2007-12-31,2008-02-06,0.41,0.4,0.01,2.5
2007-09-30,2007-11-02,0.41,0.4,0.01,2.5
2007-06-30,2007-08-07,0.34,0.32,0.02,6.25
2007-03-31,2007-05-10,0.2563,None,None,None
2006-12-31,2007-02-15,0.326,None,None,None
2006-09-30,2006-11-02,0.3551,None,None,None
2006-06-30,2006-08-03,0.3382,None,None,None
2006-03-31,2006-05-03,0.28,0.27,0.01,3.7037
2005-12-31,2006-02-08,0.33,0.32,0.01,3.125
2005-09-30,2005-11-02,0.32,0.31,0.01,3.2258
2005-06-30,2005-08-03,0.28,0.28,0,0
2005-03-31,2005-05-03,0.23,0.23,0,0
2004-12-31,2005-02-03,0.27,0.27,0,0
2004-09-30,2004-11-04,0.26,0.26,0,0
2004-06-30,2004-08-03,0.25,0.25,0,0
2004-03-31,2004-05-04,0.21,0.21,0,0
2003-12-31,2004-02-03,0.24,0.24,0,0
2003-09-30,2003-11-05,0.24,0.24,0,0
2003-06-30,2003-08-06,0.21,0.2,0.01,5
2003-03-31,2003-05-06,0.17,0.16,0.01,6.25
2002-12-31,2003-02-06,0.18,0.18,0,0
2002-09-30,2002-10-31,0.18,0.17,0.01,5.8824
2002-06-30,2002-07-31,0.16,0.15,0.01,6.6667
2002-03-31,2002-04-30,0.14,0.13,0.01,7.6923
2001-12-31,2002-02-07,0.1,0.1,0,0
2001-09-30,2001-10-31,0.1,0.1,0,0
2001-06-30,2001-08-08,0.08,0.07,0.01,14.2857
2001-03-31,2001-05-08,0.06,0.05,0.01,20
2000-12-31,2001-02-12,0.06,0.06,0,0
2000-09-30,2000-11-06,0.06,0.06,0,0
2000-06-30,2000-08-09,0.06,0.06,0,0
2000-03-31,2000-05-04,0.06,0.06,0,0
1999-12-31,2000-02-09,0.08,0.08,0,0
1999-09-30,1999-11-02,0.08,0.08,0,0
1999-06-30,1999-08-03,0.13,0.13,0,0
1999-03-31,1999-05-04,0.11,0.12,-0.01,-8.3333
1998-12-31,1999-03-25,0.13,0.12,0.01,8.3333
1998-09-30,1998-10-29,0.12,0.12,0,0
1998-06-30,1998-07-30,0.11,0.1,0.01,10
1998-03-31,1998-06-22,0.1,0.1,0,0
1997-12-31,1998-02-05,0.1,0.1,0,0
1997-09-30,1997-10-30,0.09,0.09,0,0
1997-06-30,1997-07-29,0.08,0.08,0,0
1997-03-31,1997-04-30,0.07,0.07,0,0
1996-12-31,1997-02-06,0.06,0.06,0,0
1996-09-30,1996-10-25,0.06,0.06,0,0
