fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-18,2.74,2.35,0.39,16.5957
2022-06-30,2022-07-19,3.65,2.24,1.41,62.9464
2022-03-31,2022-04-19,2.78,None,None,None
2021-12-31,2022-02-01,2.21,None,None,None
2021-09-30,2021-10-19,3.01,0.44,2.57,584.0909
2021-06-30,2021-07-20,1.92,0.44,1.48,336.3636
2021-03-31,2021-04-20,1.11,None,None,None
2020-12-31,2021-02-02,0.64,0.32,0.32,100
2020-09-30,2020-10-20,0.76,0.47,0.29,61.7021
2020-06-30,2020-07-21,0.5,0.58,-0.08,-13.7931
2020-03-31,2020-04-21,0.57,0.51,0.06,11.7647
2019-12-31,2020-02-04,0.5,0.3,0.2,66.6667
2019-09-30,2019-10-22,0.52,0.44,0.08,18.1818
2019-06-30,2019-07-23,0.5,0.51,-0.01,-1.9608
2019-03-31,2019-04-23,0.28,0.57,-0.29,-50.8772
2018-12-31,2019-02-05,0.42,0.22,0.2,90.9091
2018-09-30,2018-10-23,0.37,0.41,-0.04,-9.7561
2018-06-30,2018-07-24,0.58,0.54,0.04,7.4074
2018-03-31,2018-04-24,0.42,0.55,-0.13,-23.6364
2017-12-31,2018-02-06,0.32,0.55,-0.23,-41.8182
2017-09-30,2017-10-24,0.39,None,None,None
2017-06-30,2017-07-25,0.48,None,None,None
2017-03-31,2017-04-25,0.52,None,None,None
2016-12-31,2017-02-07,0.3,None,None,None
2016-09-30,2016-10-25,0.45,0.45,0,0
2016-06-30,2016-07-26,0.51,0.55,-0.04,-7.2727
2016-03-31,2016-04-27,0.45,0.45,0,0
2015-12-31,2016-02-02,0.21,0.28,-0.07,-25
2015-09-30,2015-10-20,0.35,0.35,0,0
2015-06-30,2015-07-21,0.47,0.7,-0.23,-32.8571
2015-03-31,2015-04-21,0.39,0.55,-0.16,-29.0909
2014-12-31,2015-02-03,0.31,0.45,-0.14,-31.1111
2014-09-30,2014-10-21,0.42,0.45,-0.03,-6.6667
2014-06-30,2014-07-22,0.65,0.45,0.2,44.4444
2014-03-31,2014-04-22,0.44,0.44,0,0
2013-12-31,2014-02-05,0.31,0.36,-0.05,-13.8889
