fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,0.64,0.53,0.11,20.7547
2022-06-30,2022-07-27,0.73,0.58,0.15,25.8621
2022-03-31,2022-04-27,0.53,0.47,0.06,12.766
2021-12-31,2022-02-24,0.71,0.52,0.19,36.5385
2021-09-30,2021-10-28,0.52,0.44,0.08,18.1818
2021-06-30,2021-07-29,0.62,0.44,0.18,40.9091
2021-03-31,2021-04-29,0.52,0.36,0.16,44.4444
2020-12-31,2021-02-24,0.54,0.43,0.11,25.5814
2020-09-30,2020-10-28,0.42,0.2,0.22,110
2020-06-30,2020-07-29,0.31,0.07,0.24,342.8571
2020-03-31,2020-04-23,0.38,0.26,0.12,46.1538
2019-12-31,2020-02-24,0.4,0.34,0.06,17.6471
2019-09-30,2019-10-30,0.28,0.45,-0.17,-37.7778
2019-06-30,2019-07-25,0.42,0.5,-0.08,-16
2019-03-31,2019-04-23,0.37,0.36,0.01,2.7778
2018-12-31,2019-02-26,0.48,0.45,0.03,6.6667
2018-09-30,2018-10-25,0.47,0.42,0.05,11.9048
2018-06-30,2018-07-23,0.43,0.4,0.03,7.5
2018-03-31,2018-04-25,0.31,0.29,0.02,6.8966
2017-12-31,2018-02-28,0.33,0.32,0.01,3.125
2017-09-30,2017-10-25,0.32,0.3,0.02,6.6667
2017-06-30,2017-07-26,0.36,0.29,0.07,24.1379
2017-03-31,2017-04-27,0.28,0.23,0.05,21.7391
2016-12-31,2017-02-21,0.31,0.28,0.03,10.7143
2016-09-30,2016-10-26,0.26,0.23,0.03,13.0435
2016-06-30,2016-07-27,0.26,0.24,0.02,8.3333
2016-03-31,2016-04-28,0.19,0.19,0,0
2015-12-31,2016-02-22,0.24,0.22,0.02,9.0909
2015-09-30,2015-10-22,0.2,0.2,0,0
2015-06-30,2015-07-23,0.25,0.2,0.05,25
2015-03-31,2015-04-23,0.18,0.15,0.03,20
2014-12-31,2015-02-24,0.26,0.21,0.05,23.8095
2014-09-30,2014-10-23,0.25,0.16,0.09,56.25
2014-06-30,2014-07-29,0.15,0.17,-0.02,-11.7647
2014-03-31,2014-04-24,0.12,0.13,-0.01,-7.6923
2013-12-31,2014-02-24,0.22,0.19,0.03,15.7895
2013-09-30,2013-10-23,0.25,0.13,0.12,92.3077
2013-06-30,2013-07-31,0.15,0.13,0.02,15.3846
2013-03-31,2013-04-25,0.1,0.14,-0.04,-28.5714
2012-12-31,2013-02-21,0.15,0.19,-0.04,-21.0526
2012-09-30,2012-10-25,0.2,0.17,0.03,17.6471
2012-06-30,2012-07-26,0.21,0.18,0.03,16.6667
2012-03-31,2012-04-24,0.17,0.15,0.02,13.3333
2011-12-31,2012-02-23,0.18,0.19,-0.01,-5.2632
2011-09-30,2011-10-25,0.18,0.18,0,0
2011-06-30,2011-07-21,0.21,0.21,0,0
2011-03-31,2011-04-14,0.22,0.17,0.05,29.4118
2010-12-31,2011-02-17,0.18,0.16,0.02,12.5
2010-09-30,2010-11-04,0.15,0.17,-0.02,-11.7647
2010-06-30,2010-07-28,0.18,0.15,0.03,20
2010-03-31,2010-04-29,0.13,0.15,-0.02,-13.3333
2009-12-31,2010-02-18,0.14,0.17,-0.03,-17.6471
2009-09-30,2009-10-27,0.17,0.15,0.02,13.3333
2009-06-30,2009-07-28,0.17,0.15,0.02,13.3333
2009-03-31,2009-04-28,0.15,0.12,0.03,25
2008-12-31,2009-02-05,0.15,0.16,-0.01,-6.25
2008-09-30,2008-10-23,0.14,0.14,0,0
2008-06-30,2008-07-23,0.17,0.15,0.02,13.3333
2008-03-31,2008-04-24,0.12,0.12,0,0
2007-12-31,2008-02-14,0.14,0.13,0.01,7.6923
2007-09-30,2007-10-25,0.12,0.11,0.01,9.0909
2007-06-30,2007-07-26,0.1,0.11,-0.01,-9.0909
2007-03-31,2007-05-02,0.08,0.09,-0.01,-11.1111
2006-12-31,2007-02-28,0.1,0.1,0,0
2006-09-30,2006-10-26,0.1,0.08,0.02,25
2006-06-30,2006-07-27,0.1,0.09,0.01,11.1111
2006-03-31,2006-04-27,0.07,0.09,-0.02,-22.2222
2005-12-31,2006-02-28,0.1,0.1,0,0
2005-09-30,2005-10-27,0.1,0.11,-0.01,-9.0909
2005-06-30,2005-07-26,0.14,0.13,0.01,7.6923
2005-03-31,2005-04-21,0.12,0.12,0,0
2004-12-31,2005-03-08,0.13,0.12,0.01,8.3333
2004-09-30,2004-10-13,0.12,0.15,-0.03,-20
2004-06-30,2004-07-22,0.14,0.14,0,0
2004-03-31,2004-04-20,0.13,0.13,0,0
2003-12-31,2004-02-19,0.14,0.13,0.01,7.6923
2003-09-30,2003-10-22,0.14,0.12,0.02,16.6667
2003-06-30,2003-07-23,0.12,0.1,0.02,20
2003-03-31,2003-04-21,0.1,0.1,0,0
2002-12-31,2003-02-19,0.09,0.09,0,0
2002-09-30,2002-10-17,0.09,0.08,0.01,12.5
2002-06-30,2002-07-18,0.08,0.07,0.01,14.2857
2002-03-31,2002-04-18,0.07,0.06,0.01,16.6667
2001-12-31,2002-02-14,0.06,0.05,0.01,20
2001-09-30,2001-10-17,0.06,0.05,0.01,20
2001-06-30,2001-07-19,0.05,0.04,0.01,25
2001-03-31,2001-04-18,0.04,0.04,0,0
2000-12-31,2001-02-21,0.02,0.02,0,0
2000-09-30,2000-10-24,0.01,0.01,0,0
2000-06-30,2000-07-20,0.0017,None,None,None
2000-03-31,2000-04-27,-0.01,0.01,-0.02,-200
1999-12-31,2000-02-16,0.04,0.03,0.01,33.3333
1999-09-30,1999-10-20,0.03,0.03,0,0
1999-06-30,1999-06-30,0.0288,None,None,None
1999-03-31,1999-03-31,0.0217,None,None,None
1998-12-31,1998-12-31,0.0274,None,None,None
1998-09-30,1998-09-30,0.0277,None,None,None
1998-06-30,1998-06-30,0.0224,None,None,None
1998-03-31,1998-04-22,0.02,0.01,0.01,100
1997-12-31,1998-02-19,0.01,0.01,0,0
1997-09-30,1997-10-27,0.01,0.01,0,0
1997-06-30,1997-07-22,0.01,0.02,-0.01,-50
1997-03-31,1997-04-30,0.01,0.02,-0.01,-50
1996-12-31,1997-02-06,0.02,0.03,-0.01,-33.3333
1996-09-30,1996-10-22,0.03,0.03,0,0
1996-06-30,1996-07-25,0.02,0.02,0,0
1996-03-31,1996-04-17,0.02,0.01,0.01,100
