fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-26,4.36,4.21,0.15,3.5629
2022-06-30,2022-07-27,4.55,4.29,0.26,6.0606
2022-03-31,2022-04-27,4.9,4.66,0.24,5.1502
2021-12-31,2022-02-09,2.88,2.75,0.13,4.7273
2021-09-30,2021-10-27,2.83,2.79,0.04,1.4337
2021-06-30,2021-07-28,3.4,3.38,0.02,0.5917
2021-03-31,2021-04-28,4.44,3.68,0.76,20.6522
2020-12-31,2021-02-10,-0.51,0.89,-1.4,-157.3034
2020-09-30,2020-10-28,3.36,2.24,1.12,50
2020-06-30,2020-07-30,4.79,4.57,0.22,4.814
2020-03-31,2020-04-30,3.02,2.95,0.07,2.3729
2019-12-31,2020-02-10,2.73,2.65,0.08,3.0189
2019-09-30,2019-10-29,2.8,2.72,0.08,2.9412
2019-06-30,2019-07-30,3.11,2.66,0.45,16.9173
2019-03-31,2019-04-29,3.04,2.44,0.6,24.5902
2018-12-31,2019-02-11,3.07,1.52,1.55,101.9737
2018-09-30,2018-10-31,2.97,1.64,1.33,81.0976
2018-06-30,2018-07-31,3.08,1.08,2,185.1852
2018-03-31,2018-04-30,1.71,0.77,0.94,122.0779
2017-12-31,2018-02-12,-3.42,0.18,-3.6,-2000
2017-09-30,2017-11-02,-1.62,0.2,-1.82,-910
2017-06-30,2017-08-02,-4.01,0.84,-4.85,-577.381
2017-03-31,2017-05-02,1.47,0.58,0.89,153.4483
2016-12-31,2017-02-15,-1.54,0.75,-2.29,-305.3333
2016-09-30,2016-10-27,0.85,0.76,0.09,11.8421
2016-06-30,2016-07-27,0.67,0.49,0.18,36.7347
2016-03-31,2016-04-28,0.51,0.81,-0.3,-37.037
2015-12-31,2016-02-08,0.7,0.61,0.09,14.7541
2015-09-30,2015-10-29,0.77,0.69,0.08,11.5942
2015-06-30,2015-07-30,0.72,0.63,0.09,14.2857
2015-03-31,2015-05-07,0.56,0.49,0.07,14.2857
2014-12-31,2015-02-09,0.69,0.61,0.08,13.1148
2014-09-30,2014-10-30,0.33,0.42,-0.09,-21.4286
2014-06-30,2014-07-30,0.16,0.41,-0.25,-60.9756
2014-03-31,2014-05-01,0.1,-0.02,0.12,600
2013-12-31,2014-02-10,-0.2,-0.05,-0.15,-300
2013-09-30,2013-10-30,0.16,0.31,-0.15,-48.3871
2013-06-30,2013-07-25,0.57,0.31,0.26,83.871
2013-03-31,2013-04-25,0.64,0.25,0.39,156
2012-12-31,2013-02-07,0.54,0.22,0.32,145.4545
2012-09-30,2012-10-23,0.07,-0.11,0.18,163.6364
2012-06-30,2012-07-26,-0.8,0.02,-0.82,-4100
2012-03-31,2012-04-30,0.39,0.38,0.01,2.6316
2011-12-31,2012-02-23,0.72,0.39,0.33,84.6154
2011-09-30,2011-10-25,0.41,0.39,0.02,5.1282
2011-06-30,2011-07-21,0.38,0.37,0.01,2.7027
2011-03-31,2011-04-18,0.37,0.31,0.06,19.3548
2010-12-31,2011-02-17,0.39,0.35,0.04,11.4286
2010-09-30,2010-10-26,0.38,0.33,0.05,15.1515
2010-06-30,2010-08-04,0.27,0.21,0.06,28.5714
2010-03-31,2010-05-05,0.27,0.12,0.15,125
2009-12-31,2010-02-11,-0.12,-0.11,-0.01,-9.0909
2009-09-30,2009-10-28,0.22,0.34,-0.12,-35.2941
2009-06-30,2009-08-04,0.37,0.39,-0.02,-5.1282
2009-03-31,2009-04-29,0.31,0.27,0.04,14.8148
2008-12-31,2009-02-11,0.39,0.38,0.01,2.6316
2008-09-30,2008-10-22,0.41,0.4,0.01,2.5
2008-06-30,2008-07-23,0.39,0.36,0.03,8.3333
2008-03-31,2008-04-29,0.31,0.3,0.01,3.3333
2007-12-31,2008-02-13,0.42,0.37,0.05,13.5135
2007-09-30,2007-11-01,0.41,0.37,0.04,10.8108
2007-06-30,2007-08-02,0.3,0.28,0.02,7.1429
2007-03-31,2007-05-01,0.23,0.2,0.03,15
2006-12-31,2007-02-13,0.27,0.28,-0.01,-3.5714
2006-09-30,2006-11-07,0.29,0.29,0,0
2006-06-30,2006-08-01,0.31,0.23,0.08,34.7826
2006-03-31,2006-05-04,0.21,0.17,0.04,23.5294
2005-12-31,2006-02-22,0.25,0.22,0.03,13.6364
2005-09-30,2005-11-03,0.16,0.1,0.06,60
2005-06-30,2005-08-08,-0.11,-0.12,0.01,8.3333
2005-03-31,2005-04-28,0.35,0.35,0,0
2004-12-31,2005-02-23,0.39,0.38,0.01,2.6316
2004-09-30,2004-11-03,0.39,0.37,0.02,5.4054
2004-06-30,2004-08-04,0.29,0.3,-0.01,-3.3333
2004-03-31,2004-05-11,0.27,0.27,0,0
2003-12-31,2004-02-11,0.31,0.29,0.02,6.8966
2003-09-30,2003-11-05,0.31,0.29,0.02,6.8966
2003-06-30,2003-08-11,0.3807,None,None,None
