fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-25,0.77,None,None,None
2022-06-30,2022-07-27,1.17,None,None,None
2022-03-31,2022-05-18,1.41,None,None,None
2021-12-31,2022-02-24,1.29,None,None,None
2021-09-30,2021-10-27,1.38,None,None,None
2021-06-30,2021-07-29,1.76,None,None,None
2021-03-31,2021-04-29,1.73,None,None,None
2020-12-31,2021-02-19,1.57,None,None,None
2020-09-30,2020-10-29,1.55,None,None,None
2020-06-30,2020-07-30,1.43,None,None,None
2020-03-31,2020-04-30,0.84,None,None,None
2019-12-31,2020-02-21,0.94,None,None,None
2019-09-30,2019-10-24,1.39,None,None,None
2019-06-30,2019-07-25,0.98,None,None,None
2019-03-31,2019-04-24,0.77,None,None,None
2018-12-31,2019-02-21,0.99,0.86,0.13,15.1163
2018-09-30,2018-10-24,1.32,0.72,0.6,83.3333
2018-06-30,2018-07-25,0.97,0.69,0.28,40.5797
2018-03-31,2018-04-25,0.72,0.57,0.15,26.3158
2017-12-31,2018-02-20,0.66,None,None,None
2017-09-30,2017-10-25,0.79,None,None,None
2017-06-30,2017-07-25,1.07,0.58,0.49,84.4828
2017-03-31,2017-04-21,0.42,0.7,-0.28,-40
2016-12-31,2017-02-21,2.32,0.77,1.55,201.2987
2016-09-30,2016-10-20,0.7,0.77,-0.07,-9.0909
2016-06-30,2016-07-21,0.73,0.73,0,0
2016-03-31,2016-04-21,0.67,0.73,-0.06,-8.2192
2015-12-31,2016-02-17,0.85,0.8,0.05,6.25
2015-09-30,2015-10-21,0.76,0.83,-0.07,-8.4337
2015-06-30,2015-07-22,0.72,0.69,0.03,4.3478
2015-03-31,2015-04-22,0.67,0.68,-0.01,-1.4706
2014-12-31,2015-02-11,0.71,0.66,0.05,7.5758
2014-09-30,2014-10-22,0.67,0.7,-0.03,-4.2857
2014-06-30,2014-07-23,0.63,0.66,-0.03,-4.5455
2014-03-31,2014-04-23,0.58,0.67,-0.09,-13.4328
2013-12-31,2014-02-12,0.68,0.77,-0.09,-11.6883
2013-09-30,2013-10-23,0.68,0.61,0.07,11.4754
2013-06-30,2013-07-24,0.66,0.66,0,0
2013-03-31,2013-04-24,0.63,0.58,0.05,8.6207
2012-12-31,2013-02-13,0.58,0.56,0.02,3.5714
2012-09-30,2012-10-24,0.56,0.5,0.06,12
2012-06-30,2012-07-25,0.56,0.53,0.03,5.6604
2012-03-31,2012-04-25,0.4,0.51,-0.11,-21.5686
2011-12-31,2012-02-15,0.55,0.56,-0.01,-1.7857
2011-09-30,2011-10-26,0.42,0.55,-0.13,-23.6364
2011-06-30,2011-07-27,0.52,0.57,-0.05,-8.7719
2011-03-31,2011-04-27,0.48,0.46,0.02,4.3478
2010-12-31,2011-02-17,0.46,0.45,0.01,2.2222
2010-09-30,2010-10-27,0.43,0.47,-0.04,-8.5106
2010-06-30,2010-07-28,0.36,0.5,-0.14,-28
2010-03-31,2010-04-28,0.4,0.48,-0.08,-16.6667
2009-12-31,2010-02-18,0.29,0.42,-0.13,-30.9524
2009-09-30,2009-10-29,0.45,0.43,0.02,4.6512
2009-06-30,2009-07-30,0.48,0.47,0.01,2.1277
2009-03-31,2009-04-30,0.51,0.39,0.12,30.7692
2008-12-31,2009-02-19,0.39,0.43,-0.04,-9.3023
2008-09-30,2008-10-30,0.45,0.51,-0.06,-11.7647
2008-06-30,2008-07-31,0.57,0.49,0.08,16.3265
2008-03-31,2008-05-01,0.47,0.44,0.03,6.8182
2007-12-31,2008-02-21,0.41,0.43,-0.02,-4.6512
2007-09-30,2007-11-01,0.41,0.39,0.02,5.1282
2007-06-30,2007-08-02,0.38,0.35,0.03,8.5714
2007-03-31,2007-05-03,0.33,0.36,-0.03,-8.3333
2006-12-31,2007-02-22,0.29,0.28,0.01,3.5714
2006-09-30,2006-11-02,0.29,0.28,0.01,3.5714
2006-06-30,2006-08-03,0.24,0.28,-0.04,-14.2857
2006-03-31,2006-05-04,0.29,0.21,0.08,38.0952
2005-12-31,2006-02-23,0.22,0.2,0.02,10
2005-09-30,2005-11-09,0.17,0.19,-0.02,-10.5263
2005-06-30,2005-08-10,0.2171,None,None,None
2005-03-31,2005-05-17,0.0933,None,None,None
