fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,1.19,1.39,-0.2,-14.3885
2022-06-30,2022-08-03,1.28,1.18,0.1,8.4746
2022-03-31,2022-04-28,1.08,1.05,0.03,2.8571
2021-12-31,2022-02-17,1.03,1.03,0,0
2021-09-30,2021-11-02,1.1,0.84,0.26,30.9524
2021-06-30,2021-08-03,0.86,0.75,0.11,14.6667
2021-03-31,2021-04-29,0.82,0.6,0.22,36.6667
2020-12-31,2021-02-18,0.7,0.58,0.12,20.6897
2020-09-30,2020-10-22,0.55,0.52,0.03,5.7692
2020-06-30,2020-07-23,0.49,0.45,0.04,8.8889
2020-03-31,2020-04-23,0.43,0.44,-0.01,-2.2727
2019-12-31,2020-02-13,0.68,0.67,0.01,1.4925
2019-09-30,2019-10-24,0.81,0.81,0,0
2019-06-30,2019-07-25,0.88,0.77,0.11,14.2857
2019-03-31,2019-05-02,0.82,0.61,0.21,34.4262
2018-12-31,2019-02-14,0.65,0.53,0.12,22.6415
2018-09-30,2018-10-25,0.68,0.55,0.13,23.6364
2018-06-30,2018-07-26,0.54,0.5,0.04,8
2018-03-31,2018-04-26,0.51,0.43,0.08,18.6047
2017-12-31,2018-02-15,0.51,0.38,0.13,34.2105
2017-09-30,2017-10-26,0.5,0.4,0.1,25
2017-06-30,2017-07-27,0.42,0.37,0.05,13.5135
2017-03-31,2017-04-28,0.29,0.27,0.02,7.4074
2016-12-31,2017-02-17,0.28,0.34,-0.06,-17.6471
2016-09-30,2016-10-27,0.46,0.36,0.1,27.7778
2016-06-30,2016-07-28,0.31,0.29,0.02,6.8966
2016-03-31,2016-04-29,0.27,0.24,0.03,12.5
2015-12-31,2016-02-18,0.36,0.33,0.03,9.0909
2015-09-30,2015-10-29,0.4,0.4,0,0
2015-06-30,2015-07-30,0.43,0.42,0.01,2.381
2015-03-31,2015-04-30,0.41,0.37,0.04,10.8108
2014-12-31,2015-02-19,0.5,0.43,0.07,16.2791
2014-09-30,2014-10-23,0.51,0.43,0.08,18.6047
2014-06-30,2014-07-24,0.36,0.45,-0.09,-20
2014-03-31,2014-04-24,0.29,0.24,0.05,20.8333
2013-12-31,2014-02-26,0.34,0.23,0.11,47.8261
2013-09-30,2013-10-24,0.25,0.2,0.05,25
2013-06-30,2013-07-26,0.43,0.41,0.02,4.878
2013-03-31,2013-04-25,0.33,0.34,-0.01,-2.9412
2012-12-31,2013-02-28,0.28,0.27,0.01,3.7037
2012-09-30,2012-10-25,0.39,0.41,-0.02,-4.878
2012-06-30,2012-07-27,0.38,0.35,0.03,8.5714
2012-03-31,2012-04-26,0.3,0.26,0.04,15.3846
2011-12-31,2012-02-27,0.04,0.06,-0.02,-33.3333
2011-09-30,2011-10-27,0.55,0.64,-0.09,-14.0625
2011-06-30,2011-07-29,0.67,0.66,0.01,1.5152
2011-03-31,2011-04-28,0.57,0.54,0.03,5.5556
2010-12-31,2011-02-24,0.61,0.46,0.15,32.6087
2010-09-30,2010-10-28,0.65,0.5,0.15,30
2010-06-30,2010-07-30,0.67,0.55,0.12,21.8182
2010-03-31,2010-04-29,0.45,0.38,0.07,18.4211
2009-12-31,2010-02-17,0.03,0.05,-0.02,-40
2009-09-30,2009-10-29,0.01,0.08,-0.07,-87.5
2009-06-30,2009-07-31,-0.04,-0.15,0.11,73.3333
2009-03-31,2009-04-30,-0.36,-0.18,-0.18,-100
2008-12-31,2009-02-05,0.16,0.07,0.09,128.5714
2008-09-30,2008-10-30,0.41,0.32,0.09,28.125
2008-06-30,2008-08-01,0.53,0.43,0.1,23.2558
2008-03-31,2008-04-24,0.35,0.34,0.01,2.9412
2007-12-31,2008-02-08,0.35,0.4,-0.05,-12.5
2007-09-30,2007-10-25,0.48,0.53,-0.05,-9.434
2007-06-30,2007-08-03,0.52,0.45,0.07,15.5556
2007-03-31,2007-04-26,0.62,0.7,-0.08,-11.4286
2006-12-31,2007-02-12,0.44,0.41,0.03,7.3171
2006-09-30,2006-10-26,0.35,0.32,0.03,9.375
2006-06-30,2006-07-27,0.35,0.33,0.02,6.0606
2006-03-31,2006-04-26,0.27,0.24,0.03,12.5
2005-12-31,2006-02-09,0.21,0.21,0,0
2005-09-30,2005-10-27,0.2,0.23,-0.03,-13.0435
