fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-17,0.5,0.43,0.07,16.2791
2022-06-30,2022-08-04,-0.04,0.06,-0.1,-166.6667
2022-03-31,2022-05-05,1.36,1.28,0.08,6.25
2021-12-31,2022-02-03,0.69,0.73,-0.04,-5.4795
2021-09-30,2021-11-18,0.07,0.08,-0.01,-12.5
2021-06-30,2021-08-05,-0.15,-0.12,-0.03,-25
2021-03-31,2021-05-06,1.77,1.18,0.59,50
2020-12-31,2021-02-04,0.46,0.49,-0.03,-6.1224
2020-09-30,2020-11-30,0.57,0.57,0,0
2020-06-30,2020-08-07,-0.06,0.1,-0.16,-160
2020-03-31,2020-05-08,1.12,1.48,-0.36,-24.3243
2019-12-31,2020-02-06,0.44,0.76,-0.32,-42.1053
2019-09-30,2019-11-19,0.29,0.29,0,0
2019-06-30,2019-08-06,-0.2,0.12,-0.32,-266.6667
2019-03-31,2019-05-03,1.27,1.17,0.1,8.547
2018-12-31,2019-02-06,0.61,0.69,-0.08,-11.5942
2018-09-30,2018-11-20,-0.33,-0.44,0.11,25
2018-06-30,2018-08-07,-0.09,0.02,-0.11,-550
2018-03-31,2018-05-04,1.62,0.97,0.65,67.0103
2017-12-31,2018-02-08,1.55,0.59,0.96,162.7119
2017-09-30,2017-11-21,-0.14,-0.13,-0.01,-7.6923
2017-06-30,2017-08-02,0.2,0.04,0.16,400
2017-03-31,2017-05-05,1.21,1,0.21,21
2016-12-31,2017-02-08,0.46,0.61,-0.15,-24.5902
2016-09-30,2016-11-17,-0.02,0.01,-0.03,-300
2016-06-30,2016-08-02,0.13,0.14,-0.01,-7.1429
2016-03-31,2016-05-04,0.91,0.91,0,0
2015-12-31,2016-02-03,0.57,0.56,0.01,1.7857
2015-09-30,2015-11-24,-0.06,-0.08,0.02,25
2015-06-30,2015-07-31,0.03,0.05,-0.02,-40
2015-03-31,2015-05-07,1.16,0.95,0.21,22.1053
2014-12-31,2015-02-04,0.65,0.51,0.14,27.451
2014-09-30,2014-11-25,-0.23,-0.26,0.03,11.5385
2014-06-30,2014-07-31,0.06,-0.05,0.11,220
2014-03-31,2014-05-07,1.79,1.36,0.43,31.6176
2013-12-31,2014-02-06,0.47,0.47,0,0
2013-09-30,2013-11-25,-0.01,-0.01,0,0
2013-06-30,2013-08-07,0.12,0.11,0.01,9.0909
2013-03-31,2013-05-02,0.82,0.83,-0.01,-1.2048
2012-12-31,2013-02-07,0.43,0.51,-0.08,-15.6863
2012-09-30,2012-11-29,-0.13,-0.13,0,0
2012-06-30,2012-08-09,0.05,0.03,0.02,66.6667
2012-03-31,2012-05-03,0.9,0.78,0.12,15.3846
2011-12-31,2012-02-07,0.55,0.37,0.18,48.6486
2011-09-30,2011-11-23,0.01,0.03,-0.02,-66.6667
2011-06-30,2011-08-03,0.12,0.11,0.01,9.0909
2011-03-31,2011-05-04,0.81,0.83,-0.02,-2.4096
2010-12-31,2011-02-02,0.35,0.46,-0.11,-23.913
2010-09-30,2010-11-23,-0.01,0.01,-0.02,-200
2010-06-30,2010-08-04,0.14,0.1,0.04,40
2010-03-31,2010-05-05,0.77,0.87,-0.1,-11.4943
2009-12-31,2010-02-03,0.33,0.41,-0.08,-19.5122
2009-09-30,2009-12-01,-0.06,-0.06,0,0
2009-06-30,2009-07-29,0.02,0.01,0.01,100
2009-03-31,2009-04-29,0.85,0.99,-0.14,-14.1414
2008-12-31,2009-02-04,0.38,0.43,-0.05,-11.6279
2008-09-30,2008-11-13,-0.19,-0.2,0.01,5
2008-06-30,2008-07-30,-0.05,-0.06,0.01,16.6667
2008-03-31,2008-04-30,0.93,0.93,0,0
2007-12-31,2008-02-06,0.44,0.34,0.1,29.4118
2007-09-30,2007-11-15,-0.18,-0.19,0.01,5.2632
2007-06-30,2007-08-01,-0.06,-0.1,0.04,40
2007-03-31,2007-04-26,0.96,0.74,0.22,29.7297
2006-12-31,2007-02-07,0.34,0.41,-0.07,-17.0732
2006-09-30,2006-11-01,-0.14,-0.15,0.01,6.6667
2006-06-30,2006-08-02,-0.05,None,None,None
2006-03-31,2006-05-03,0.71,0.59,0.12,20.339
2005-12-31,2006-02-06,0.41,0.31,0.1,32.2581
2005-09-30,2005-10-27,-0.06,-0.05,-0.01,-20
2005-06-30,2005-07-27,0.02,0.03,-0.01,-33.3333
2005-03-31,2005-04-27,0.61,0.61,0,0
2004-12-31,2005-01-26,0.3,0.3,0,0
2004-09-30,2004-10-27,-0.06,-0.05,-0.01,-20
2004-06-30,2004-07-28,0.02,0.03,-0.01,-33.3333
2004-03-31,2004-04-28,0.61,0.5,0.11,22
2003-12-31,2004-01-28,0.29,0.29,0,0
2003-09-30,2003-10-28,-0.04,-0.05,0.01,20
2003-06-30,2003-07-24,0.05,0.04,0.01,25
2003-03-31,2003-04-24,0.5,0.45,0.05,11.1111
2002-12-31,2003-01-28,0.28,0.26,0.02,7.6923
2002-09-30,2002-10-30,-0.03,-0.02,-0.01,-50
2002-06-30,2002-07-24,0.06,0.06,0,0
2002-03-31,2002-04-24,0.4286,0.43,-0.0014,-0.3256
2001-12-31,2002-01-23,0.24,0.23,0.01,4.3478
2001-09-30,2001-10-25,-0.03,-0.03,0,0
2001-06-30,2001-07-25,0.05,0.05,0,0
2001-03-31,2001-04-25,0.41,0.41,0,0
2000-12-31,2001-02-02,0.24,0.22,0.02,9.0909
2000-09-30,2000-10-27,-0.04,-0.04,0,0
2000-06-30,2000-07-19,0.04,0.04,0,0
