fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-08,1.8,1.71,0.09,5.2632
2022-06-30,2022-08-03,1.72,1.7,0.02,1.1765
2022-03-31,2022-05-05,1.58,1.27,0.31,24.4094
2021-12-31,2022-02-23,1.06,1.1,-0.04,-3.6364
2021-09-30,2021-11-05,0.84,0.9,-0.06,-6.6667
2021-06-30,2021-08-05,0.92,0.71,0.21,29.5775
2021-03-31,2021-05-07,0.62,0.56,0.06,10.7143
2020-12-31,2021-03-12,0.64,0.66,-0.02,-3.0303
2020-09-30,2020-11-06,0.51,0.38,0.13,34.2105
2020-06-30,2020-08-07,0.2,0.31,-0.11,-35.4839
2020-03-31,2020-05-11,0.4,0.34,0.06,17.6471
2019-12-31,2020-03-12,0.5,0.73,-0.23,-31.5068
2019-09-30,2019-11-12,0.9,1.11,-0.21,-18.9189
2019-06-30,2019-08-01,1.2,1.11,0.09,8.1081
2019-03-31,2019-05-09,0.7,1.24,-0.54,-43.5484
2018-12-31,2019-03-12,2.5,1.4,1.1,78.5714
2018-09-30,2018-11-08,1.1,1.18,-0.08,-6.7797
2018-06-30,2018-08-09,0.09,0.08,0.01,12.5
2018-03-31,2018-05-07,0.17,0.12,0.05,41.6667
2017-12-31,2018-02-22,0.1,0.09,0.01,11.1111
2017-09-30,2017-11-08,0.04,0.01,0.03,300
2017-06-30,2017-08-08,-0.0586,-0.01,-0.0486,-486
2017-03-31,2017-05-08,2.7336,-0.02,2.7536,13768
2016-12-31,2017-03-01,0.04,0.04,0,0
2016-09-30,2016-11-08,0.04,-0.02,0.06,300
2016-06-30,2016-08-04,0.1,0.06,0.04,66.6667
2016-03-31,2016-05-09,0.01,-0.03,0.04,133.3333
2015-12-31,2016-03-02,0.25,0.23,0.02,8.6957
2015-09-30,2015-11-04,0.24,0.17,0.07,41.1765
2015-06-30,2015-08-05,0.19,0.11,0.08,72.7273
2015-03-31,2015-05-07,0.1,0.12,-0.02,-16.6667
2014-12-31,2015-02-26,0.21,0.19,0.02,10.5263
2014-09-30,2014-11-06,0.26,0.26,0,0
2014-06-30,2014-08-07,0.29,0.23,0.06,26.087
2014-03-31,2014-05-08,0.19,0.24,-0.05,-20.8333
2013-12-31,2014-02-27,0.22,0.27,-0.05,-18.5185
2013-09-30,2013-11-07,0.32,0.32,0,0
2013-06-30,2013-08-08,0.23,0.27,-0.04,-14.8148
2013-03-31,2013-05-06,0.29,0.27,0.02,7.4074
2012-12-31,2013-02-28,0.34,0.27,0.07,25.9259
2012-09-30,2012-11-08,0.27,0.26,0.01,3.8462
2012-06-30,2012-08-09,0.22,0.24,-0.02,-8.3333
2012-03-31,2012-05-07,0.23,0.24,-0.01,-4.1667
2011-12-31,2012-02-29,0.21,0.25,-0.04,-16
2011-09-30,2011-11-09,0.19,0.22,-0.03,-13.6364
2011-06-30,2011-08-09,0.12,0.19,-0.07,-36.8421
2011-03-31,2011-05-10,0.09,0.18,-0.09,-50
2010-12-31,2011-03-02,0.13,0.14,-0.01,-7.1429
2010-09-30,2010-11-08,0.1,0.11,-0.01,-9.0909
2010-06-30,2010-08-09,0.07,0.07,0,0
2010-03-31,2010-05-06,0.04,0.04,0,0
2009-12-31,2010-03-08,0.03,0.07,-0.04,-57.1429
2009-09-30,2009-10-26,0.04,0.05,-0.01,-20
2009-06-30,2009-07-30,0.01,0.02,-0.01,-50
2009-03-31,2009-05-11,-0.01,-0.01,0,0
2008-12-31,2009-03-02,0.04,0.03,0.01,33.3333
2008-09-30,2008-11-04,0.03,0.01,0.02,200
2008-06-30,2008-08-06,0.01,0.02,-0.01,-50
2008-03-31,2008-03-31,-0.0649,None,None,None
2007-12-31,2008-03-31,-0.12,-0.05,-0.07,-140
2007-09-30,2007-09-30,-0.1164,None,None,None
2007-06-30,2007-06-30,-0.4811,None,None,None
2007-03-31,2007-03-31,-0.1369,None,None,None
