fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-08,-2.15,1.57,-3.72,-236.9427
2022-06-30,2022-08-08,-6.53,5.5,-12.03,-218.7273
2022-03-31,2022-05-09,2.56,2.69,-0.13,-4.8327
2021-12-31,2022-02-28,-11.18,-1.8,-9.38,-521.1111
2021-09-30,2021-11-04,-4.31,-3.91,-0.4,-10.2302
2021-06-30,2021-08-05,-4.75,-3.63,-1.12,-30.854
2021-03-31,2021-05-10,-3.05,-3.6,0.55,15.2778
2020-12-31,2021-03-01,-2.7,-1.49,-1.21,-81.2081
2020-09-30,2020-11-09,-3.21,1.73,-4.94,-285.5491
2020-06-30,2020-08-10,-0.3,-0.42,0.12,28.5714
2020-03-31,2020-05-11,-0.58,-0.78,0.2,25.641
2019-12-31,2020-03-11,-1.13,-1.06,-0.07,-6.6038
2019-09-30,2019-11-07,-0.74,-0.98,0.24,24.4898
2019-06-30,2019-08-07,-1.69,-1.61,-0.08,-4.9689
2019-03-31,2019-05-02,-2.2,-2.21,0.01,0.4525
2018-12-31,2019-03-18,-2.6,-2.38,-0.22,-9.2437
2018-09-30,2018-11-07,-2.4,-2.35,-0.05,-2.1277
2018-06-30,2018-08-08,-2.4,-2.43,0.03,1.2346
2018-03-31,2018-05-09,-2.8,-2.68,-0.12,-4.4776
2017-12-31,2018-03-14,-3.2,-3.09,-0.11,-3.5599
2017-09-30,2017-11-07,-3,-3.2,0.2,6.25
2017-06-30,2017-08-08,-3.2,-3.16,-0.04,-1.2658
2017-03-31,2017-05-08,-0.16,-0.17,0.01,5.8824
2016-12-31,2017-02-27,-0.21,-0.23,0.02,8.6957
2016-09-30,2016-11-09,-0.24,-0.26,0.02,7.6923
2016-06-30,2016-08-09,-0.29,-0.25,-0.04,-16
2016-03-31,2016-05-04,-0.29,-0.27,-0.02,-7.4074
2015-12-31,2016-02-29,-0.29,-0.14,-0.15,-107.1429
2015-09-30,2015-11-09,-0.12,-0.09,-0.03,-33.3333
2015-06-30,2015-08-10,-0.08,-0.09,0.01,11.1111
