fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,1.48,1.72,-0.24,-13.9535
2022-06-30,2022-08-03,0.79,0.46,0.33,71.7391
2022-03-31,2022-05-04,1.27,0.8,0.47,58.75
2021-12-31,2022-02-23,0.71,0.49,0.22,44.898
2021-09-30,2021-11-03,1.76,1.49,0.27,18.1208
2021-06-30,2021-08-04,0.51,0.51,0,0
2021-03-31,2021-05-05,1.21,0.72,0.49,68.0556
2020-12-31,2021-02-24,0.55,0.83,-0.28,-33.7349
2020-09-30,2020-11-05,1.8,1.09,0.71,65.1376
2020-06-30,2020-08-05,-0.07,0.08,-0.15,-187.5
2020-03-31,2020-05-06,1.2,0.7,0.5,71.4286
2019-12-31,2020-02-26,1.2,0.87,0.33,37.931
2019-09-30,2019-11-06,1.5,1.33,0.17,12.782
2019-06-30,2019-08-07,0.7,0.47,0.23,48.9362
2019-03-31,2019-05-08,0.7,0.68,0.02,2.9412
2018-12-31,2019-02-27,0.9,0.76,0.14,18.4211
2018-09-30,2018-11-07,1.3,1.21,0.09,7.438
2018-06-30,2018-08-07,0.5,0.35,0.15,42.8571
2018-03-31,2018-05-09,0.08,0.08,0,0
2017-12-31,2018-02-28,0.08,0.07,0.01,14.2857
2017-09-30,2017-11-09,0.14,0.13,0.01,7.6923
2017-06-30,2017-08-09,0.06,0.08,-0.02,-25
2017-03-31,2017-05-09,0.16,0.12,0.04,33.3333
2016-12-31,2017-03-01,0.11,0.1,0.01,10
2016-09-30,2016-11-02,0.16,0.15,0.01,6.6667
2016-06-30,2016-08-03,0.03,0.06,-0.03,-50
2016-03-31,2016-04-26,0.1,0.12,-0.02,-16.6667
2015-12-31,2016-02-23,0.07,0.11,-0.04,-36.3636
2015-09-30,2015-11-03,0.16,0.16,0,0
2015-06-30,2015-08-04,0.06,0.06,0,0
2015-03-31,2015-05-05,0.13,0.13,0,0
2014-12-31,2015-02-24,0.07,0.04,0.03,75
2014-09-30,2014-11-04,0.1,0.09,0.01,11.1111
2014-06-30,2014-08-05,-0.02,-0.02,0,0
2014-03-31,2014-05-06,0.07,0.03,0.04,133.3333
2013-12-31,2014-02-25,-0.03,0.03,-0.06,-200
2013-09-30,2013-11-05,0.02,0.06,-0.04,-66.6667
2013-06-30,2013-07-30,-0.1,-0.1,0,0
2013-03-31,2013-04-30,-0.018,0.05,-0.068,-136
2012-12-31,2013-02-20,-0.0261,0.04,-0.0661,-165.25
2012-09-30,2012-11-06,0.06,0.01,0.05,500
2012-06-30,2012-08-07,-0.14,-0.09,-0.05,-55.5556
2012-03-31,2012-05-01,0.05,0.05,0,0
2011-12-31,2012-02-28,0.03,None,None,None
2011-09-30,2011-10-25,0.2825,0.01,0.2725,2725
2011-06-30,2011-07-26,-0.06,-0.12,0.06,50
2011-03-31,2011-04-26,-0.0195,0.02,-0.0395,-197.5
2010-12-31,2011-02-22,0.09,-0.03,0.12,400
2010-09-30,2010-10-27,0.03,-0.01,0.04,400
2010-06-30,2010-07-27,-0.07,-0.17,0.1,58.8235
2010-03-31,2010-04-27,0.07,0.08,-0.01,-12.5
2009-12-31,2010-02-23,-0.06,-0.22,0.16,72.7273
2009-09-30,2009-10-29,-0.08,-0.1,0.02,20
2009-06-30,2009-07-28,-0.22,-0.11,-0.11,-100
2009-03-31,2009-04-28,0.1,-0.09,0.19,211.1111
2008-12-31,2009-02-24,-0.73,-0.06,-0.67,-1116.6667
2008-09-30,2008-10-29,-0.01,0.07,-0.08,-114.2857
2008-06-30,2008-07-30,0.04,0.01,0.03,300
2008-03-31,2008-04-29,0.29,0.22,0.07,31.8182
2007-12-31,2008-02-26,0.1,0.17,-0.07,-41.1765
2007-09-30,2007-11-20,0.29,0.4,-0.11,-27.5
2007-06-30,2007-07-26,0.43,0.43,0,0
2007-03-31,2007-04-26,0.6,0.59,0.01,1.6949
2006-12-31,2007-02-14,0.54,0.52,0.02,3.8462
2006-09-30,2006-10-17,0.49,0.44,0.05,11.3636
2006-06-30,2006-07-28,0.43,0.4,0.03,7.5
2006-03-31,2006-04-25,0.48,0.44,0.04,9.0909
2005-12-31,2006-02-15,0.43,0.33,0.1,30.303
2005-09-30,2005-10-19,0.36,0.35,0.01,2.8571
2005-06-30,2005-07-21,0.31,0.24,0.07,29.1667
2005-03-31,2005-04-21,0.37,0.41,-0.04,-9.7561
2004-12-31,2005-02-10,0.3,0.21,0.09,42.8571
2004-09-30,2004-10-20,0.28,0.27,0.01,3.7037
2004-06-30,2004-07-22,0.23,0.23,0,0
2004-03-31,2004-04-22,0.38,0.36,0.02,5.5556
2003-12-31,2004-02-11,0.22,0.22,0,0
2003-09-30,2003-10-16,0.29,0.28,0.01,3.5714
2003-06-30,2003-07-24,0.19,0.16,0.03,18.75
2003-03-31,2003-04-17,0.33,0.32,0.01,3.125
2002-12-31,2003-02-13,0.23,0.22,0.01,4.5455
2002-09-30,2002-10-16,0.28,0.27,0.01,3.7037
2002-06-30,2002-07-17,0.18,0.2,-0.02,-10
2002-03-31,2002-04-17,0.32,0.31,0.01,3.2258
2001-12-31,2002-02-13,0.19,0.17,0.02,11.7647
2001-09-30,2001-10-17,0.26,0.2,0.06,30
2001-06-30,2001-07-19,0.14,0.12,0.02,16.6667
2001-03-31,2001-04-19,0.19,0.19,0,0
2000-12-31,2001-02-15,0.06,0.08,-0.02,-25
2000-09-30,2000-10-12,0.14,0.15,-0.01,-6.6667
2000-06-30,2000-07-12,0.19,0.19,0,0
2000-03-31,2000-04-13,0.3,0.29,0.01,3.4483
1999-12-31,2000-02-10,0.21,0.21,0,0
1999-09-30,1999-10-14,0.19,0.18,0.01,5.5556
1999-06-30,1999-07-15,0.21,0.21,0,0
1999-03-31,1999-04-15,0.26,0.26,0,0
1998-12-31,1999-02-17,0.23,0.22,0.01,4.5455
1998-09-30,1998-10-21,0.21,0.21,0,0
1998-06-30,1998-07-16,0.19,0.18,0.01,5.5556
1998-03-31,1998-04-15,0.22,0.21,0.01,4.7619
1997-12-31,1998-02-12,0.19,0.18,0.01,5.5556
1997-09-30,1997-10-16,0.18,0.16,0.02,12.5
1997-06-30,1997-07-17,0.15,0.14,0.01,7.1429
1997-03-31,1997-04-17,0.17,0.15,0.02,13.3333
1996-12-31,1997-02-25,0.15,0.15,0,0
1996-09-30,1996-10-14,0.13,0.15,-0.02,-13.3333
1996-06-30,1996-07-15,0.12,0.12,0,0
1996-03-31,1996-04-15,0.14,0.14,0,0
