fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-31,0.44,0.42,0.02,4.7619
2022-06-30,2022-08-01,0.59,0.59,0,0
2022-03-31,2022-05-02,1.83,1.93,-0.1,-5.1813
2021-12-31,2022-02-23,1.12,1.12,0,0
2021-09-30,2021-11-01,0.38,0.38,0,0
2021-06-30,2021-08-02,0.56,0.51,0.05,9.8039
2021-03-31,2021-05-03,1.79,1.81,-0.02,-1.105
2020-12-31,2021-02-25,1.09,1.07,0.02,1.8692
2020-09-30,2020-11-02,0.39,0.35,0.04,11.4286
2020-06-30,2020-07-27,0.48,0.46,0.02,4.3478
2020-03-31,2020-04-27,1.72,1.79,-0.07,-3.9106
2019-12-31,2020-02-19,0.96,0.95,0.01,1.0526
2019-09-30,2019-10-28,0.33,0.33,0,0
2019-06-30,2019-07-29,0.46,0.39,0.07,17.9487
2019-03-31,2019-04-29,1.76,1.73,0.03,1.7341
2018-12-31,2019-02-20,0.84,0.85,-0.01,-1.1765
2018-09-30,2018-10-29,0.31,0.27,0.04,14.8148
2018-06-30,2018-07-30,0.39,0.33,0.06,18.1818
2018-03-31,2018-04-30,1.72,1.47,0.25,17.0068
2017-12-31,2018-02-21,0.86,0.89,-0.03,-3.3708
2017-09-30,2017-10-30,0.36,0.28,0.08,28.5714
2017-06-30,2017-07-31,0.39,0.42,-0.03,-7.1429
2017-03-31,2017-05-01,1.44,1.35,0.09,6.6667
2016-12-31,2017-02-22,0.8,0.8,0,0
2016-09-30,2016-10-31,0.24,0.19,0.05,26.3158
2016-06-30,2016-08-01,0.38,0.31,0.07,22.5806
2016-03-31,2016-05-02,1.22,1.2,0.02,1.6667
2015-12-31,2016-02-17,0.74,0.73,0.01,1.3699
2015-09-30,2015-10-28,0.14,0.12,0.02,16.6667
2015-06-30,2015-07-29,0.23,0.22,0.01,4.5455
2015-03-31,2015-04-29,1.13,1.13,0,0
2014-12-31,2015-02-18,0.69,0.66,0.03,4.5455
2014-09-30,2014-11-03,0.09,0.09,0,0
2014-06-30,2014-08-04,0.18,0.25,-0.07,-28
2014-03-31,2014-05-05,1.05,0.91,0.14,15.3846
