fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-09,-0.07,-0.16,0.09,56.25
2022-06-30,2022-08-09,-0.14,-0.16,0.02,12.5
2022-03-31,2022-05-10,-0.13,-0.16,0.03,18.75
2021-12-31,2022-02-28,-0.03,-0.09,0.06,66.6667
2021-09-30,2021-11-09,-0.03,-0.08,0.05,62.5
2021-06-30,2021-08-10,0.04,0.0016,0.0384,2400
2021-03-31,2021-05-12,0.05,0.01,0.04,400
2020-12-31,2021-02-04,0.57,0.53,0.04,7.5472
2020-06-30,2020-09-30,0.4923,0,0.4923,None
2019-09-30,2019-12-31,-0.8326,0,-0.8326,None
2019-06-30,2019-09-30,-0.3765,0,-0.3765,None
