fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,0.13,0.06,0.07,116.6667
2022-06-30,2022-08-03,0.04,0.02,0.02,100
2022-03-31,2022-05-04,-0.03,-0.04,0.01,25
2021-12-31,2022-03-02,-0.01,-0.05,0.04,80
2021-09-30,2021-11-03,-0.11,-0.14,0.03,21.4286
2021-06-30,2021-08-05,-0.16,-0.2,0.04,20
2021-03-31,2021-05-10,-0.17,-0.2,0.03,15
2020-12-31,2021-03-03,-0.24,-0.21,-0.03,-14.2857
2020-09-30,2020-11-10,-0.2,-0.25,0.05,20
2020-06-30,2020-08-12,-0.37,-0.19,-0.18,-94.7368
2020-03-31,2020-05-13,-0.02,0.05,-0.07,-140
2019-12-31,2020-02-26,0.09,0.1,-0.01,-10
2019-09-30,2019-11-13,0.11,0.12,-0.01,-8.3333
2019-06-30,2019-08-07,0.12,0.12,0,0
2019-03-31,2019-05-08,0.14,0.14,0,0
2018-12-31,2019-03-06,0.1,0,0.1,None
2018-09-30,2018-11-14,-0.22,0,-0.22,None
2018-06-30,2018-08-14,-0.01,0,-0.01,None
2018-03-31,2018-05-15,-0.01,0,-0.01,None
2017-12-31,2018-03-30,-0.02,0,-0.02,None
