fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-10-27,0.29,0.21,0.08,38.0952
2022-06-30,2022-07-28,0.25,0.28,-0.03,-10.7143
2022-03-31,2022-04-28,0.3,0.25,0.05,20
2021-12-31,2022-02-10,0.22,0.28,-0.06,-21.4286
2021-09-30,2021-11-01,0.24,0.26,-0.02,-7.6923
2021-06-30,2021-07-29,0.27,0.28,-0.01,-3.5714
2021-03-31,2021-04-29,0.23,0.26,-0.03,-11.5385
2020-12-31,2021-02-25,0.21,0.23,-0.02,-8.6957
2020-09-30,2020-10-29,0.22,0.26,-0.04,-15.3846
2020-06-30,2020-07-30,1.03,0.88,0.15,17.0455
2020-03-31,2020-05-01,0.89,1.02,-0.13,-12.7451
2019-12-31,2020-02-18,0.68,0.67,0.01,1.4925
2019-09-30,2019-11-07,1.11,1.01,0.1,9.901
2019-06-30,2019-08-09,1.1,0.98,0.12,12.2449
2019-03-31,2019-05-02,1.04,0.9,0.14,15.5556
2018-12-31,2019-02-28,0.8,0.64,0.16,25
2018-09-30,2018-11-05,1.13,1.13,0,0
2018-06-30,2018-07-26,1.16,0.94,0.22,23.4043
2018-03-31,2018-05-02,0.91,1.04,-0.13,-12.5
2017-12-31,2018-02-09,0.63,0.68,-0.05,-7.3529
2017-09-30,2017-11-02,1.12,0.91,0.21,23.0769
2017-06-30,2017-07-27,0.86,0.78,0.08,10.2564
2017-03-31,2017-05-02,1.06,0.81,0.25,30.8642
2016-12-31,2017-02-16,1.33,1.3,0.03,2.3077
2016-09-30,2016-11-04,0.94,1.09,-0.15,-13.7615
2016-06-30,2016-07-28,0.66,0.92,-0.26,-28.2609
2016-03-31,2016-05-04,0.82,0.73,0.09,12.3288
2015-12-31,2016-02-18,0.5,0.44,0.06,13.6364
2015-09-30,2015-10-28,0.84,0.96,-0.12,-12.5
2015-06-30,2015-07-29,0.91,0.72,0.19,26.3889
2015-03-31,2015-04-29,0.87,0.7,0.17,24.2857
2014-12-31,2015-02-10,0.53,0.53,0,0
2014-09-30,2014-10-28,1.73,1.12,0.61,54.4643
2014-06-30,2014-07-31,0.69,0.74,-0.05,-6.7568
2014-03-31,2014-05-01,0.54,0.65,-0.11,-16.9231
2013-12-31,2014-02-11,0.42,0.41,0.01,2.439
2013-09-30,2013-10-30,0.88,0.79,0.09,11.3924
2013-06-30,2013-07-31,0.79,0.71,0.08,11.2676
2013-03-31,2013-05-02,0.63,0.68,-0.05,-7.3529
2012-12-31,2013-02-21,0.59,0.59,0,0
2012-09-30,2012-10-29,0.93,0.88,0.05,5.6818
2012-06-30,2012-08-07,0.81,0.82,-0.01,-1.2195
2012-03-31,2012-05-02,0.89,0.75,0.14,18.6667
2011-12-31,2012-02-16,0.89,0.85,0.04,4.7059
2011-09-30,2011-11-03,1.08,1.06,0.02,1.8868
2011-06-30,2011-08-04,1.02,1.02,0,0
2011-03-31,2011-05-04,0.58,0.81,-0.23,-28.3951
2010-12-31,2011-02-17,0.7,0.73,-0.03,-4.1096
2010-09-30,2010-11-04,1.02,0.95,0.07,7.3684
2010-06-30,2010-08-04,0.91,0.9,0.01,1.1111
2010-03-31,2010-05-07,0.79,0.72,0.07,9.7222
2009-12-31,2010-02-19,0.8,0.74,0.06,8.1081
2009-09-30,2009-10-29,0.93,0.91,0.02,2.1978
2009-06-30,2009-08-05,0.83,0.84,-0.01,-1.1905
2009-03-31,2009-05-06,0.66,0.72,-0.06,-8.3333
2008-12-31,2009-02-24,0.7,0.66,0.04,6.0606
2008-09-30,2008-11-06,0.83,0.86,-0.03,-3.4884
2008-06-30,2008-08-06,0.8,0.81,-0.01,-1.2346
2008-03-31,2008-05-06,0.62,0.67,-0.05,-7.4627
2007-12-31,2008-02-22,0.56,0.55,0.01,1.8182
2007-09-30,2007-11-01,0.77,0.86,-0.09,-10.4651
