fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-02,0.03,0.08,-0.05,-62.5
2022-06-30,2022-07-27,0.06,0.06,0,0
2022-03-31,2022-04-27,0.49,0.0683,0.4217,617.4231
2021-12-31,2022-02-07,0.07,0.08,-0.01,-12.5
2021-09-30,2021-10-27,0.09,0.08,0.01,12.5
2021-06-30,2021-07-28,0.08,0.04,0.04,100
2021-03-31,2021-04-28,0.08,0.06,0.02,33.3333
2020-12-31,2021-02-10,0.18,0.05,0.13,260
2020-09-30,2020-10-29,0.07,0.06,0.01,16.6667
2020-06-30,2020-07-29,1.52,0.07,1.45,2071.4286
2020-03-31,2020-04-29,0.07,0.09,-0.02,-22.2222
2019-12-31,2020-02-04,1.29,0.11,1.18,1072.7273
2019-09-30,2019-10-30,0.07,0.09,-0.02,-22.2222
2019-06-30,2019-07-31,0.09,0.08,0.01,12.5
2019-03-31,2019-05-01,0.4,0.1,0.3,300
2018-12-31,2019-02-05,0.35,0.12,0.23,191.6667
2018-09-30,2018-10-30,0.13,0.09,0.04,44.4444
2018-06-30,2018-08-01,0.09,0.1,-0.01,-10
2018-03-31,2018-05-01,0.42,0.1,0.32,320
2017-12-31,2018-02-07,-0.21,0.12,-0.33,-275
2017-09-30,2017-11-01,0.87,0.11,0.76,690.9091
2017-06-30,2017-08-02,0.16,0.09,0.07,77.7778
2017-03-31,2017-05-03,0.1,0.06,0.04,66.6667
2016-12-31,2017-02-08,0.21,0.08,0.13,162.5
2016-09-30,2016-11-01,-0.09,0.07,-0.16,-228.5714
2016-06-30,2016-08-03,0.55,0.06,0.49,816.6667
2016-03-31,2016-05-02,0.07,0.08,-0.01,-12.5
2015-12-31,2016-02-04,0.06,0.12,-0.06,-50
2015-09-30,2015-11-09,-0.01,0.07,-0.08,-114.2857
2015-06-30,2015-07-29,0.2,0.07,0.13,185.7143
2015-03-31,2015-04-29,0.12,0.07,0.05,71.4286
2014-12-31,2015-02-05,0.08,0.05,0.03,60
2014-09-30,2014-10-29,0.06,0.06,0,0
2014-06-30,2014-07-30,0.08,0.05,0.03,60
2014-03-31,2014-04-30,0.04,0.06,-0.02,-33.3333
2013-12-31,2014-02-06,0.07,0.11,-0.04,-36.3636
2013-09-30,2013-10-31,0.12,0.1,0.02,20
2013-06-30,2013-08-01,0.13,0.1,0.03,30
2013-03-31,2013-05-02,0.12,0.11,0.01,9.0909
2012-12-31,2013-02-07,0.12,0.1,0.02,20
2012-09-30,2012-10-31,0.1,0.12,-0.02,-16.6667
2012-06-30,2012-08-01,0.12,0.09,0.03,33.3333
2012-03-31,2012-05-03,0.11,0.19,-0.08,-42.1053
2011-12-31,2012-02-09,0.1,0.12,-0.02,-16.6667
2011-09-30,2011-11-03,0.12,0.12,0,0
2011-06-30,2011-08-09,0.12,0.14,-0.02,-14.2857
2011-03-31,2011-05-05,0.19,0.17,0.02,11.7647
2010-12-31,2011-02-10,0.17,0.2,-0.03,-15
2010-09-30,2010-11-10,0.23,0.19,0.04,21.0526
2010-06-30,2010-08-10,0.11,0.16,-0.05,-31.25
2010-03-31,2010-05-11,0.19,0.13,0.06,46.1538
2009-12-31,2010-03-16,0.18,None,None,None
2009-09-30,2009-09-30,-0.0524,None,None,None
2009-06-30,2009-06-30,0.1767,None,None,None
2009-03-31,2009-03-31,0.1816,None,None,None
2008-12-31,2008-12-31,0.198,None,None,None
2008-09-30,2008-09-30,0.2017,None,None,None
2008-06-30,2008-06-30,0.1906,None,None,None
2008-03-31,2008-03-31,0.2304,None,None,None
2007-12-31,2007-12-31,0.155,None,None,None
2007-09-30,2007-09-30,0.179,None,None,None
2007-06-30,2007-06-30,0.1759,None,None,None
2007-03-31,2007-03-31,0.317,None,None,None
2006-12-31,2006-12-31,0.6585,None,None,None
2006-09-30,2006-09-30,0.3149,None,None,None
2006-06-30,2006-06-30,0.1848,None,None,None
2006-03-31,2006-03-31,0.2027,None,None,None
2005-12-31,2005-12-31,0.2126,None,None,None
2005-09-30,2005-09-30,0.218,None,None,None
2005-06-30,2005-06-30,1.3973,None,None,None
2005-03-31,2005-03-31,0.3211,None,None,None
