fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2022-09-30,2022-11-03,0.72,0.38,0.34,89.4737
2022-06-30,2022-08-04,0.15,0.54,-0.39,-72.2222
2022-03-31,2022-05-05,0.28,0.43,-0.15,-34.8837
2021-12-31,2022-02-03,0.26,0.53,-0.27,-50.9434
2021-09-30,2021-11-04,0.52,0.89,-0.37,-41.573
2021-06-30,2021-08-05,1.17,0.92,0.25,27.1739
2021-03-31,2021-05-06,0.55,0.29,0.26,89.6552
2020-12-31,2021-02-04,0.07,0.24,-0.17,-70.8333
2020-09-30,2020-10-29,0.93,0.53,0.4,75.4717
2020-06-30,2020-08-06,-1.69,-2.11,0.42,19.9052
2020-03-31,2020-05-07,-5.26,-0.09,-5.17,-5744.4444
2019-12-31,2020-02-06,0.7,0.37,0.33,89.1892
2019-09-30,2019-10-31,0.38,0.44,-0.06,-13.6364
2019-06-30,2019-08-01,0.44,0.35,0.09,25.7143
2019-03-31,2019-05-02,0.35,0.38,-0.03,-7.8947
2018-12-31,2019-02-07,-0.37,-0.36,-0.01,-2.7778
2018-09-30,2018-11-01,0.38,0.45,-0.07,-15.5556
2018-06-30,2018-07-26,0.57,0.51,0.06,11.7647
2018-03-31,2018-04-26,0.48,0.42,0.06,14.2857
2017-12-31,2018-02-08,-0.57,0.18,-0.75,-416.6667
2017-09-30,2017-10-26,8.43,0.21,8.22,3914.2857
2017-06-30,2017-07-27,0.18,0.26,-0.08,-30.7692
2017-03-31,2017-04-27,0.06,0.08,-0.02,-25
2016-12-31,2017-02-02,0.05,-0.14,0.19,135.7143
2016-09-30,2016-10-27,0.51,0.28,0.23,82.1429
2016-06-30,2016-07-28,0.37,0.29,0.08,27.5862
2016-03-31,2016-04-28,0.26,0.23,0.03,13.0435
2015-12-31,2016-02-04,-0.11,0.07,-0.18,-257.1429
2015-09-30,2015-10-22,0.05,0.19,-0.14,-73.6842
2015-06-30,2015-07-23,0.19,0.14,0.05,35.7143
2015-03-31,2015-04-23,0.12,0.11,0.01,9.0909
2014-12-31,2015-01-29,-3.18,-0.02,-3.16,-15800
2014-09-30,2014-10-23,0.1,0.06,0.04,66.6667
2014-06-30,2014-07-24,0.04,0.07,-0.03,-42.8571
2014-03-31,2014-04-24,0.05,0.05,0,0
2013-12-31,2014-02-06,3.89,0.11,3.78,3436.3636
2013-09-30,2013-10-17,0.4,0.46,-0.06,-13.0435
2013-06-30,2013-07-23,0.82,0.62,0.2,32.2581
2013-03-31,2013-04-18,0.69,0.65,0.04,6.1538
